price,estate_type,city,sector,street,area
42957,1-комнатная квартира,Бельцы,Центр,str. Sennaia 2,43
85000,2-х комнатная квартира,Кишинёв,Ботаника,str. Prigoreni 3/1,52
165000,2-х комнатная квартира,Кишинёв,Рышкановка,ул. Алеку Руссо 9/7,62
164998,2-х комнатная квартира,Кишинёв,Ботаника,ул. Грэдина Ботаникэ 20/1,85
87010,2-х комнатная квартира,Дурлешты,Центр,str. Nicolae Dimo 24/a,79
106800,3-х комнатная квартира,Кишинёв,Рышкановка,str. Calea Mosilor 4,73
69700,1-комнатная квартира,Кишинёв,Центр,şos. Munceşti 94a,39
115900,2-х комнатная квартира,Кишинёв,Ботаника,bd. Traian 4,53
184900,1-комнатная квартира,Кишинёв,Центр,bd. Stefan cel Mare si Sfint 171/3,47
415000,4-x комнатная квартира,Кишинёв,Центр,31 August 1989 64,142
55000,1-комнатная квартира,Кишинёв,Чокана,str. Voluntarilor 10,34
159000,3-х комнатная квартира,Кишинёв,Ботаника,str. Grenoble 134/4,106
83600,3-х комнатная квартира,Дурлешты,Центр,str. Nicolae Dimo 24a,76
112000,3-х комнатная квартира,Яловены,Центр,str. Mihail Frunze 65/4,84
190000,2-х комнатная квартира,Яловены,Центр,str. Alexandru cel Bun 2/8,81
46800,1-комнатная квартира,Кишинёв,Телецентр,str. Ialoveni .,39
114500,3-х комнатная квартира,Кишинёв,Буюканы,str. Nicolai Costin .,70
86900,1-комнатная квартира,Кишинёв,Чокана,bd. Mircea cel Bătrân .,35
127000,3-х комнатная квартира,Кишинёв,Ботаника,str. Grenoble 7,72
220000,2-х комнатная квартира,Кишинёв,Буюканы,str. Onisifor Ghibu 10,65
45000,1-комнатная квартира,Кишинёв,Чокана,str. Maria Drăgan .,32
69900,1-комнатная квартира,Кишинёв,Ботаника,str. Băcioii Noi .,31
98100,1-комнатная квартира,Кишинёв,Чокана,str. Ginta Latină .,56
95400,3-х комнатная квартира,Гидигич,Центр,str. Stefan cel Mare .,85
82300,1-комнатная квартира,Кишинёв,Центр,str. Tudor Vladimirescu 1a,45
150000,1-комнатная квартира,Кишинёв,Чокана,str. Ion Dumeniuc 6,64
199900,3-х комнатная квартира,Кишинёв,Чокана,str. Ion Dumeniuc 18,96
45000,1-комнатная квартира,Бельцы,Стелуца,str. Nicolai Ostrovski 48,42
118000,1-комнатная квартира,Кишинёв,Центр,str. Moara Roșie 20,45
124660,3-х комнатная квартира,Дурлешты,Центр,str. Nicolae Dimo 24a,110
103500,2-х комнатная квартира,Кишинёв,Ботаника,str. Grenoble 134/4,69
190000,3-х комнатная квартира,Кишинёв,Буюканы,ул. Ион Буздуган 11,85
77000,1-комнатная квартира,Кишинёв,Рышкановка,ул. Тудор Владимиреску 8/1,45
149900,1-комнатная квартира,Кишинёв,Буюканы,ул. Василе Лупу 28,54
199000,2-х комнатная квартира,Кишинёв,Буюканы,ул. Василе Лупу 28,70
167000,2-х комнатная квартира,Кишинёв,Чокана,пр-т Мирча чел Бэтрын 15,70
147900,2-х комнатная квартира,Яловены,Центр,str. Alexandru cel Bun 78,67
214900,2-х комнатная квартира,Кишинёв,Центр,ул. Тигина 26,79
51500,Комната,Кишинёв,Чокана,str. Mihail Sadoveanu 11/2,41
105900,2-х комнатная квартира,Кишинёв,Чокана,str. Nicolae Milescu Spătarul 57 C,68
179000,3-х комнатная квартира,Кишинёв,Чокана,bd. Mircea cel Batran 39,97
