rooms,parcing_space,layout,price,balcony,bathroom,living,apartment_condition,author,building_type,housing_stock,developer,total_floors,floor,region,city,sector,street,area
2-х комнатная квартира,Oткрытое,Брж (Брежневка),59900.0,2,1,,Косметический pемонт,Агентство,Kотельцовый,Вторичный,,5,5.0,Кишинёв мун.,Кишинёв,Ботаника,Sarmizegetusa 37/4,46
2-х комнатная квартира,Oткрытое,Хрущевка,55000.0,Нет,1,,Без ремонта,Агентство,Kотельцовый,Вторичный,,3,1.0,Кишинёв мун.,Кишинёв,Телецентр,M. Lomonosov 43,40
2-х комнатная квартира,Подземная,,101200.0,1,2,Квартира с ливингом,Белый вариант,Агентство,,Новострой,,16,6.0,Кишинёв мун.,Кишинёв,Рышкановка,str. Calea Moșilor 4,68
2-х комнатная квартира,,,128900.0,1,2,,Белый вариант,Агентство,,Новострой,,12,8.0,Расположение,,,,65
1-комнатная квартира,Oткрытое,,89900.0,,1,Квартира с ливингом,Eвроремонт,Агентство,Kомбинированный,Новострой,,10,1.0,Кишинёв мун.,Дурлешты,Центр,str. Tudor Vladimirescu 75/1,42
1-комнатная квартира,,,67900.0,,1,Квартира с ливингом,Сдан в эксплуатацию,Частное лицо,Kомбинированный,Новострой,Basconslux,9,6.0,Страшены,Страшены,Центр,str. Ştefan cel Mare și Sfînt 48,60
1-комнатная квартира,,,75500.0,,,Квартира с ливингом,,Агентство,,Новострой,,8,3.0,Кишинёв мун.,Кишинёв,Рышкановка,str. Postei --,37
1-комнатная квартира,Oткрытое,,61500.0,,,,Eвроремонт,Частное лицо,,Вторичный,,4,3.0,Кишинёв мун.,Кишинёв,Центр,str. George Coșbuc 7,20
1-комнатная квартира,Oткрытое,,86900.0,,1,,Eвроремонт,Агентство,,Новострой,,10,4.0,Кишинёв мун.,Кишинёв,Чокана,str. Nicolae Milescu Spatarul .,35
3-х комнатная квартира,,,95000.0,,1,,Косметический pемонт,Частное лицо,Kирпичный,Вторичный,,2,1.0,Унгены,Унгень,Центр,str. Mihai Eminescu 23,63
1-комнатная квартира,Oткрытое,,38800.0,1,,,Eвроремонт,Частное лицо,Kотельцовый,Вторичный,,5,1.0,Расположение,,,,30
3-х комнатная квартира,Подземная,,189900.0,,1,Квартира с ливингом,Белый вариант,Агентство,,Новострой,,12,8.0,Кишинёв мун.,Кишинёв,Буюканы,str. Calea Ieșilor 6,82
2-х комнатная квартира,,,88900.0,,,Квартира с ливингом,,Агентство,,Новострой,Poliprim Grup,9,4.0,Кишинёв мун.,Дурлешты,Центр,str. Nicolae Dimo 24,71
3-х комнатная квартира,,,179600.0,,,,,Агентство,,Вторичный,,4,1.0,Кишинёв мун.,Кишинёв,Центр,str. Mitropolit Bănulescu-Bodoni 43,79
