building_type,apartment_condition,rooms,layout,housing_stock,author,price,developer,balcony,parcing_space,bathroom,living,total_floors,floor,region,city,sector,street,area
Ячеистый Бетон,Белый вариант,1-комнатная квартира,Индивидуальная,Новострой,Частное лицо,50000.0,Sky House,1,Oткрытое,1,,12,5.0,Кишинёв мун.,Кишинёв,Ботаника,Cetatea Albă nr 11/G Noua,39
,Eвроремонт,1-комнатная квартира,,Новострой,Агентство,109000.0,,,,,,10,9.0,Кишинёв мун.,Кишинёв,Ботаника,str. Burebista 25,43
Kотельцовый,Eвроремонт,2-х комнатная квартира,,Вторичный,Агентство,127000.0,,2,,1,Квартира с ливингом,5,4.0,Кишинёв мун.,Кишинёв,Буюканы,str. Suceava 110,72
Kотельцовый,Eвроремонт,3-х комнатная квартира,Индивидуальная,Вторичный,Частное лицо,82900.0,,1,Oткрытое,1,Квартира с ливингом,2,2.0,Кишинёв мун.,Кишинёв,Центр,ул. Поштей 92,90
,Eвроремонт,2-х комнатная квартира,,Вторичный,Агентство,114900.0,,1,Oткрытое,2,Квартира с ливингом,9,7.0,Кишинёв мун.,Кишинёв,Старая Почта,ул. Каля Орхеюлуй 105/2,56
Mонолитный,Сдан в эксплуатацию,1-комнатная квартира,Гостинка,Вторичный,Частное лицо,66500.0,,Нет,Oткрытое,1,Квартира без ливинга,13,8.0,Кишинёв мун.,Кишинёв,Старая Почта,str. Socoleni 23,35
,,3-х комнатная квартира,,Вторичный,Агентство,135000.0,,,,,,10,3.0,Кишинёв мун.,Кишинёв,Чокана,str. Nicolae Milescu Spătarul 1,80
,Белый вариант,2-х комнатная квартира,,Новострой,Агентство,116990.0,,1,Oткрытое,2,Квартира с ливингом,10,8.0,Кишинёв мун.,Кишинёв,Телецентр,șos. Hâncești .,69
,Eвроремонт,3-х комнатная квартира,,Вторичный,Агентство,138800.0,,1,,2,,9,1.0,Кишинёв мун.,Кишинёв,Центр,Gradinilor .,75
Kирпичный,Индивидуальный дизайн,3-х комнатная квартира,,Новострой,Частное лицо,189000.0,Exfactor-grup,2,Подземная,2,Квартира с ливингом,11,9.0,Кишинёв мун.,Кишинёв,Буюканы,пр-т Алба Юлия 77/5,92
,Eвроремонт,2-х комнатная квартира,Индивидуальная,Новострой,Агентство,135000.0,,1,Oткрытое,1,Квартира с ливингом,9,6.0,Кишинёв мун.,Кишинёв,Рышкановка,str. Dumitru Rîșcanu; .,65
,Белый вариант,1-комнатная квартира,,Новострой,Застройщик,55574.0,,1,Подземная,1,Квартира с ливингом,4,2.0,Кишинёв мун.,Кишинёв,Телецентр,str. Ialoveni 102,45
,Eвроремонт,2-х комнатная квартира,Индивидуальная,Новострой,Агентство,108000.0,,,Oткрытое,1,,11,3.0,Кишинёв мун.,Кишинёв,Буюканы,пр-т Алба-Юлия .,51
,Eвроремонт,1-комнатная квартира,,Новострой,Застройщик,89900.0,,,Oткрытое,1,,10,7.0,Кишинёв мун.,Дурлешты,Центр,str. Nicolae Dimo 24,43
,Белый вариант,3-х комнатная квартира,,Новострой,Застройщик,280500.0,Ecovzor,2,Гараж,2,Квартира с ливингом,14,13.0,Кишинёв мун.,Кишинёв,Старая Почта,ул. Язулуй 38,170
,Белый вариант,2-х комнатная квартира,Индивидуальная,Новострой,Агентство,103000.0,,,Oткрытое,1,,11,5.0,Кишинёв мун.,Кишинёв,Центр,str. Tecuci .,64
,Белый вариант,2-х комнатная квартира,Индивидуальная,Новострой,Агентство,73000.0,,1,Oткрытое,2,,10,2.0,Кишинёв мун.,Дурлешты,Центр,str. Nicolae Dimo .,66
,,3-х комнатная квартира,,Новострой,Агентство,265000.0,,3,Oткрытое,2,,9,8.0,Кишинёв мун.,Кишинёв,Центр,str. Mitropolitul Petru Movilă *,124
,Белый вариант,1-комнатная квартира,Индивидуальная,Новострой,Агентство,99200.0,,1,Oткрытое,1,Квартира с ливингом,5,4.0,Кишинёв мун.,Кишинёв,Буюканы,str. Bisericii .,64
,Белый вариант,3-х комнатная квартира,Индивидуальная,Новострой,Агентство,220000.0,,1,Oткрытое,2,,12,12.0,Кишинёв мун.,Кишинёв,Телецентр,str. Ialoveni .,174
Kомбинированный,Белый вариант,1-комнатная квартира,Индивидуальная,Новострой,Застройщик,95725.0,A-casa,1,Подземная,1,Квартира с ливингом,5,4.0,Кишинёв мун.,Кишинёв,Буюканы,str-la Bisericii 1,55
,Eвроремонт,2-х комнатная квартира,Индивидуальная,Новострой,Агентство,185000.0,,2,Oткрытое,3,,5,4.0,Кишинёв мун.,Кишинёв,Центр,ул. Василе Александри .,69
,Eвроремонт,2-х комнатная квартира,Индивидуальная,Новострой,Агентство,209500.0,,1,Oткрытое,1,Квартира с ливингом,9,9.0,Кишинёв мун.,Кишинёв,Буюканы,ул. Ион Буздуган .,75
,Eвроремонт,1-комнатная квартира,,Новострой,Агентство,108900.0,,,Oткрытое,1,Квартира с ливингом,11,4.0,Кишинёв мун.,Кишинёв,Телецентр,Ialoveni  .,53
,Eвроремонт,2-х комнатная квартира,,Вторичный,Агентство,82000.0,,1,Oткрытое,1,,4,4.0,Кишинёв мун.,Кишинёв,Ботаника,str. Nikolai Zelinski .,44
,,2-х комнатная квартира,,Вторичный,Агентство,97500.0,,,,,,5,3.0,Кишинёв мун.,Кишинёв,Ботаника,str. Nikolai Zelinski 5/1,48
,Белый вариант,2-х комнатная квартира,,Новострой,Агентство,125000.0,,2,,1,Квартира с ливингом,8,3.0,Кишинёв мун.,Кишинёв,Чокана,str. Nicolae Milescu Spatarul .,70
,Eвроремонт,2-х комнатная квартира,,Новострой,Агентство,224900.0,,,,1,Квартира с ливингом,12,11.0,Кишинёв мун.,Кишинёв,Чокана,Mircea Cel Batran 14,80
,Eвроремонт,1-комнатная квартира,,Новострой,Агентство,104500.0,,,,1,Квартира с ливингом,9,1.0,Кишинёв мун.,Кишинёв,Буюканы,str. Liviu Deleanu .,54
,Eвроремонт,2-х комнатная квартира,,Вторичный,Агентство,93500.0,,1,Oткрытое,1,,5,4.0,Кишинёв мун.,Кишинёв,Ботаника,str. Trandafirilor .,46
,,2-х комнатная квартира,,Новострой,,137500.0,Horus,,,,,16,5.0,Кишинёв мун.,Кишинёв,Рышкановка,str. Florilor 28/2,72
,Eвроремонт,1-комнатная квартира,,Вторичный,Агентство,59000.0,,,,1,,9,8.0,Кишинёв мун.,Кишинёв,Ботаника,ул. Гренобле .,36
,Eвроремонт,3-х комнатная квартира,Индивидуальная,Вторичный,Агентство,104500.0,,Нет,Oткрытое,2,,9,7.0,Кишинёв мун.,Кишинёв,Ботаника,bd. Traian .,72
,Белый вариант,2-х комнатная квартира,,Новострой,Агентство,89900.0,,1,Oткрытое,1,,13,9.0,Кишинёв мун.,Дурлешты,Центр,str. Nicolae Dimo *,79
,Незавершенное cтроительство,2-х комнатная квартира,,Новострой,Застройщик,43056.0,,1,,1,,10,7.0,Кишинёв мун.,Дурлешты,Центр,str. Nicolae Dimo 24a,47
,Белый вариант,1-комнатная квартира,,Новострой,Застройщик,65706.0,,1,Oткрытое,1,,14,13.0,Кишинёв мун.,Кишинёв,Старая Почта,str. Ceucari 14,47
