address,latitude,longitude,status
" Alba Iulia  113, Кишинёв, Moldova",47.0422024,28.7597503,found
" Alba Iulia  77/7, Кишинёв, Moldova",47.0383556,28.7674316,found
" Bd. Cuza Vodă 5, Кишинёв, Moldova",46.9763638,28.8561457,found
" Bd. Cuza Vodă 8, Кишинёв, Moldova",46.9859238,28.8655184,found
" Ialoveni  100, Кишинёв, Moldova",47.0032983,28.7774077,found
" Nicolae Costin 52, Кишинёв, Moldova",47.0430386,28.7714462,found
" Nicolae Dimo 2, Дурлешты, Moldova",47.0050782,28.7646256,found
" Nicolae Dimo 24, Дурлешты, Moldova",47.0138525,28.7521502,found
" Nicolae Dimo 24/2, Дурлешты, Moldova",47.013269,28.7527852,found
" Nicolae Testemițanu 23/1, Кишинёв, Moldova",46.9957628,28.8346672,found
" Regina Elisabeta -, Дурлешты, Moldova",47.0054813,28.7621415,found
" bd. Alba Iulia  128, Кишинёв, Moldova",47.0417892,28.7628124,found
" bd. Dacia  1, Кишинёв, Moldova",46.9856637,28.8604411,found
" bd. Dacia  159, Кишинёв, Moldova",46.9809842,28.8650354,found
" bd. Dacia  58, Кишинёв, Moldova",46.9576797,28.8947004,found
" bd. Mircea cel Bătrân  43, Кишинёв, Moldova",47.0592962,28.8901406,found
" bd. Mircea cel Bătrân 15, Кишинёв, Moldova",47.0468052,28.8878226,found
" bd. Mircea cel Bătrân 28/1, Кишинёв, Moldova",47.0501034,28.8921608,found
" bd. Mircea cel Bătrân 3, Кишинёв, Moldova",47.0541636,28.886666,found
" bd. Mircea cel Bătrân 34/5, Кишинёв, Moldova",47.0542415,28.8933596,found
" bd. Mircea cel Bătrân 41, Кишинёв, Moldova",47.0580803,28.8907679,found
" bd. Moscova 11, Кишинёв, Moldova",47.0513766,28.8631964,found
" bd. Moscova 20, Кишинёв, Moldova",47.0568696,28.8667886,found
" bd. Traian 1, Кишинёв, Moldova",46.9820923,28.8524577,found
" str. Bisericii 10, Кишинёв, Moldova",47.0196456,28.7889227,found
" str. Bisericii 19, Кишинёв, Moldova",47.0161988,28.7908212,found
" str. Durlești 10, Кишинёв, Moldova",47.0220111,28.7934118,found
" str. Gheorghe Asachi  27, Кишинёв, Moldova",47.0011042,28.8222486,found
" str. Grenoble  134/2, Кишинёв, Moldova",46.9736647,28.8484399,found
" str. Ialoveni  136, Дурлешты, Moldova",47.0038563,28.7718893,found
" str. Ialoveni  136, Кишинёв, Moldova",47.0038563,28.7718893,found
" str. Ialoveni 136, Дурлешты, Moldova",47.0038563,28.7718893,found
" str. Independenței 14/1, Кишинёв, Moldova",46.9830335,28.8480534,found
" str. Matei Basarab  1/1, Кишинёв, Moldova",47.0571713,28.8606928,found
" str. Nicolae Testemițanu 3, Кишинёв, Moldova",47.0011476,28.8417886,found
" str. Nicolae Titulescu  53/2, Кишинёв, Moldova",46.9918384,28.8712125,found
" str. Valea Trandafirilor 20, Кишинёв, Moldova",47.0074709,28.846911,found
" șos. Muncești 788, Кишинёв, Moldova",46.9414127,28.9366207,found
"- -, Ставчены, Moldova",47.0957801,28.8683681,found
"1-й пер. Чокырлией 5/1, Кишинёв, Moldova",47.0090767,28.8068089,found
"31 August 1989 64, Кишинёв, Moldova",47.019234,28.8350261,found
"Academiei ., Кишинёв, Moldova",46.9722066,28.8964745,found
"Aeroport  3, Кишинёв, Moldova",46.9388767,28.9263573,found
"Alba Iulia **, Кишинёв, Moldova",47.0279847,28.7909161,found
"Alba Iulia ., Кишинёв, Moldova",47.0417892,28.7628124,found
"Alba Iulia 113, Кишинёв, Moldova",47.0422024,28.7597503,found
"Alba Iulia 77/6, Кишинёв, Moldova",47.0378617,28.7659426,found
"Alba Iulia 87, Кишинёв, Moldova",47.0404775,28.7643713,found
"Alba Iulia 93, Кишинёв, Moldova",47.0406031,28.7619297,found
"Alba-Iulia 202, Кишинёв, Moldova",47.0411317,28.7653855,found
"Alba-Iulia 75/22, Кишинёв, Moldova",47.0373565,28.7672227,found
"Alba-Iulia 77/2, Кишинёв, Moldova",47.0392502,28.7664729,found
"Alba-Iulia 8/1, Кишинёв, Moldova",47.0289655,28.7915224,found
"Albisoara 76, Кишинёв, Moldova",47.0392882,28.8362143,found
"Albișoara 16, Кишинёв, Moldova",47.0191912,28.855231,found
"Albișoara 18, Кишинёв, Moldova",47.0201405,28.8553013,found
"Albișoara 68/2, Кишинёв, Moldova",47.037179,28.8386684,found
"Albișoara 70/1, Кишинёв, Moldova",47.0379624,28.8382819,found
"Albișoara 82/2, Кишинёв, Moldova",47.038346,28.831112,found
"Albișoara 82/4, Кишинёв, Moldova",47.0379476,28.830484,found
"Albișoara 84/4, Кишинёв, Moldova",47.0355723,28.8286212,found
"Alecu Russo 3/2, Кишинёв, Moldova",47.046063,28.8646899,found
"Alecu Russo 9/7, Кишинёв, Moldova",47.0452585,28.8648285,found
"Alessandro Bernardazzi 79, Кишинёв, Moldova",47.0160824,28.8268234,found
"Alexandr Pușkin  47, Кишинёв, Moldova",47.0302243,28.8432801,found
"Alexandr Pușkin  53, Кишинёв, Moldova",47.017842,28.8256449,found
"Alexandru Cosmescu  5, Кишинёв, Moldova",47.0063234,28.8297848,found
"Alexandru cel Bun 108, Кишинёв, Moldova",47.0293864,28.8346001,found
"Andrei Doga -, Кишинёв, Moldova",47.0349692,28.853476,found
"Andrei Doga 28/5, Кишинёв, Moldova",47.0322137,28.8582352,found
"Andrei Doga 31, Кишинёв, Moldova",47.0347618,28.8594778,found
"Andrei Doga 32/7, Кишинёв, Moldova",47.0309757,28.8597072,found
"Andrei Saharov  3, Кишинёв, Moldova",47.0378573,28.8653289,found
"Avram Iancu ., Кишинёв, Moldova",47.0207329,28.8506488,found
"Avram Iancu 32, Кишинёв, Moldova",47.0207288,28.850124,found
"Bacioii Noi  ., Кишинёв, Moldova",46.9530589,28.925203,found
"Bacioii noi ., Кишинёв, Moldova",46.9530589,28.925203,found
"Bariera Orhei 5/1, Кишинёв, Moldova",47.0468967,28.8460317,found
"Bd. Mircea cel Batran ***, Кишинёв, Moldova",47.0519253,28.8903106,found
"Bd. Ștefan cel Mare și Sfânt 171/3, Кишинёв, Moldova",47.0352614,28.8125018,found
"Belgrad ., Кишинёв, Moldova",46.9863409,28.8639567,found
"Belgrad 17, Кишинёв, Moldova",46.9881915,28.864699,found
"Belgrad 21, Кишинёв, Moldova",46.9865007,28.8648113,found
"Bucovina 1/E, Кишинёв, Moldova",47.0661339,28.8958861,found
"Bucovinei 2, Кишинёв, Moldova",47.0667266,28.8680248,found
"Bucuresti 15, Кишинёв, Moldova",47.0146155,28.8382359,found
"Bulevardul Cuza Vodă 15/2, Кишинёв, Moldova",46.9803345,28.8607783,found
"Bulevardul Cuza Vodă 19/8, Кишинёв, Moldova",46.9776366,28.8593521,found
"Bulevardul Dacia 24, Кишинёв, Moldova",46.9861977,28.8560683,found
"Bulevardul Dacia 30/1, Кишинёв, Moldova",46.9833924,28.8602546,found
"Bulevardul Dacia 38, Кишинёв, Moldova",46.9805211,28.8641003,found
"Bulevardul Dacia 38/8, Кишинёв, Moldova",46.9786664,28.8646485,found
"Bulevardul Decebal 139/5, Кишинёв, Moldova",46.9873791,28.8587536,found
"Bulevardul Decebal 78, Кишинёв, Moldova",46.9912697,28.8568142,found
"Bulevardul Europei --, Кишинёв, Moldova",47.0263187,28.8292483,found
"Bulevardul Mircea cel Bătrân 22/5, Кишинёв, Moldova",47.047926,28.8917452,found
"Bulevardul Mircea cel Bătrân 25, Кишинёв, Moldova",47.0538645,28.8895246,found
"Bulevardul Mircea cel Bătrân 26/6, Кишинёв, Moldova",47.0490957,28.8939778,found
"Bulevardul Mircea cel Bătrân 31/2, Кишинёв, Moldova",47.055747,28.8872648,found
"Bulevardul Mircea cel Bătrân 31/7, Кишинёв, Moldova",47.0555694,28.8883934,found
"Bulevardul Mircea cel Bătrân 41A, Кишинёв, Moldova",47.057588,28.890629,found
"Bulevardul Mircea cel Bătrân 43A, Кишинёв, Moldova",47.0592965,28.8905906,found
"Bulevardul Mircea cel Bătrân 8/1, Кишинёв, Moldova",47.0408558,28.891254,found
"Bulevardul Moscova 11, Кишинёв, Moldova",47.0513766,28.8631964,found
"Bulevardul Moscova 20/4, Кишинёв, Moldova",47.0562576,28.8682098,found
"Bulevardul Moscova 28, Кишинёв, Moldova",47.0587933,28.8683983,found
"Bulevardul Moscova 3/3, Кишинёв, Moldova",47.0469106,28.8596186,found
"Bulevardul Renașterii Naționale 6, Кишинёв, Moldova",47.0355817,28.8496086,found
"Bulevardul Traian 16/2, Кишинёв, Moldova",46.9799488,28.845459,found
"Bulevardul Traian 23/1, Кишинёв, Moldova",46.9775823,28.8457844,found
"Bulevardul Ștefan cel Mare și Sfânt 6, Кишинёв, Moldova",47.0153847,28.847022,found
"Burebista  25, Кишинёв, Moldova",47.0310499,28.7697398,found
"Burebista ., Кишинёв, Moldova",46.9800195,28.8735084,found
"Burebista 114/2, Кишинёв, Moldova",46.9797294,28.8745372,found
"Burebista 18, Дурлешты, Moldova",47.0314991,28.7701155,found
"Burebista 40/2, Кишинёв, Moldova",46.9861531,28.8820566,found
"Băcioii Noi 14, Кишинёв, Moldova",46.9594311,28.9193582,found
"Băcioii Noi 14/c, Кишинёв, Moldova",46.9540603,28.9210132,found
"Calea Basarabiei 1, Криково, Moldova",47.1255696,28.8642118,found
"Calea Iesilor -6, Кишинёв, Moldova",47.038751,28.8075666,found
"Calea Iesilor 6, Кишинёв, Moldova",47.0386472,28.8080494,found
"Calea Ieșilor 5, Кишинёв, Moldova",47.0377119,28.8097426,found
"Calea Ieșilor 61/2, Кишинёв, Moldova",47.0460065,28.7811749,found
"Calea Ieșilor 6C, Кишинёв, Moldova",47.0393396,28.8073301,found
"Calea Mosilor 4, Кишинёв, Moldova",47.0255028,28.8611059,found
"Calea Moșilor 1, Кишинёв, Moldova",47.0243757,28.8613387,found
"Calea Orheiului 111/8, Кишинёв, Moldova",47.0561796,28.8512829,found
"Calea Orheiului 113/1, Кишинёв, Moldova",47.0568698,28.8506053,found
"Carierei 5C, Кишинёв, Moldova",47.03792,28.846689,found
"Cartierul Cluj ., Кишинёв, Moldova",47.0742038,28.8388244,found
"Cartusa 95, Дурлешты, Moldova",47.0155463,28.7460115,found
