rooms,bathroom,apartment_condition,total_floors,floor,area,price_per_sqm,floor_ratio,has_balcony,has_living,building_type_Kомбинированный,building_type_Kотельцовый,building_type_Mонолитный,building_type_Бетон,building_type_Блочный,building_type_Панельный,building_type_Ячеистый Бетон,housing_stock_Новострой,author_Банк,author_Застройщик,author_Частное лицо,parcing_space_Гараж,parcing_space_Под навесом,parcing_space_Подземная,latitude,longitude,distance_to_sector_center,geocode_missing,latitude_for_model,longitude_for_model,distance_to_sector_center_for_model,bathroom_missing,apartment_condition_missing,rooms_missing,floor_ratio_missing,city_Дурлешты,city_Кишинёв,city_Криково,city_Ставчены,sector_Ботаника,sector_Буюканы,sector_Окраина,sector_Рышкановка,sector_Скулянка,sector_Старая Почта,sector_Телецентр,sector_Центр,sector_Чокана
2.0,1.0,2.0,5,5.0,46,1302.1739130434783,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,46.9873905,28.8766481,1719.2450164597399,0,46.9873905,28.8766481,1719.2450164597399,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2.0,1.0,4.0,3,1.0,40,1375.0,0.3333333333333333,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,47.0221197,28.8408695,1802.2657073879273,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2.0,2.0,0.0,16,6.0,68,1488.235294117647,0.375,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,47.0255028,28.8611059,2616.7092650853356,0,47.0255028,28.8611059,2616.7092650853356,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.0,1.0,4.0,10,1.0,42,2140.4761904761904,0.1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,47.0300827,28.7691613,1317.8676800881742,0,47.0300827,28.7691613,1317.8676800881742,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1.0,1.0,4.0,8,3.0,37,2040.5405405405406,0.375,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.045536,28.8478323,1212.0526478706508,0,47.045536,28.8478323,1212.0526478706508,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.0,1.0,4.0,4,3.0,20,3075.0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,47.0280678,28.8415447,853.2274514225468,0,47.0280678,28.8415447,853.2274514225468,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1.0,1.0,4.0,10,4.0,35,2482.8571428571427,0.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.0683481,28.8974532,3653.5117878766237,0,47.0683481,28.8974532,3653.5117878766237,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
3.0,1.0,0.0,12,8.0,82,2315.8536585365855,0.6666666666666666,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,47.0433126,28.7934948,865.300793569499,0,47.0433126,28.7934948,865.300793569499,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2.0,1.0,4.0,9,4.0,71,1252.112676056338,0.4444444444444444,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.0138525,28.7521502,1002.0900618477696,0,47.0138525,28.7521502,1002.0900618477696,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
3.0,1.0,4.0,4,1.0,79,2273.4177215189875,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.0264899,28.8319626,276.87876097847845,0,47.0264899,28.8319626,276.87876097847845,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
