bathroom,rooms,apartment_condition,Тип участка,Площадь земли,Состояние дома,Тип помещения,Площадь участка,Этажность,Балкон,Водопровод,Состояние помещения,Газификация,Канализация,total_floors,floor,area,price_per_sqm,floor_ratio,has_balcony,has_living,building_type_Kомбинированный,building_type_Kотельцовый,building_type_Mонолитный,building_type_Бетон,building_type_Блочный,building_type_Панельный,building_type_Ячеистый Бетон,housing_stock_Новострой,author_Банк,author_Застройщик,author_Частное лицо,parcing_space_Гараж,parcing_space_Под навесом,parcing_space_Подземная,latitude,longitude,distance_to_sector_center,geocode_missing,latitude_for_model,longitude_for_model,distance_to_sector_center_for_model,bathroom_missing,apartment_condition_missing,rooms_missing,floor_ratio_missing,city_Дурлешты,city_Кишинёв,city_Криково,city_Ставчены,sector_str. Nicolae Dimo,sector_Аэропорт,sector_Ботаника,sector_Буюканы,sector_Окраина,sector_Рышкановка,sector_Скулянка,sector_Старая Почта,sector_Телецентр,sector_Центр,sector_Чокана
1.0,1.0,4.0,,,,,,,2.0,,,,,9.0,8.0,15.0,2066.6666666666665,0.8888888888888888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.0436363,28.8862409,874.4800675004213,0,47.0436363,28.8862409,874.4800675004213,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,1.0,4.0,,,,,,,2.0,,,,,16.0,6.0,23.0,1739.0869565217392,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.0280039,28.807931,1877.9166942134689,0,47.0280039,28.807931,1877.9166942134689,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1.0,3.0,0.0,,,,,,,2.0,,,,,10.0,1.0,79.0,2006.3291139240507,0.1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,47.1049348,28.8328393,8766.18220834624,0,47.1049348,28.8328393,8766.18220834624,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,3.0,0.0,,,,,,,2.0,,,,,12.0,7.0,105.0,1676.1904761904761,0.5833333333333334,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.0217187,28.7978504,1960.8290946561076,0,47.0217187,28.7978504,1960.8290946561076,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,1.0,4.0,,,,,,,2.0,,,,,7.0,2.0,47.0,2721.276595744681,0.2857142857142857,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.0472832,28.7689746,2737.8039223743313,0,47.0472832,28.7689746,2737.8039223743313,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,3.0,4.0,,,,,,,2.0,,,,,16.0,6.0,91.0,1230.0,0.375,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,47.067136,28.8464754,2373.551259248516,0,47.067136,28.8464754,2373.551259248516,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,1.0,0.0,,,,,,,2.0,,,,,16.0,12.0,44.0,1330.0,0.75,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,47.067136,28.8464754,3140.764898584909,0,47.067136,28.8464754,3140.764898584909,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1.0,1.0,4.0,,,,,,,2.0,,,,,8.0,2.0,52.0,2451.923076923077,0.25,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,46.9422183,28.9250266,,1,46.9422183,28.9250266,1678.113886189654,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0,2.0,4.0,,,,,,,2.0,,,,,9.0,8.0,64.0,2295.3125,0.8888888888888888,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,47.1049348,28.8328393,8766.18220834624,0,47.1049348,28.8328393,8766.18220834624,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,3.0,0.0,,,,,,,2.0,,,,,16.0,7.0,89.0,1230.0,0.4375,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,47.067136,28.8464754,3140.764898584909,0,47.067136,28.8464754,3140.764898584909,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1.0,3.0,4.0,,,,,,,2.0,,,,,8.0,1.0,90.0,1998.888888888889,0.125,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,46.9957757,28.836361,1673.6392218344813,0,46.9957757,28.836361,1673.6392218344813,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,1.0,0.0,,,,,,,2.0,,,,,24.0,13.0,48.0,1979.1666666666667,0.5416666666666666,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.042351,28.8542734,991.876918749643,0,47.042351,28.8542734,991.876918749643,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,2.0,0.0,,,,,,,2.0,,,,,24.0,7.0,68.0,1800.0,0.2916666666666667,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.042351,28.8542734,991.876918749643,0,47.042351,28.8542734,991.876918749643,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,1.0,0.0,,,,,,,2.0,,,,,11.0,2.0,57.0,1477.4035087719299,0.18181818181818182,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.0700803,28.8629657,4272.104712698222,0,47.0700803,28.8629657,4272.104712698222,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,2.0,4.0,,,,,,,2.0,,,,,10.0,8.0,74.0,2364.864864864865,0.8,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,47.0310499,28.7697398,7983.128448161052,0,47.0310499,28.7697398,7983.128448161052,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,3.0,1.0,,,,,,,2.0,,,,,9.0,8.0,70.0,1335.7142857142858,0.8888888888888888,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.9795778,28.8599393,1039.2456055990956,0,46.9795778,28.8599393,1039.2456055990956,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,3.0,4.0,,,,,,,2.0,,,,,15.0,1.0,91.0,2516.4835164835163,0.06666666666666667,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,47.057588,28.890629,2403.6471277178857,0,47.057588,28.890629,2403.6471277178857,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,3.0,4.0,,,,,,,2.0,,,,,10.0,5.0,76.0,1100.0,0.5,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,47.0132668,28.7511952,1098.787581805104,0,47.0132668,28.7511952,1098.787581805104,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.0,2.0,4.0,,,,,,,2.0,,,,,12.0,7.0,64.0,1150.0,0.5833333333333334,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,47.0039073,28.778249,2940.2140751828106,0,47.0039073,28.778249,2940.2140751828106,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,1.0,0.0,,,,,,,2.0,,,,,9.0,4.0,43.0,1330.0,0.4444444444444444,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,47.067136,28.8464754,3140.764898584909,0,47.067136,28.8464754,3140.764898584909,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1.0,1.0,0.0,,,,,,,2.0,,,,,6.0,6.0,48.0,1697.9166666666667,1.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,46.956756,28.9012508,4992.280367170232,0,46.956756,28.9012508,4992.280367170232,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,2.0,3.0,,,,,,,2.0,,,,,5.0,1.0,45.0,1774.4444444444443,0.2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,46.9388872,28.9462909,8881.136048811632,0,46.9388872,28.9462909,8881.136048811632,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,3.0,4.0,,,,,,,2.0,,,,,14.0,1.0,106.0,2688.6792452830186,0.07142857142857142,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,47.0221197,28.8008688,1883.9410283209686,0,47.0221197,28.8008688,1883.9410283209686,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,2.0,4.0,,,,,,,2.0,,,,,9.0,8.0,54.0,2407.4074074074074,0.8888888888888888,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,1,47.0225368,28.844226,1678.113886189654,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,2.0,4.0,,,,,,,2.0,,,,,9.0,9.0,54.0,2407.4074074074074,1.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,1,47.0225368,28.844226,1678.113886189654,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,2.0,0.0,,,,,,,2.0,,,,,10.0,8.0,69.0,1393.9130434782608,0.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.0671618,28.8429777,2883.416986828092,0,47.0671618,28.8429777,2883.416986828092,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1.0,2.0,4.0,,,,,,,2.0,,,,,9.0,4.0,69.0,2246.376811594203,0.4444444444444444,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.0013294,28.7781318,2953.2890959087863,0,47.0013294,28.7781318,2953.2890959087863,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,2.0,4.0,,,,,,,2.0,,,,,14.0,11.0,70.0,2928.5714285714284,0.7857142857142857,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.0221197,28.8008688,1883.9410283209686,0,47.0221197,28.8008688,1883.9410283209686,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,3.0,4.0,,,,,,,2.0,,,,,12.0,4.0,87.0,1500.0,0.3333333333333333,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,46.9736647,28.8484399,1648.8758511585106,0,46.9736647,28.8484399,1648.8758511585106,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
