Жилая площадь,Высота потолков,id,Жилой фонд,Ливинг,title,Тип,link,Адрес,Парковочное место,Тип здания,Этаж,Застройщик,Общая площадь,Планировка,Санузел,Состояние квартиры,Автор объявления,Балкон / лоджия,Площадь кухни,price,Количество этажей,Количество комнат
,,102954162,Новострой,,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Продам,https://999.md/ru/102954162?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzMzk5NDYsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDI5NTQxNjIiLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcmVtaXVtIiwibCI6ImNkMjVlNDlkLTBiNDgtNDEzZi05YWIwLWFjZTRhY2Q1ZmQ3OSIsImUiOiI4OS4xNDkuOTEuMTcwIiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDQtMDRUMjA6NTk6MDYuMDg3MDkxODkxWiJ9fQ.chzK4HjOx9r0naUtiF3RVaDOhMKGP3ACBwj1HdIqhbE&adType=booster,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24/a",,,9,,79 м²,,2,Незавершенное cтроительство,Застройщик,,,87 010 €,9,2-х комнатная квартира
,,103944887,Вторичный,Квартира с ливингом,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/103944887?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzMzk5NDYsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM5NDQ4ODciLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiNDE0OTNiZjQtZDA3Zi00NzgyLThkZGEtNjI1NjY2MTJhOTE3IiwiZSI6Ijg5LjE0OS45MS4xNzAiLCJ0IjoiMjAyNi0wNC0wNFQyMDo1OTowNi4wODcxNTYzNDhaIn19.DwTyi6OuadzcMN_mqlQkRm_T_dszR7hyZfb_lHrP5hs&adType=booster,"Кишинёв мун., Кишинёв, Рышкановка, str. Alecu Russo, 3/2",,Kотельцовый,2,,49 м²,,,Eвроремонт,Застройщик,,,106 500 €,5,2-х комнатная квартира
,,103979830,Вторичный,Квартира без ливинга,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/103979830?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzMzk5NDYsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM5Nzk4MzAiLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiM2Y5NDZhNzEtOWUxMS00OWRlLTlhYjgtYThkYjhhMDM1Y2FkIiwiZSI6Ijg5LjE0OS45MS4xNzAiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTA0VDIwOjU5OjA2LjA4Njc3NTM2M1oifX0.C2QXPKR1Qt6PKI6L1kuRyIhzpyDxv0QW-OUlBBqHaOo&adType=booster,"Кишинёв мун., Кишинёв, Буюканы, str. Nicolai Costin, 65/3",Oткрытое,,8,,54 м²,135,1,Eвроремонт,Застройщик,1,,109 800 €,9,2-х комнатная квартира
74 м²,,103933058,Вторичный,Квартира с ливингом,"2-х комнатная квартира,  Центр,  Криково,  Кишинёв мун.",Продам,https://999.md/ru/103933058?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzMzk5NDYsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM5MzMwNTgiLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiYTJhOWFlNDctYjgwMy00ODBjLWJhN2UtNWZjZTRjZWNmYTc1IiwiZSI6Ijg5LjE0OS45MS4xNzAiLCJnIjoicGx1cyIsInQiOiIyMDI2LTA0LTA0VDIwOjU5OjA2LjA4NjgxMDM1MloifX0.hfNvETBlvnIH3B_tCccaY5x6dvSdFY2hhaJRlLiKxDs&adType=booster,"Кишинёв мун., Криково, Центр, şos. Chişinăului 106, 4",,,3,,74 м²,,1,Eвроремонт,Частное лицо,1,,3 000 MDL,3,2-х комнатная квартира
,,103963739,Вторичный,,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/103963739?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzMzk5NDYsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM5NjM3MzkiLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcmVtaXVtIiwibCI6IjAyYTFhOGVkLWM0NjktNDUzYy1iODhkLWUyNzFlYjA1ZTI1ZSIsImUiOiI4OS4xNDkuOTEuMTcwIiwiZyI6InBsdXMiLCJ0IjoiMjAyNi0wNC0wNFQyMDo1OTowNi4wODY5NTIyOTFaIn19.F-W8R3dK9A5CtcoNbC0nox-gmoKTlMFdeW4QsHs41f8&adType=booster,"Кишинёв мун., Кишинёв, Буюканы, str. Nicolae Costin, 65/3",,,8,,54 м²,135,1,Eвроремонт,Агентство,1,,114 500 €,9,2-х комнатная квартира
,,103826907,Новострой,Квартира с ливингом,"2-х комнатная квартира,  Центр,  Криково,  Кишинёв мун.",Продам,https://999.md/ru/103826907?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzMzk5NDYsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM4MjY5MDciLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcmVtaXVtIiwibCI6IjQ0YTM2MzIxLTJlZDItNDU3Ny1iZjc0LWFlNDk2YzIyNTU0MyIsImUiOiI4OS4xNDkuOTEuMTcwIiwiZyI6ImxpdGUiLCJ0IjoiMjAyNi0wNC0wNFQyMDo1OTowNi4wODY5NzQ2MThaIn19.7KEWY456ELjqaDIDZ1OL1NhCc-tpU3e539_JUDYB0X0&adType=booster,"Кишинёв мун., Криково, Центр, str. Ştefan cel Mare și Sfînt, 10",,,8,,62 м²,,1,,Застройщик,,,60 368 €60 369 €,10,2-х комнатная квартира
,,85456599,Новострой,,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/85456599,"Кишинёв мун., Кишинёв, Ботаника, str. Grenoble, 134/4",,,4,Solomon Construct Imobil,87 м²,,,,Застройщик,,,130 500 €,12,3-х комнатная квартира
,250 см,103622689,Вторичный,,"3-х комнатная квартира,  Центр,  Купчинь,  Единцы",Продам,https://999.md/ru/103622689,"Единцы, Купчинь, Центр, str. Livezilor, 8",,,3,,67 м²,,2,Индивидуальный дизайн,Частное лицо,1,9 м²,36 000 €,5,3-х комнатная квартира
35 м²,2700 см,103972682,Новострой,Квартира без ливинга,"1-комнатная квартира,  Центр,  Криково,  Кишинёв мун.",Продам,https://999.md/ru/103972682,"Кишинёв мун., Криково, Центр, Str Chișinăului , 82",Oткрытое,Kотельцовый,6,AMIC,54 м²,Индивидуальная,1,Eвроремонт,Застройщик,,18 м²,74 500 €,6,1-комнатная квартира
54 м²,,103986861,Новострой,Квартира с ливингом,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/103986861,"Кишинёв мун., Кишинёв, Центр, str. Lev Tolstoi, 74",,,5,Exfactor-grup,69 м²,,1,Eвроремонт,Агентство,1,15 м²,199 000 €,11,2-х комнатная квартира
