Телефон,title,Общая площадь,Регион,price,Тип,link,id,Площадь кухни,Высота потолков,Жилая площадь
+37379,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",75 м²,"Регион:Кишинёв мун., Дурлешты, Центр, str. Capriana, 4",105 000 €,Продам,https://999.md/ru/103893673?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzQ4MTI4NzgsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM4OTM2NzMiLCJpIjoiODkuMTQ5LjkzLjIwNyIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiNTliMWFlNDItYmEzZC00NTIyLThjZTUtZTNjZDRkMjAzMmU2IiwiZSI6Ijg5LjE0OS45My4yMDciLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wMy0yOVQxODozNDozOC4xMTI3Njk5NzZaIn19.kR_iQ9B-3sqnlYAAmF_AwNW09UZywBTFzG1hwAxQ-pg&adType=booster,103893673,,,75 м²
+37360,"2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",143 м²,"Регион:Кишинёв мун., Кишинёв, Старая Почта, Iazului, 38",206 115 €,Продам,https://999.md/ru/103738044?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzQ4MTI4NzgsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM3MzgwNDQiLCJpIjoiODkuMTQ5LjkzLjIwNyIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiODVmZTRiMzQtYjgxMS00ZGQ5LTllMTgtZmIyZjMyOGFmYWUzIiwiZSI6Ijg5LjE0OS45My4yMDciLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wMy0yOVQxODozNDozOC4xMTI0MjY0NzNaIn19.NP1VMRT8LinDGsMFcvsWnihpB2a_54MqKPUOI9qmOSs&adType=booster,103738044,,,
+37379,"3-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",84 м²,"Регион:Кишинёв мун., Дурлешты, Центр, str. Durlesti, 10/B",121 075 €,Продам,https://999.md/ru/74218641?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzQ4MTI4NzgsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI3NDIxODY0MSIsImkiOiI4OS4xNDkuOTMuMjA3IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfaGVhZGVyIiwieCI6InByZW1pdW0iLCJsIjoiYWU5NDFlNGItMTgwZS00ZWNhLWE5MTYtM2FlZWEyY2IzMGYxIiwiZSI6Ijg5LjE0OS45My4yMDciLCJ0IjoiMjAyNi0wMy0yOVQxODozNDozOC4xMTI1ODUyOTFaIn19.QXcOJFwVDrGUD0PSxXK5ubFG_pODsuJl6LjFyplnQLk&adType=booster,74218641,13 м²,275 см,
+37360,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",56 м²,"Регион:Кишинёв мун., Дурлешты, Центр, str. Durlești, 8",81 432 €,Продам,https://999.md/ru/102831793?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzQ4MTI4NzgsIkMiOnsiciI6MSwiYiI6MTIwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDI4MzE3OTMiLCJpIjoiODkuMTQ5LjkzLjIwNyIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcmVtaXVtIiwibCI6ImFlOTQxZTRiLTE4MGUtNGVjYS1hOTE2LTNhZWVhMmNiMzBmMSIsImUiOiI4OS4xNDkuOTMuMjA3IiwidCI6IjIwMjYtMDMtMjlUMTg6MzQ6MzguMTEyNjEwMTQzWiJ9fQ.GgjhDDHcBmrAkqk669HBDXriMHBDUeR2t3plcugWD38&adType=booster,102831793,13 м²,286 см,
+37378,"3-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",110 м²,"Регион:Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24a",124 660 €,Продам,https://999.md/ru/101794926?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzQ4MTI4NzgsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDE3OTQ5MjYiLCJpIjoiODkuMTQ5LjkzLjIwNyIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcmVtaXVtIiwibCI6ImNkMjVlNDlkLTBiNDgtNDEzZi05YWIwLWFjZTRhY2Q1ZmQ3OSIsImUiOiI4OS4xNDkuOTMuMjA3IiwiZyI6InBsdXMiLCJ0IjoiMjAyNi0wMy0yOVQxODozNDozOC4xMTI2MzQwNjdaIn19.dFj44kVaMQFbYfZRMpGVF2ESJ80OOWosBvJnyz5X4cQ&adType=booster,101794926,27 м²,290 см,
+37379,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",47 м²,"Регион:Кишинёв мун., Кишинёв, Центр, bd. Stefan cel Mare si Sfint, 171/3",184 900 €,Продам,https://999.md/ru/103895270,103895270,,,47 м²
+37378,"4-x комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",142 м²,"Регион:Кишинёв мун., Кишинёв, Центр, 31 August 1989, 64",415 000 €,Продам,https://999.md/ru/103793997,103793997,,,
+37368,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",34 м²,"Регион:Кишинёв мун., Кишинёв, Чокана, str. Voluntarilor, 10",55 000 €,Продам,https://999.md/ru/103050830,103050830,,,
+37367,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",106 м²,"Регион:Кишинёв мун., Кишинёв, Ботаника, str. Grenoble, 134/4",159 000 €,Продам,https://999.md/ru/85457674,85457674,,,
+37367,"3-х комнатная квартира,  Дурлешты,  Кишинёв,  Кишинёв мун.",76 м²,"Регион:Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24a",83 600 €,Продам,https://999.md/ru/101878983,101878983,,,
