Тип здания,Высота потолков,link,Состояние квартиры,id,Количество комнат,Планировка,Жилой фонд,Количество этажей,Автор объявления,price,Адрес,Застройщик,Этаж,title,Балкон / лоджия,Общая площадь,Площадь кухни,Парковочное место,Жилая площадь,Санузел,Ливинг,Тип
Ячеистый Бетон,220 см,https://999.md/ru/104067527?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2ODcyNzgsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwNjc1MjciLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiNTRkNjVjMmQtOTY0NS00M2M0LTliNzUtZmEyNzI2ZmIyNjFiIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoicGx1cyIsInQiOiIyMDI2LTA0LTIwVDExOjE0OjM4Ljc1MTg4NTg5WiJ9fQ.P-DtJarrREP6SNHXftzeNOXrmkCTZa1exy2Tnekuqc0&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=9,Белый вариант,104067527,1-комнатная квартира,Индивидуальная,Новострой,12,Частное лицо,50 000 €,"Кишинёв мун., Кишинёв, Ботаника, Cetatea Albă nr 11/G, Noua",Sky House,5,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",1,39 м²,39 м²,Oткрытое,,1,,Продам
,,https://999.md/ru/103986760?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2ODcyNzgsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM5ODY3NjAiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcm8iLCJsIjoiNmI2MDE0NmItOGVkNS00NmYyLWE1NTQtNWU1NjAzZTFmNjUwIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQxMToxNDozOC43NTE5MTY1MzhaIn19.4R0ZZNfSoWt0vEky3c8YfjKUGrMTbqT_zFqnS0CS0mY&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=10,Eвроремонт,103986760,1-комнатная квартира,,Новострой,10,Агентство,109 000 €,"Кишинёв мун., Кишинёв, Ботаника, str. Burebista, 25",,9,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",,43 м²,,,,,,Продам
Kомбинированный,,https://999.md/ru/78392686?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2ODcyNzgsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI3ODM5MjY4NiIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfaGVhZGVyIiwieCI6InByZW1pdW0iLCJsIjoiOTkyYjUyYWItZmVjYi00YmVjLWE1NjAtMmVkNTQyZTBmZWU5IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJ0IjoiMjAyNi0wNC0yMFQxMToxNDozOC43NTE5NzU0NDZaIn19.o69krYqgyqSOwRngEZfv0iuwp97iTXqMjheyU9ojvKE&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=11,Индивидуальный дизайн,78392686,2-х комнатная квартира,Индивидуальная,Новострой,16,Агентство,60 €,Расположение,,10,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",1,65 м²,,Oткрытое,,1,,Сдаю посуточно
,,https://999.md/ru/65340228?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2ODcyNzgsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI2NTM0MDIyOCIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfaGVhZGVyIiwieCI6IiIsImwiOiJkZTQxN2MzNS1jNDFhLTQxNjAtYTYzNS03YmI5YTE2YTBhZDgiLCJlIjoiODkuMTQ5LjkzLjEzOSIsInQiOiIyMDI2LTA0LTIwVDExOjE0OjM4Ljc1MjA1NzA1NVoifX0.jhwUWsLP6TCXFzdXN_3hTI5sb9k7U-Aq2aJpAaDZvjU&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=12,,65340228,1-комнатная квартира,,Новострой,,Агентство,299 MDL,"Кишинёв мун., Кишинёв, Ботаника, str. Actor Chiril Ştirbu, 15",,,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",,40 м²,,,,,,Сдаю посуточно
Блочный,320 см,https://999.md/ru/104108450?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2ODcyNzgsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQxMDg0NTAiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiZDZjYWZiMDQtNzk4YS00NDVjLTlkYTktMjkzOTFjMGM4OTljIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQxMToxNDozOC43NTE0MDc0MTFaIn19.__m2rvi5MZXPQc_XV5eAgpdSDh23o90b76hwko5CSG0&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=1,Нуждается в ремонте,104108450,2-х комнатная квартира,Малосемейная,Вторичный,5,Частное лицо,20 000 €,"Сынжерей, Сынжерей, Центр, str. Anton Crihan, 11",,5,"2-х комнатная квартира,  Центр,  Сынжерей,  Сынжерей",Нет,51 м²,,Oткрытое,51 м²,1,,Продам
Kотельцовый,,https://999.md/ru/103655941?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2ODcyNzgsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM2NTU5NDEiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcmVtaXVtIiwibCI6ImMyMTljOGY3LTU4ZTgtNDQxOS05YTZjLWM5ZmU3ZTlhZTNmNyIsImUiOiI4OS4xNDkuOTMuMTM5IiwiZyI6ImxpdGUiLCJ0IjoiMjAyNi0wNC0yMFQxMToxNDozOC43NTE0Njk3NjZaIn19.K0oUFx7lxIzWjpEvWFFTAOZCixfRVuyfd2UFy1NGuD0&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=2,Eвроремонт,103655941,2-х комнатная квартира,,Вторичный,5,Агентство,127 000 €,"Кишинёв мун., Кишинёв, Буюканы, str. Suceava, 110",,4,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",2,72 м²,,,,1,Квартира с ливингом,Продам
Kотельцовый,,https://999.md/ru/103996333?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2ODcyNzgsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM5OTYzMzMiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiOWZkMDQ3MjQtOTM1Zi00YjAxLTk4MGEtM2UyZDBiODc4ODEwIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQxMToxNDozOC43NTE1MTYzMzlaIn19.e4WFgq2nA1kD9aBDZiZhx3EDsYEx7FUaCd5aFenfjVk&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=3,Eвроремонт,103996333,3-х комнатная квартира,Индивидуальная,Вторичный,2,Частное лицо,82 900 €,"Кишинёв мун., Кишинёв, Центр, ул. Поштей, 92",,2,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",1,90 м²,,Oткрытое,73 м²,1,Квартира с ливингом,Продам
,,https://999.md/ru/103975422?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2ODcyNzgsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM5NzU0MjIiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcmVtaXVtIiwibCI6ImFlMjAxMjEyLTFiNjYtNGE1NS1hZjUwLWI1YTQ2YzFhZjRmMCIsImUiOiI4OS4xNDkuOTMuMTM5IiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDQtMjBUMTE6MTQ6MzguNzUxNTgwNTMyWiJ9fQ.8FFuTWkHM3-8b_zSBmq2IIUt-onv56axoSVJ_vPIEeg&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=4,Eвроремонт,103975422,2-х комнатная квартира,,Вторичный,9,Агентство,114 900 €,"Кишинёв мун., Кишинёв, Старая Почта, ул. Каля Орхеюлуй, 105/2",,7,"2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",1,56 м²,,Oткрытое,,2,Квартира с ливингом,Продам
Mонолитный,,https://999.md/ru/103654582?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2ODcyNzgsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM2NTQ1ODIiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiZjVhOGYzYTctZDNmMC00MjdlLThjNjktMTQwYzI1YmMwZTc5IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDExOjE0OjM4Ljc1MTcxNTQyMVoifX0.ID7wNLuP3SRJicG_rX1T_Pj3wXdfVb76V6VpMfuQu5A&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=5,Сдан в эксплуатацию,103654582,1-комнатная квартира,Гостинка,Вторичный,13,Частное лицо,66 500 €,"Кишинёв мун., Кишинёв, Старая Почта, str. Socoleni, 23",,8,"1-комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",Нет,35 м²,,Oткрытое,20 м²,1,Квартира без ливинга,Продам
,,https://999.md/ru/89828684?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2ODcyNzgsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI4OTgyODY4NCIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfaGVhZGVyIiwieCI6InByZW1pdW0iLCJsIjoiMWNiZjkwMzctODQ5Ny00ZGRlLWE0NDgtZjliY2MxOGRlOGZlIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQxMToxNDozOC43NTE3NDExNVoifX0.IBPOWvBACPZj3luIQn_dVEsrEjDXRZuyVW7-XdedsCk&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=6,Eвроремонт,89828684,3-х комнатная квартира,,Новострой,9,Агентство,600 MDL,Расположение,,3,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",1,55 м²,,Подземная,,1,Квартира с ливингом,
