Площадь кухни,Общая площадь,Автор объявления,Жилой фонд,Жилая площадь,Высота потолков,link,Этаж,Количество комнат,id,Санузел,Балкон / лоджия,Тип,Количество этажей,Ливинг,title,Застройщик,Планировка,Состояние квартиры,Адрес,Парковочное место,price,Тип здания
,40 м²,Агентство,Вторичный,,,https://999.md/ru/104534598?location=subcategory&index=1&cardCategoryId=270&cardSubcategoryId=1404,5,1-комнатная квартира,104534598,1,1,Продам,5,,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",,,Eвроремонт,"Кишинёв мун., Кишинёв, Ботаника, bd. Dacia, 6",,74 000 €,
,26 м²,Агентство,Вторичный,,,https://999.md/ru/103595624?location=subcategory&index=2&cardCategoryId=270&cardSubcategoryId=1404,2,1-комнатная квартира,103595624,,,Продам,5,,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",,Малосемейная,Eвроремонт,"Кишинёв мун., Кишинёв, Ботаника, Independenței , 10/1",,44 500 €,
,43 м²,Застройщик,Новострой,,,https://999.md/ru/104499913?location=subcategory&index=3&cardCategoryId=270&cardSubcategoryId=1404,3,1-комнатная квартира,104499913,,1,,11,Квартира без ливинга,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Lagmar Impex,,Eвроремонт,"Кишинёв мун., Кишинёв, Рышкановка, ул. Богдан Воевод, 2B",Oткрытое,128 000 €,
,74 м²,Агентство,Новострой,,,https://999.md/ru/103733072?location=subcategory&index=4&cardCategoryId=270&cardSubcategoryId=1404,9,2-х комнатная квартира,103733072,1,1,,9,,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",,Индивидуальная,Eвроремонт,"Кишинёв мун., Кишинёв, Буюканы, Ion Buzdugan, 11",,204 900 €,Kирпичный
,45 м²,Частное лицо,Вторичный,,,https://999.md/ru/104563322?location=subcategory&index=5&cardCategoryId=270&cardSubcategoryId=1404,4,2-х комнатная квартира,104563322,,,,5,,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",,,Нуждается в ремонте,"Кишинёв мун., Кишинёв, Рышкановка, bd. Moscova, 1",,84 000 €,
,39 м²,Агентство,Новострой,,,https://999.md/ru/104606519?location=subcategory&index=6&cardCategoryId=270&cardSubcategoryId=1404,7,1-комнатная квартира,104606519,1,1,,13,Квартира без ливинга,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",,,Eвроремонт,"Кишинёв мун., Кишинёв, Чокана, str. Mihail Sadoveanu, 24/6",,95 000 €,
16 м²,91 м²,Застройщик,Новострой,,290 см,https://999.md/ru/103814267?location=subcategory&index=7&cardCategoryId=270&cardSubcategoryId=1404,6,3-х комнатная квартира,103814267,2,1,,7,Квартира с ливингом,"3-х комнатная квартира,  Центр,  Яловены,  Яловены",,,Белый вариант,"Яловены, Яловены, Центр, str. Alexandru cel Bun, 13/N",Подземная,121 942 €,
,47 м²,Частное лицо,Вторичный,47 м²,,https://999.md/ru/103885894?location=subcategory&index=8&cardCategoryId=270&cardSubcategoryId=1404,5,2-х комнатная квартира,103885894,1,1,Продам,5,Квартира с ливингом,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",,Индивидуальная,Индивидуальный дизайн,"Кишинёв мун., Кишинёв, Ботаника, str. Minsk, 47",Oткрытое,83 000 €,Kомбинированный
,34 м²,Частное лицо,Новострой,,,https://999.md/ru/104568482?location=subcategory&index=9&cardCategoryId=270&cardSubcategoryId=1404,6,1-комнатная квартира,104568482,1,,Продам,10,Квартира с ливингом,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",,,Eвроремонт,"Кишинёв мун., Кишинёв, Ботаника, str. Băcioii Noi, 14/5",,77 900 €,
,36 м²,Частное лицо,Вторичный,,260 см,https://999.md/ru/104577322?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NTY5MTcsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ1NzczMjIiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiMGM3OGFjYjUtMTcxOS00YzZhLWIxZjUtYTA0YzI1ZjZiYjgyIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoicGx1cyIsInQiOiIyMDI2LTA2LTE0VDE2OjA4OjM3LjUxMjc2NjIyOVoifX0.BnqEciLKwI3kzr5QG1y99maxMaaoRxLPoyLXIs2nxfI&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=10&cardCategoryId=270&cardSubcategoryId=1404,5,1-комнатная квартира,104577322,1,1,Сдаю помесячно,9,,"1-комнатная квартира,  БАМ,  Бельцы,  Бельцы мун.",,,Косметический pемонт,"Бельцы мун., Бельцы, БАМ, ул. Александру чел Бун, 44",Oткрытое,3 500 MDL,
