Балкон / лоджия,Состояние квартиры,Санузел,Высота потолков,Планировка,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Количество комнат,Парковочное место,Жилой фонд,Застройщик,Жилая площадь,price,Ливинг,Адрес,Тип,title,Площадь кухни
1,Белый вариант,1,286 см,Индивидуальная,Застройщик,102240307,https://999.md/ru/102240307?location=subcategory&index=703&cardCategoryId=270&cardSubcategoryId=1404,Ячеистый Бетон,2,6,64 м²,2-х комнатная квартира,Гараж,Новострой,Astercon,,86 252 €,Квартира без ливинга,"Кишинёв мун., Дурлешты, Центр, str. Durlești, 8",Продам,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",13 м²
,Eвроремонт,1,,Индивидуальная,Агентство,102220537,https://999.md/ru/102220537?location=subcategory&index=704&cardCategoryId=270&cardSubcategoryId=1404,,10,10,45 м²,1-комнатная квартира,Oткрытое,Новострой,Basconslux,,114 900 €,Квартира с ливингом,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 45",Продам,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
1,Белый вариант,2,286 см,Индивидуальная,Застройщик,102240482,https://999.md/ru/102240482?location=subcategory&index=705&cardCategoryId=270&cardSubcategoryId=1404,Ячеистый Бетон,4,6,76 м²,2-х комнатная квартира,Гараж,Новострой,Astercon,,102 830 €,Квартира с ливингом,"Кишинёв мун., Дурлешты, Центр, str. Durlești, 8",Продам,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",12 м²
,Белый вариант,,,,Агентство,101418329,https://999.md/ru/101418329?location=subcategory&index=706&cardCategoryId=270&cardSubcategoryId=1404,,1,8,37 м²,1-комнатная квартира,,Новострой,,,61 050 €,,"Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 100a",Продам,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",
2,Eвроремонт,2,,Индивидуальная,Агентство,102294466,https://999.md/ru/102294466?location=subcategory&index=707&cardCategoryId=270&cardSubcategoryId=1404,,3,10,63 м²,2-х комнатная квартира,Oткрытое,Новострой,Pamir Construct,,100 000 €,Квартира с ливингом,Расположение,Продам,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",
1,Eвроремонт,2,,,Агентство,101793438,https://999.md/ru/101793438?location=subcategory&index=708&cardCategoryId=270&cardSubcategoryId=1404,,12,14,76 м²,2-х комнатная квартира,Oткрытое,Новострой,Lagmar Impex,,258 000 €,Квартира с ливингом,"Кишинёв мун., Кишинёв, Центр, ул. Николае Тестемицану, 19/1",Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
,Белый вариант,2,,,Застройщик,102105771,https://999.md/ru/102105771?location=subcategory&index=709&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,14,14,133 м²,3-х комнатная квартира,Подземная,Новострой,Exfactor-grup,,250 000 €,Квартира с ливингом,"Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 28",Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
Нет,Белый вариант,1,,,Застройщик,82654441,https://999.md/ru/82654441?location=subcategory&index=710&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,1,7,51 м²,1-комнатная квартира,,Новострой,Poliprim Grup,43 м²,71 400 €,,"Яловены, Яловены, Центр, str. Moldova, 2/3",Продам,"1-комнатная квартира,  Центр,  Яловены,  Яловены",
1,Белый вариант,1,270 см,,Застройщик,82654692,https://999.md/ru/82654692?location=subcategory&index=711&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,1,7,68 м²,2-х комнатная квартира,,Новострой,Poliprim Grup,68 м²,95 200 €,,"Яловены, Яловены, Центр, str. Moldova, 2/3",Продам,"2-х комнатная квартира,  Центр,  Яловены,  Яловены",
,,,,,Частное лицо,104289472,https://999.md/ru/104289472?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjU0NzksIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQyODk0NzIiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiOTYxNmU4ODgtODQ1MS00OTAwLWIxODctODZhNzllOWFmMGQ4IiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA2LTE0VDE4OjMxOjE5LjM5ODg5NzgxM1oifX0.CUKC-TWEOGTDOmenHoEy_VKQKQCFtz5RQ37PVPikC9Y&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=712&cardCategoryId=270&cardSubcategoryId=1404,,4,9,75 м²,3-х комнатная квартира,,Новострой,Basconslux,,180 000 €,Квартира с ливингом,"Кишинёв мун., Кишинёв, Буюканы, str. Ion Creangă, 49/3",Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
1,Eвроремонт,1,,,Застройщик,102803659,https://999.md/ru/102803659?location=subcategory&index=713&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,1,12,91 м²,3-х комнатная квартира,Подземная,Новострой,Exfactor-grup,,229 000 €,Квартира с ливингом,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 41/A",Продам,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
1,Белый вариант,1,,Индивидуальная,Застройщик,100234512,https://999.md/ru/100234512?location=subcategory&index=714&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,4,8,47 м²,1-комнатная квартира,,Новострой,Poliprim Grup,,61 100 €,,"Яловены, Яловены, Центр, str. Nicolae Testemiţanu, 1",Продам,"1-комнатная квартира,  Центр,  Яловены,  Яловены",
,Eвроремонт,,,,Агентство,102800911,https://999.md/ru/102800911?location=subcategory&index=715&cardCategoryId=270&cardSubcategoryId=1404,,2,11,53 м²,Комната,,Новострой,Estate Invest Company,,107 900 €,Квартира с ливингом,"Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 102",Продам,"Комната,  Телецентр,  Кишинёв,  Кишинёв мун.",
1,Белый вариант,1,,,Застройщик,87750190,https://999.md/ru/87750190?location=subcategory&index=716&cardCategoryId=270&cardSubcategoryId=1404,Mонолитный,1,5,74 м²,3-х комнатная квартира,Подземная,Новострой,A-casa,,105 820 €,Квартира с ливингом,"Кишинёв мун., Кишинёв, Буюканы, str. Gheorghe Codreanu, 77",Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
1,Индивидуальный дизайн,2,,,Агентство,87868818,https://999.md/ru/87868818?location=subcategory&index=717&cardCategoryId=270&cardSubcategoryId=1404,,14,15,108 м²,3-х комнатная квартира,Oткрытое,Новострой,,,205 000 €,Квартира с ливингом,"Кишинёв мун., Кишинёв, Ботаника, bd. Decebal, 23",Продам,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
2,Eвроремонт,1,,,Застройщик,102207196,https://999.md/ru/102207196?location=subcategory&index=718&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,3,5,55 м²,2-х комнатная квартира,Oткрытое,Вторичный,,,86 000 €,,"Кишинёв мун., Кишинёв, Буюканы, str. Ion Pelivan, 15",Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
1,Белый вариант,1,286 см,Индивидуальная,Застройщик,102196003,https://999.md/ru/102196003?location=subcategory&index=719&cardCategoryId=270&cardSubcategoryId=1404,Ячеистый Бетон,2,6,50 м²,Комната,Гараж,Новострой,Astercon,,72 384 €,Квартира с ливингом,"Кишинёв мун., Дурлешты, Центр, str. Durlești, 8",Продам,"Комната,  Центр,  Дурлешты,  Кишинёв мун.",12 м²
,Eвроремонт,1,,Индивидуальная,Агентство,102130231,https://999.md/ru/102130231?location=subcategory&index=720&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,7,8,54 м²,2-х комнатная квартира,Oткрытое,Новострой,Pamir Construct,,143 900 €,Квартира с ливингом,Расположение,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
