Балкон / лоджия,Состояние квартиры,Санузел,Планировка,Высота потолков,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Количество комнат,Парковочное место,Жилой фонд,Застройщик,Жилая площадь,price,Ливинг,Адрес,Тип,title,Площадь кухни
1,Белый вариант,2,Индивидуальная,300 см,Застройщик,100834730,https://999.md/ru/100834730?location=subcategory&index=937&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,1,10,75 м²,3-х комнатная квартира,Подземная,Новострой,Sky House,50 м²,99 000 €,Квартира с ливингом,"Кишинёв мун., Кишинёв, Ботаника, str. Băcioii Noi, 14/5",Продам,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",15 м²
1,Белый вариант,2,Индивидуальная,300 см,Застройщик,100834701,https://999.md/ru/100834701?location=subcategory&index=938&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,1,10,75 м²,3-х комнатная квартира,Подземная,Новострой,Sky House,50 м²,99 000 €,Квартира с ливингом,"Кишинёв мун., Кишинёв, Аэропорт, str. Băcioii Noi, 14/D",Продам,"3-х комнатная квартира,  Аэропорт,  Кишинёв,  Кишинёв мун.",15 м²
1,Eвроремонт,1,Индивидуальная,,Агентство,104586563,https://999.md/ru/104586563?location=subcategory&index=939&cardCategoryId=270&cardSubcategoryId=1404,Mонолитный,3,7,49 м²,1-комнатная квартира,Oткрытое,Новострой,Dansicons,25 м²,89 500 €,,"Оргеев, Оргеев, Центр, str. Constantin Negruzzi, 91",Продам,"1-комнатная квартира,  Центр,  Оргеев,  Оргеев",15 м²
1,Белый вариант,1,Индивидуальная,300 см,Застройщик,104299537,https://999.md/ru/104299537?location=subcategory&index=940&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,5,16,42 м²,1-комнатная квартира,Подземная,Новострой,Sky House,30 м²,66 300 €,Квартира с ливингом,"Кишинёв мун., Кишинёв, Ботаника, str. Cetatea Albă, 11",Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",12 м²
,,,,,Частное лицо,104289472,https://999.md/ru/104289472?location=subcategory&index=941&cardCategoryId=270&cardSubcategoryId=1404,,4,9,75 м²,3-х комнатная квартира,,Новострой,Basconslux,,180 000 €,Квартира с ливингом,"Кишинёв мун., Кишинёв, Буюканы, str. Ion Creangă, 49/3",Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
,,,,,Застройщик,102989052,https://999.md/ru/102989052?location=subcategory&index=942&cardCategoryId=270&cardSubcategoryId=1404,Mонолитный,6,9,54 м²,2-х комнатная квартира,,Новострой,Pamir Construct,,139 000 €,,"Кишинёв мун., Кишинёв, Ботаника, str. Ghica Vodă, 5",Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
Нет,Eвроремонт,2,,,Частное лицо,104577361,https://999.md/ru/104577361?location=subcategory&index=943&cardCategoryId=270&cardSubcategoryId=1404,,3,10,71 м²,2-х комнатная квартира,Oткрытое,Новострой,,,142 200 €,Квартира с ливингом,"Кишинёв мун., Гидигич, Центр, str. Ştefan cel Mare și Sfînt, 1/b",Продам,"2-х комнатная квартира,  Центр,  Гидигич,  Кишинёв мун.",
,,,,,Частное лицо,104180893,https://999.md/ru/104180893?location=subcategory&index=944&cardCategoryId=270&cardSubcategoryId=1404,,4,9,42 м²,1-комнатная квартира,,Новострой,,,46 500 €,,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 2",Продам,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",
1,Eвроремонт,1,Индивидуальная,320 см,Частное лицо,102857559,https://999.md/ru/102857559?location=subcategory&index=945&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,15,17,74 м²,2-х комнатная квартира,Под навесом,Новострой,Eldorado Terra,,240 000 €,Квартира с ливингом,"Кишинёв мун., Кишинёв, Рышкановка, str. Bogdan Voievod, 1/A",Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
2,Eвроремонт,1,Индивидуальная,275 см,Частное лицо,104468157,https://999.md/ru/104468157?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjU4NDksIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ0NjgxNTciLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcm8iLCJsIjoiN2Y3OTFiYTAtNDQ0NS00NzNlLWI4YjUtMDEwOWFiOWE0Mzk5IiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJ0IjoiMjAyNi0wNi0xNFQxODozNzoyOS4xNzIwOTQyODdaIn19.OruVzr9byFZ_SIUiS4jJGBI6cvyrtNCBBLVrIO63p98&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=946&cardCategoryId=270&cardSubcategoryId=1404,Бетон,9,10,55 м²,2-х комнатная квартира,Oткрытое,Вторичный,,31 м²,79 500 €,Квартира с ливингом,"Кишинёв мун., Кишинёв, Ботаника, şos. Munceşti, 164",Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",7 м²
