Балкон / лоджия,Состояние квартиры,Санузел,Высота потолков,Планировка,Автор объявления,id,link,Этаж,Тип здания,Количество этажей,Общая площадь,Количество комнат,Парковочное место,Жилой фонд,Застройщик,Жилая площадь,price,Ливинг,Тип,Адрес,title,Площадь кухни
1,Eвроремонт,1,,,Агентство,104606519,https://999.md/ru/104606519?location=subcategory&index=1015&cardCategoryId=270&cardSubcategoryId=1404,7,,13,39 м²,1-комнатная квартира,,Новострой,,,95 000 €,Квартира без ливинга,Продам,"Кишинёв мун., Кишинёв, Чокана, str. Mihail Sadoveanu, 24/6","1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
1,Белый вариант,2,290 см,,Застройщик,103814267,https://999.md/ru/103814267?location=subcategory&index=1016&cardCategoryId=270&cardSubcategoryId=1404,6,,7,91 м²,3-х комнатная квартира,Подземная,Новострой,,,121 942 €,Квартира с ливингом,Продам,"Яловены, Яловены, Центр, str. Alexandru cel Bun, 13/N","3-х комнатная квартира,  Центр,  Яловены,  Яловены",16 м²
1,Индивидуальный дизайн,1,,Индивидуальная,Частное лицо,103885894,https://999.md/ru/103885894?location=subcategory&index=1017&cardCategoryId=270&cardSubcategoryId=1404,5,Kомбинированный,5,47 м²,2-х комнатная квартира,Oткрытое,Вторичный,,47 м²,83 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Ботаника, str. Minsk, 47","2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
,Eвроремонт,1,,,Частное лицо,104568482,https://999.md/ru/104568482?location=subcategory&index=1018&cardCategoryId=270&cardSubcategoryId=1404,6,,10,34 м²,1-комнатная квартира,,Новострой,,,77 900 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Ботаника, str. Băcioii Noi, 14/5","1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
1,Белый вариант,2,,Индивидуальная,Агентство,103549486,https://999.md/ru/103549486?location=subcategory&index=1019&cardCategoryId=270&cardSubcategoryId=1404,13,Kомбинированный,13,125 м²,2-х комнатная квартира,Подземная,Новострой,,,175 000 €,,Продам,"Кишинёв мун., Кишинёв, Старая Почта, Iazului, 38","2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",
1,Белый вариант,1,250 см,,Застройщик,74206687,https://999.md/ru/74206687?location=subcategory&index=1020&cardCategoryId=270&cardSubcategoryId=1404,1,Бетон,6,56 м²,2-х комнатная квартира,Oткрытое,Новострой,,,44 800 €,,Продам,"Бричаны, Бричаны, Центр, Alexandr Karpișin, 13","2-х комнатная квартира,  Центр,  Бричаны,  Бричаны",
3,Eвроремонт,2,,,Агентство,102131958,https://999.md/ru/102131958?location=subcategory&index=1021&cardCategoryId=270&cardSubcategoryId=1404,4,,5,130 м²,3-х комнатная квартира,Подземная,Новострой,,,480 000 €,,Продам,"Кишинёв мун., Кишинёв, Центр, str. Tighina, 25","3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
Нет,Белый вариант,1,,,Застройщик,87749896,https://999.md/ru/87749896?location=subcategory&index=1022&cardCategoryId=270&cardSubcategoryId=1404,4,Mонолитный,5,54 м²,1-комнатная квартира,Подземная,Новострой,A-casa,,81 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Буюканы, str. Gheorghe Codreanu, 77","1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
,Eвроремонт,,,,Частное лицо,104602573,https://999.md/ru/104602573?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjU5NjgsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ2MDI1NzMiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiZGI1NTJiOGMtYzViNi00N2QwLWI1YTItNjAzNTIwM2RkODVkIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA2LTE0VDE4OjM5OjI4LjU0NjYwNDk2N1oifX0.DMU1EfXhRvEB1Q9-B2AeqXYZ5En3sMR08Vl5423RP1U&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=1023&cardCategoryId=270&cardSubcategoryId=1404,3,,21,66 м²,2-х комнатная квартира,Oткрытое,Новострой,,,163 000 €,,Продам,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 15","2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
,Белый вариант,,,,Агентство,103900881,https://999.md/ru/103900881?location=subcategory&index=1024&cardCategoryId=270&cardSubcategoryId=1404,8,Kирпичный,9,44 м²,1-комнатная квартира,Подземная,Новострой,,,51 660 €,Квартира с ливингом,Продам,"Кишинёв мун., Дурлешты, Центр, ул. Николае Димо, 24","1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",
1,Eвроремонт,1,,Хрущевка,Агентство,104376906,https://999.md/ru/104376906?location=subcategory&index=1025&cardCategoryId=270&cardSubcategoryId=1404,3,,4,41 м²,2-х комнатная квартира,,Вторичный,,,89 900 €,,Продам,"Кишинёв мун., Кишинёв, Телецентр, str. Mihail Lomonosov, 40.","2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",
