Балкон / лоджия,Состояние квартиры,Санузел,Планировка,Высота потолков,Автор объявления,id,link,Этаж,Тип здания,Количество этажей,Общая площадь,Количество комнат,Парковочное место,Жилой фонд,Застройщик,Площадь кухни,Жилая площадь,price,Ливинг,Тип,title,Адрес
1,Белый вариант,1,,,Агентство,86943297,https://999.md/ru/86943297?location=subcategory&index=1171&cardCategoryId=270&cardSubcategoryId=1404,1,,5,93 м²,3-х комнатная квартира,,Новострой,Basconslux,,,93 800 €,,Продам,"3-х комнатная квартира,  Центр,  Кожушна,  Страшены","Страшены, Кожушна, Центр, -, -"
,Белый вариант,2,,,Агентство,89636013,https://999.md/ru/89636013?location=subcategory&index=1172&cardCategoryId=270&cardSubcategoryId=1404,2,,9,79 м²,3-х комнатная квартира,,Новострой,,,,75 050 €,,Продам,"3-х комнатная квартира,  Центр,  Страшены,  Страшены","Страшены, Страшены, Центр, str. Ştefan cel Mare și Sfînt, -"
,Eвроремонт,1,,,Агентство,102775736,https://999.md/ru/102775736?location=subcategory&index=1173&cardCategoryId=270&cardSubcategoryId=1404,2,,7,61 м²,2-х комнатная квартира,,Новострой,,,,92 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, -"
,Eвроремонт,1,,,Агентство,102873904,https://999.md/ru/102873904?location=subcategory&index=1174&cardCategoryId=270&cardSubcategoryId=1404,2,,9,65 м²,2-х комнатная квартира,,Новострой,,,,219 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Onisifor Ghibu, -"
1,Eвроремонт,2,Индивидуальная,,Агентство,104300174,https://999.md/ru/104300174?location=subcategory&index=1175&cardCategoryId=270&cardSubcategoryId=1404,8,,10,72 м²,2-х комнатная квартира,Подземная,Новострой,,,,146 900 €,,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, Str. Cartușa, --"
,Белый вариант,1,,,Агентство,89630122,https://999.md/ru/89630122?location=subcategory&index=1176&cardCategoryId=270&cardSubcategoryId=1404,3,,9,33 м²,1-комнатная квартира,,Новострой,,,,36 300 €,,Продам,"1-комнатная квартира,  Центр,  Страшены,  Страшены","Страшены, Страшены, Центр, str. Ştefan cel Mare și Sfînt, -"
1,Eвроремонт,2,,,Агентство,102993871,https://999.md/ru/102993871?location=subcategory&index=1177&cardCategoryId=270&cardSubcategoryId=1404,2,,14,71 м²,2-х комнатная квартира,,Новострой,Exfactor-grup,,,179 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, -"
,Белый вариант,2,,,Агентство,89635754,https://999.md/ru/89635754?location=subcategory&index=1178&cardCategoryId=270&cardSubcategoryId=1404,3,,9,74 м²,2-х комнатная квартира,,Новострой,,,,74 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Страшены,  Страшены","Страшены, Страшены, Центр, str. Ştefan cel Mare și Sfînt, -"
1,Белый вариант,1,,,Агентство,86942324,https://999.md/ru/86942324?location=subcategory&index=1179&cardCategoryId=270&cardSubcategoryId=1404,2,,5,46 м²,1-комнатная квартира,,Новострой,Basconslux,,,45 600 €,,Продам,"1-комнатная квартира,  Центр,  Кожушна,  Страшены","Страшены, Кожушна, Центр, -, -"
1,Индивидуальный дизайн,1,,,Агентство,104617323,https://999.md/ru/104617323?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjYxOTksIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ2MTczMjMiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiYWMzNTg3ODMtZTIwZi00MGJlLWFiZWMtMjRlMTIxYTMwZTFlIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJ0IjoiMjAyNi0wNi0xNFQxODo0MzoxOS4yODE5NTQwNzFaIn19.jdO-cR230VJtYuWjjB8Up1sE4KWLaTrBVANlTY4RssE&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=1180&cardCategoryId=270&cardSubcategoryId=1404,5,,14,72 м²,2-х комнатная квартира,Под навесом,Новострой,Exfactor-grup,,,182 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Tudor Strișcă, 8/1"
,Косметический pемонт,,143,,Частное лицо,104428140,https://999.md/ru/104428140?location=subcategory&index=1181&cardCategoryId=270&cardSubcategoryId=1404,1,Панельный,9,40 м²,1-комнатная квартира,,Вторичный,,,,68 000 €,,Продам,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Albișoara, 84/4"
Нет,Eвроремонт,1,,,Агентство,104259884,https://999.md/ru/104259884?location=subcategory&index=1182&cardCategoryId=270&cardSubcategoryId=1404,7,,10,62 м²,2-х комнатная квартира,Подземная,Новострой,,,,154 900 €,,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Sarmisegetusa, --"
3,Eвроремонт,2,Индивидуальная,,Застройщик,102151327,https://999.md/ru/102151327?location=subcategory&index=1183&cardCategoryId=270&cardSubcategoryId=1404,4,,6,126 м²,3-х комнатная квартира,Oткрытое,Новострой,,,,375 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Расположение
,Eвроремонт,,,,Агентство,102260174,https://999.md/ru/102260174?location=subcategory&index=1184&cardCategoryId=270&cardSubcategoryId=1404,2,,11,47 м²,1-комнатная квартира,,Новострой,,,,159 000 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, ул. Алеку Руссо, 9/6"
,Белый вариант,,,,Частное лицо,101762709,https://999.md/ru/101762709?location=subcategory&index=1185&cardCategoryId=270&cardSubcategoryId=1404,7,,18,110 м²,3-х комнатная квартира,,Новострой,Sky House,,,148 500 €,,Продам,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, бул. Юрий Гагарин, 18"
,Косметический pемонт,2,,300 см,Частное лицо,104530989,https://999.md/ru/104530989?location=subcategory&index=1186&cardCategoryId=270&cardSubcategoryId=1404,1,,2,30 м²,2-х комнатная квартира,Oткрытое,Вторичный,,,30 м²,28 500 €,,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, ул. Тираспол, 11a"
,,,,,Застройщик,104533842,https://999.md/ru/104533842?location=subcategory&index=1187&cardCategoryId=270&cardSubcategoryId=1404,5,,8,48 м²,1-комнатная квартира,,Новострой,,,,99 900 €,,Продам,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 98/L"
,,2,,,Агентство,101719687,https://999.md/ru/101719687?location=subcategory&index=1188&cardCategoryId=270&cardSubcategoryId=1404,2,,21,64 м²,2-х комнатная квартира,,Новострой,,,,164 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 15 B"
1,Eвроремонт,2,Мс (Молд. Серия),2500 см,Частное лицо,104529260,https://999.md/ru/104529260?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjYxOTksIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ1MjkyNjAiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiNWYwOTU4YzAtNDU2Yy00YjU0LWEyYjItZGM4YWUyMGI0NjYwIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNi0xNFQxODo0MzoxOS4yODIwNDUxNzRaIn19.vN7gmQxFOCVX_WL9i4bw30AgFsy3MkmmGsDWS53hq7E&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=1189&cardCategoryId=270&cardSubcategoryId=1404,6,Бетон,9,58 м²,2-х комнатная квартира,Oткрытое,Вторичный,A-casa,12 м²,40 м²,119 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Liviu Deleanu, 5/2"
1,Eвроремонт,1,,,Агентство,104276227,https://999.md/ru/104276227?location=subcategory&index=1190&cardCategoryId=270&cardSubcategoryId=1404,3,,4,33 м²,1-комнатная квартира,Oткрытое,Вторичный,,,,77 500 €,,Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Dumitru Rîșcanu, ."
