Балкон / лоджия,Состояние квартиры,Санузел,Планировка,Высота потолков,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Количество комнат,Парковочное место,Жилой фонд,Застройщик,Площадь кухни,Жилая площадь,price,Ливинг,Тип,title,Адрес
,,,,,Агентство,104463036,https://999.md/ru/104463036?location=subcategory&index=1327&cardCategoryId=270&cardSubcategoryId=1404,,1,5,47 м²,2-х комнатная квартира,,Вторичный,,,,99 500 €,,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Sucevița, 36/3"
,,,,,Агентство,104457211,https://999.md/ru/104457211?location=subcategory&index=1328&cardCategoryId=270&cardSubcategoryId=1404,,1,5,18 м²,1-комнатная квартира,,Вторичный,,,,39 500 €,,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Sarmizegetusa, 43/2"
,,,,,Агентство,104453272,https://999.md/ru/104453272?location=subcategory&index=1329&cardCategoryId=270&cardSubcategoryId=1404,,5,5,33 м²,1-комнатная квартира,,Вторичный,,,,61 500 €,,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Busuiocești, 18"
,,,,,Агентство,104423721,https://999.md/ru/104423721?location=subcategory&index=1330&cardCategoryId=270&cardSubcategoryId=1404,,1,5,33 м²,1-комнатная квартира,,Вторичный,,,,51 900 €,,Продам,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Nicolae Gribov, 6/1"
,,,,,Агентство,104395049,https://999.md/ru/104395049?location=subcategory&index=1331&cardCategoryId=270&cardSubcategoryId=1404,,1,9,49 м²,1-комнатная квартира,,Новострой,,,,83 470 €,,Продам,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Nicolae Milescu Spătarul, 43"
,,,,,Агентство,104384691,https://999.md/ru/104384691?location=subcategory&index=1332&cardCategoryId=270&cardSubcategoryId=1404,,10,10,43 м²,1-комнатная квартира,,Новострой,,,,73 000 €,,Продам,"1-комнатная квартира,  Центр,  Ватра,  Кишинёв мун.","Кишинёв мун., Ватра, Центр, str. Ştefan Vodă, 38"
,,,,,Агентство,104362484,https://999.md/ru/104362484?location=subcategory&index=1333&cardCategoryId=270&cardSubcategoryId=1404,,5,5,17 м²,1-комнатная квартира,,Вторичный,,,,31 900 €,,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Salcâmilor, 22/2"
,,,,,Агентство,104314297,https://999.md/ru/104314297?location=subcategory&index=1334&cardCategoryId=270&cardSubcategoryId=1404,,1,9,36 м²,1-комнатная квартира,,Новострой,,,,61 050 €,,Продам,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Ialoveni, 98"
,Eвроремонт,,,,Застройщик,101213650,https://999.md/ru/101213650?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjY0MzYsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDEyMTM2NTAiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiNGIzZTcyMjEtMGFmMS00YTlmLWJiNjMtYjg2YTQzMjVkM2VmIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNi0xNFQxODo0NzoxNi43MzMyNzY2NzhaIn19.3OYNXeD0HCLIJWdZm35jzi8xCsLzZDVLK8IRtwMqJJY&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=1335&cardCategoryId=270&cardSubcategoryId=1404,,12,13,60 м²,2-х комнатная квартира,,Новострой,Inamstro,,,174 000 €,,Продам,"2-х комнатная квартира,  Скулянка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Скулянка, str. Calea Ieșilor, 6"
,,,,,Агентство,104309906,https://999.md/ru/104309906?location=subcategory&index=1336&cardCategoryId=270&cardSubcategoryId=1404,,3,5,18 м²,1-комнатная квартира,,Вторичный,,,,39 500 €,,Продам,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Maria Drăgan, 18/2"
