Балкон / лоджия,Состояние квартиры,Санузел,Планировка,Высота потолков,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Парковочное место,Количество комнат,Жилой фонд,Застройщик,Площадь кухни,Жилая площадь,price,Ливинг,Тип,title,Адрес
1,Eвроремонт,2,,,Агентство,102125542,https://999.md/ru/102125542?location=subcategory&index=1405&cardCategoryId=270&cardSubcategoryId=1404,,5,14,75 м²,Подземная,2-х комнатная квартира,Новострой,Estate Invest Company,,,307 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, бул. Москова, 9/5"
1,Eвроремонт,1,Индивидуальная,,Агентство,101162599,https://999.md/ru/101162599?location=subcategory&index=1406&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,6,11,95 м²,Подземная,3-х комнатная квартира,Новострой,Basconslux,,,217 500 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 43/F"
1,,1,Мс (Молд. Серия),,Частное лицо,104135912,https://999.md/ru/104135912?location=subcategory&index=1407&cardCategoryId=270&cardSubcategoryId=1404,,9,9,53 м²,,2-х комнатная квартира,Вторичный,,,,67 800 €,,Продам,"2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Старая Почта, ул. Соколень, 10"
1,,2,Индивидуальная,,Агентство,88648244,https://999.md/ru/88648244?location=subcategory&index=1408&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,9,10,75 м²,Подземная,3-х комнатная квартира,Новострой,Vasigur Grup,,,225 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, bd. Moscova, 4/4"
1,Eвроремонт,2,,,Агентство,104593992,https://999.md/ru/104593992?location=subcategory&index=1409&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,6,11,86 м²,Подземная,2-х комнатная квартира,Новострой,Exfactor-grup,,,175 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Botanica Veche, 45"
1,Eвроремонт,2,,,Агентство,104592652,https://999.md/ru/104592652?location=subcategory&index=1410&cardCategoryId=270&cardSubcategoryId=1404,,5,9,85 м²,Oткрытое,3-х комнатная квартира,Новострой,Astercon,,,155 000 €,,Продам,"3-х комнатная квартира,  Центр,  Думбрава,  Кишинёв мун.","Кишинёв мун., Думбрава, Центр, str. Durleşti, 10"
,Белый вариант,,,2600 см,Частное лицо,104478809,https://999.md/ru/104478809?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjY1NTMsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ0Nzg4MDkiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiM2RlOTZjNDgtYmViNi00OGNjLTljYTYtMzI0OTAzNGI1ZWU0IiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNi0xNFQxODo0OToxMy44MTAwNDAwMTZaIn19.N-nT2-ikxRPhNUTaImw1ichjhNRS67blhBm5k9M8DNs&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=1411&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,11,14,44 м²,,1-комнатная квартира,Новострой,Sky House,12 м²,12 м²,79 000 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Grădina Botanică, 18/1"
1,Eвроремонт,2,,,Агентство,104527239,https://999.md/ru/104527239?location=subcategory&index=1412&cardCategoryId=270&cardSubcategoryId=1404,,9,10,70 м²,Oткрытое,3-х комнатная квартира,Вторичный,,,,96 900 €,,Продам,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Mihail Sadoveanu, 22/3"
1,Eвроремонт,1,,,Агентство,104508244,https://999.md/ru/104508244?location=subcategory&index=1413&cardCategoryId=270&cardSubcategoryId=1404,,10,11,85 м²,Oткрытое,3-х комнатная квартира,Новострой,Solomon Construct Imobil,,,174 900 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str.Jubiliară, 39/1"
1,Eвроремонт,2,135,,Агентство,104487798,https://999.md/ru/104487798?location=subcategory&index=1414&cardCategoryId=270&cardSubcategoryId=1404,Панельный,3,9,50 м²,Oткрытое,2-х комнатная квартира,Вторичный,,,,110 000 €,,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, пр-т Дачия, 38"
