Площадь кухни,Общая площадь,Автор объявления,Жилой фонд,Жилая площадь,Высота потолков,link,Этаж,Количество комнат,id,Санузел,Балкон / лоджия,Тип,Ливинг,Количество этажей,title,Застройщик,Планировка,Состояние квартиры,Адрес,Парковочное место,price,Тип здания
,67 м²,Застройщик,Новострой,,,https://999.md/ru/104463372?location=subcategory&index=79&cardCategoryId=270&cardSubcategoryId=1404,3,1-комнатная квартира,104463372,,1,Продам,Квартира с ливингом,6,"1-комнатная квартира,  Центр,  Оргеев,  Оргеев",,,Eвроремонт,"Оргеев, Оргеев, Центр, str. Nistreană, 2",Подземная,97 150 €,
,47 м²,Агентство,Новострой,,,https://999.md/ru/104180264?location=subcategory&index=80&cardCategoryId=270&cardSubcategoryId=1404,7,1-комнатная квартира,104180264,,,Продам,,13,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",,,,"Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, ---",,55 930 €,
,76 м²,Застройщик,Новострой,,,https://999.md/ru/101878983?location=subcategory&index=81&cardCategoryId=270&cardSubcategoryId=1404,5,3-х комнатная квартира,101878983,,,Продам,Квартира с ливингом,10,"3-х комнатная квартира,  Дурлешты,  Кишинёв,  Кишинёв мун.",,,,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24a",,83 600 €,
,63 м²,Частное лицо,Вторичный,,270 см,https://999.md/ru/104509798?location=subcategory&index=82&cardCategoryId=270&cardSubcategoryId=1404,1,2-х комнатная квартира,104509798,1,1,,Квартира с ливингом,10,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",,,Eвроремонт,"Кишинёв мун., Дурлешты, Центр, str. Tudor Vladimirescu, 75/1",,129 990 €,
,47 м²,Агентство,Новострой,,,https://999.md/ru/103933948?location=subcategory&index=83&cardCategoryId=270&cardSubcategoryId=1404,3,2-х комнатная квартира,103933948,1,1,Продам,Квартира с ливингом,4,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",,,Белый вариант,"Кишинёв мун., Кишинёв, Телецентр, șos. Hâncești, -",,71 900 €,
,40 м²,Агентство,Новострой,,,https://999.md/ru/104122261?location=subcategory&index=84&cardCategoryId=270&cardSubcategoryId=1404,13,1-комнатная квартира,104122261,,1,Продам,Квартира с ливингом,13,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Loid,,Белый вариант,"Кишинёв мун., Кишинёв, Ботаника, bd. Cuza Vodă, -",Oткрытое,99 000 €,
,100 м²,Агентство,Новострой,,,https://999.md/ru/104484688?location=subcategory&index=85&cardCategoryId=270&cardSubcategoryId=1404,10,2-х комнатная квартира,104484688,2,,Продам,Квартира с ливингом,10,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",,,Eвроремонт,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 45",,199 000 €,
,53 м²,Агентство,Новострой,,,https://999.md/ru/103990198?location=subcategory&index=86&cardCategoryId=270&cardSubcategoryId=1404,1,2-х комнатная квартира,103990198,,,Продам,Квартира с ливингом,10,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Inamstro,,Eвроремонт,"Кишинёв мун., Кишинёв, Буюканы, str. Ioana Radu, 27/6",,149 900 €,
,75 м²,Агентство,Вторичный,,,https://999.md/ru/104211047?location=subcategory&index=87&cardCategoryId=270&cardSubcategoryId=1404,2,3-х комнатная квартира,104211047,,,,Квартира с ливингом,5,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",,,Eвроремонт,"Кишинёв мун., Кишинёв, Центр, str. Armenească, 47",,189 000 €,
,58 м²,Агентство,Новострой,,,https://999.md/ru/104118101?location=subcategory&index=88&cardCategoryId=270&cardSubcategoryId=1404,2,2-х комнатная квартира,104118101,,,,Квартира с ливингом,7,"2-х комнатная квартира,  Центр,  Яловены,  Яловены",,,,Расположение,,122 000 €,
