Балкон / лоджия,Санузел,Состояние квартиры,Высота потолков,Планировка,Автор объявления,id,link,Этаж,Тип здания,Количество этажей,Общая площадь,Количество комнат,Парковочное место,Жилой фонд,Застройщик,Жилая площадь,price,Ливинг,Тип,Адрес,title,Площадь кухни
,1,,,,Агентство,103707155,https://999.md/ru/103707155?location=subcategory&index=1795&cardCategoryId=270&cardSubcategoryId=1404,3,,5,71 м²,2-х комнатная квартира,,Новострой,,,200 000 €,,Продам,"Кишинёв мун., Кишинёв, Центр, str. Alexei Șciusev, 2","2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
1,1,Eвроремонт,,,Агентство,104475008,https://999.md/ru/104475008?location=subcategory&index=1796&cardCategoryId=270&cardSubcategoryId=1404,11,,12,74 м²,2-х комнатная квартира,,Новострой,,,159 900 €,,Продам,"Кишинёв мун., Кишинёв, Ботаника, ул. Трандафирилор, -","2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
,,Eвроремонт,,,Агентство,104585906,https://999.md/ru/104585906?location=subcategory&index=1797&cardCategoryId=270&cardSubcategoryId=1404,5,,10,37 м²,1-комнатная квартира,,Новострой,Dansicons,,92 000 €,,Продам,"Кишинёв мун., Кишинёв, Центр, str. Albișoara, 80/12","1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
1,,Eвроремонт,,,Агентство,104507522,https://999.md/ru/104507522?location=subcategory&index=1798&cardCategoryId=270&cardSubcategoryId=1404,2,,5,50 м²,2-х комнатная квартира,,Вторичный,,,109 900 €,,Продам,"Кишинёв мун., Кишинёв, Рышкановка, str. Miron Costin, 14","2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
,,Eвроремонт,0 см,,Частное лицо,100021255,https://999.md/ru/100021255?location=subcategory&index=1799&cardCategoryId=270&cardSubcategoryId=1404,2,,3,72 м²,2-х комнатная квартира,,Вторичный,,0 м²,100 000 €,Квартира с ливингом,Продам,"Оргеев, Оргеев, Центр, str. Mihai Eminescu, 3","2-х комнатная квартира,  Центр,  Оргеев",0 м²
2,1,Сдан в эксплуатацию,2800 см,Индивидуальная,Частное лицо,104486612,https://999.md/ru/104486612?location=subcategory&index=1800&cardCategoryId=270&cardSubcategoryId=1404,5,Kирпичный,5,71 м²,2-х комнатная квартира,Oткрытое,Новострой,,68 м²,240 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Ботаника, ул. Индепенденцей, 5a","2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
1,2,Eвроремонт,,,Агентство,104601861,https://999.md/ru/104601861?location=subcategory&index=1801&cardCategoryId=270&cardSubcategoryId=1404,2,,9,50 м²,1-комнатная квартира,Oткрытое,Новострой,Exfactor-grup,,120 000 €,,Продам,"Кишинёв мун., Кишинёв, Ботаника, str. Valea Crucii, 9","1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
,1,Eвроремонт,,Индивидуальная,Агентство,88742653,https://999.md/ru/88742653?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjcxODIsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI4ODc0MjY1MyIsImkiOiI4OS4xNDkuOTEuMTYyIiwicyI6ImRlc2t0b3BfcmVkZXNpZ24iLCJwIjoiYWRzX2xpc3RfaW5saW5lIiwieCI6InByZW1pdW0iLCJsIjoiYWUyMDEyMTItMWI2Ni00YTU1LWFmNTAtYjVhNDZjMWFmNGYwIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNi0xNFQxODo1OTo0Mi43NTIzNDc0OThaIn19.4ZoxdOiJGjRGQVthche7utQtcFQwRObGvzZx_8Jslzg&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=1802&cardCategoryId=270&cardSubcategoryId=1404,2,Kирпичный,14,75 м²,2-х комнатная квартира,Подземная,Новострой,Inamstro,,236 900 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Центр, str. Calea Ieșilor, 6","2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
1,1,Белый вариант,,,Агентство,103884776,https://999.md/ru/103884776?location=subcategory&index=1803&cardCategoryId=270&cardSubcategoryId=1404,1,,9,64 м²,2-х комнатная квартира,,Новострой,,,46 000 €,,Продам,"Кишинёв мун., Дурлешты, Центр, Nicolae Dimo, 24","2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",
1,1,Белый вариант,,Индивидуальная,Агентство,104134419,https://999.md/ru/104134419?location=subcategory&index=1804&cardCategoryId=270&cardSubcategoryId=1404,14,,17,39 м²,1-комнатная квартира,Oткрытое,Новострой,,,62 400 €,,Продам,"Кишинёв мун., Кишинёв, Ботаника, str. Dimineții, **","1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
