Балкон / лоджия,Общая площадь,Тип,Жилой фонд,price,Жилая площадь,Автор объявления,id,Застройщик,title,link,Площадь кухни,Санузел,Высота потолков,Адрес,Планировка,Этаж,Количество этажей,Состояние квартиры,Ливинг,Тип здания,Парковочное место,Количество комнат
1,76 м²,,Новострой,149 000 €,,Агентство,104008034,Astercon,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",https://999.md/ru/104008034?location=subcategory&index=157&cardCategoryId=270&cardSubcategoryId=1404,,2,,Расположение,Индивидуальная,2,10,Eвроремонт,Квартира с ливингом,,Oткрытое,2-х комнатная квартира
1,35 м²,,Вторичный,73 000 €,,Агентство,103999911,,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",https://999.md/ru/103999911?location=subcategory&index=158&cardCategoryId=270&cardSubcategoryId=1404,,1,,Расположение,Мс (Молд. Серия),5,9,Eвроремонт,Квартира без ливинга,,Oткрытое,1-комнатная квартира
1,64 м²,Продам,Новострой,69 000 €,,Агентство,103998159,,"2-х комнатная квартира,  Центр,  Криуляны,  Криуляны",https://999.md/ru/103998159?location=subcategory&index=159&cardCategoryId=270&cardSubcategoryId=1404,,1,,"Криуляны, Криуляны, Центр, str. Biruinței, 20",Индивидуальная,3,7,Белый вариант,Квартира с ливингом,,Oткрытое,2-х комнатная квартира
2,77 м²,,Новострой,159 900 €,,Агентство,104008780,Erinvest,"2-х комнатная квартира,  Центр,  Яловены,  Яловены",https://999.md/ru/104008780?location=subcategory&index=160&cardCategoryId=270&cardSubcategoryId=1404,,2,,"Яловены, Яловены, Центр, str. Alexandru cel Bun, 2/7",Индивидуальная,4,8,Eвроремонт,Квартира с ливингом,Ячеистый Бетон,Oткрытое,2-х комнатная квартира
Нет,87 м²,,Вторичный,68 000 €,,Агентство,101223174,,"3-х комнатная квартира,  Окраина,  Оргеев,  Оргеев",https://999.md/ru/101223174?location=subcategory&index=161&cardCategoryId=270&cardSubcategoryId=1404,,2,,"Оргеев, Оргеев, Окраина, str. Unirii, 57/V",,3,3,Белый вариант,Квартира с ливингом,,Oткрытое,3-х комнатная квартира
,45 м²,Продам,Новострой,129 500 €,,Агентство,104388091,Lagmar Impex,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",https://999.md/ru/104388091?location=subcategory&index=162&cardCategoryId=270&cardSubcategoryId=1404,,1,,"Кишинёв мун., Кишинёв, Рышкановка, str. Cornesti, 7",Индивидуальная,3,12,Eвроремонт,Квартира с ливингом,Kирпичный,Oткрытое,1-комнатная квартира
2,74 м²,,Новострой,135 000 €,,Агентство,104145446,A-casa,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",https://999.md/ru/104145446?location=subcategory&index=163&cardCategoryId=270&cardSubcategoryId=1404,,2,,Расположение,Индивидуальная,8,9,Eвроремонт,Квартира с ливингом,Kомбинированный,Oткрытое,1-комнатная квартира
1,45 м²,,Вторичный,89 900 €,,Агентство,104142368,,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",https://999.md/ru/104142368?location=subcategory&index=164&cardCategoryId=270&cardSubcategoryId=1404,,1,,Расположение,Индивидуальная,5,6,Eвроремонт,Квартира с ливингом,Kотельцовый,Oткрытое,2-х комнатная квартира
2,71 м²,Продам,Новострой,124 250 €,,Частное лицо,104095897,,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",https://999.md/ru/104095897?location=subcategory&index=165&cardCategoryId=270&cardSubcategoryId=1404,,,,"Кишинёв мун., Кишинёв, Ботаника, str. Grădina Botanică, 20/1",,5,16,Сдан в эксплуатацию,Квартира с ливингом,Бетон,,2-х комнатная квартира
,64 м²,,Вторичный,84 900 €,,Агентство,103763723,,"3-х комнатная квартира,  Окраина,  Оргеев,  Оргеев",https://999.md/ru/103763723?location=subcategory&index=166&cardCategoryId=270&cardSubcategoryId=1404,,1,,"Оргеев, Оргеев, Окраина, str. Valeriu Cupcea, 7",,5,5,Индивидуальный дизайн,Квартира с ливингом,,Oткрытое,3-х комнатная квартира
1,55 м²,Продам,Вторичный,95 000 €,50 м²,Частное лицо,104592739,,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",https://999.md/ru/104592739?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjMwODcsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ1OTI3MzkiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiMDFlYmE2NzAtNmFhMy00NzgwLThiZGMtNWRiY2Y1YjczMWFiIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoicGx1cyIsInQiOiIyMDI2LTA2LTE0VDE3OjUxOjI3LjU3NzUyNzExMVoifX0.fAxHXi2A_cnSYgCy5GVgnCt234rii-jxwdV0kHYQU7A&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=167&cardCategoryId=270&cardSubcategoryId=1404,,,,"Кишинёв мун., Кишинёв, Буюканы, șos. Balcani, 8/1",135,2,9,,,Бетон,,2-х комнатная квартира
,56 м²,Продам,Новострой,92 900 €,,Агентство,103756813,,"2-х комнатная квартира,  Окраина,  Оргеев,  Оргеев",https://999.md/ru/103756813?location=subcategory&index=168&cardCategoryId=270&cardSubcategoryId=1404,,1,,"Оргеев, Оргеев, Окраина, str. Valeriu Cupcea, 3",,2,4,Eвроремонт,Квартира с ливингом,,Oткрытое,2-х комнатная квартира
2,65 м²,Продам,Вторичный,124 900 €,,Агентство,104021702,,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",https://999.md/ru/104021702?location=subcategory&index=169&cardCategoryId=270&cardSubcategoryId=1404,,2,,Расположение,Индивидуальная,10,16,Eвроремонт,,Mонолитный,Oткрытое,3-х комнатная квартира
2,184 м²,,Новострой,849 000 €,,Агентство,104019850,Estate Invest Company,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",https://999.md/ru/104019850?location=subcategory&index=170&cardCategoryId=270&cardSubcategoryId=1404,,3,,Расположение,Индивидуальная,8,8,Eвроремонт,Квартира с ливингом,Kирпичный,Oткрытое,3-х комнатная квартира
,49 м²,,Новострой,108 500 €,,Агентство,104131940,Estate Invest Company,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",https://999.md/ru/104131940?location=subcategory&index=171&cardCategoryId=270&cardSubcategoryId=1404,,1,,Расположение,Индивидуальная,11,12,Eвроремонт,Квартира с ливингом,Kомбинированный,Oткрытое,1-комнатная квартира
1,58 м²,Продам,Новострой,87 000 €,30 м²,Застройщик,104087041,Sky House,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",https://999.md/ru/104087041?location=subcategory&index=172&cardCategoryId=270&cardSubcategoryId=1404,20 м²,1,300 см,"Кишинёв мун., Кишинёв, Ботаника, str. Dimineții, 10",,4,16,Белый вариант,,Kирпичный,Подземная,2-х комнатная квартира
1,63 м²,Продам,Новострой,78 180 €,,Застройщик,103806775,,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",https://999.md/ru/103806775?location=subcategory&index=173&cardCategoryId=270&cardSubcategoryId=1404,,,,"Кишинёв мун., Дурлешты, Центр, str. Cartuşa, 99/7",,6,10,Белый вариант,,,Oткрытое,2-х комнатная квартира
1,43 м²,Продам,Новострой,57 375 €,,Застройщик,103807032,,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",https://999.md/ru/103807032?location=subcategory&index=174&cardCategoryId=270&cardSubcategoryId=1404,,1,,"Кишинёв мун., Дурлешты, Центр, str. Cartuşa, 99/7",,2,10,Белый вариант,,,Oткрытое,1-комнатная квартира
,57 м²,Продам,Новострой,74 000 €,,Частное лицо,104587485,Inamstro,"1-комнатная квартира,  Центр,  Оргеев,  Оргеев",https://999.md/ru/104587485?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjMwODcsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ1ODc0ODUiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiODZiZDI4MjgtNDI3OC00MDVlLThkZTYtNTNiY2IzZmU2OGMwIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoicGx1cyIsInQiOiIyMDI2LTA2LTE0VDE3OjUxOjI3LjU3NzYzMTE0OVoifX0.fW5Ddei2G2lb36Q2QDk67hqf8lJHGg1MLB41lxBLxLA&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=175&cardCategoryId=270&cardSubcategoryId=1404,,1,,"Оргеев, Оргеев, Центр, Costantin Stamate 27 , Bl.G",,5,5,Eвроремонт,Квартира с ливингом,,Oткрытое,1-комнатная квартира
