Балкон / лоджия,Состояние квартиры,Санузел,Планировка,Высота потолков,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Количество комнат,Парковочное место,Жилой фонд,Площадь кухни,Застройщик,Жилая площадь,price,Ливинг,Тип,title,Адрес
2,Косметический pемонт,2,102,,Агентство,103417281,https://999.md/ru/103417281?location=subcategory&index=2497&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,5,5,70 м²,3-х комнатная квартира,Oткрытое,Вторичный,6 м²,,44 м²,79 900 €,,Продам,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Pandurilor, 19"
1,Eвроремонт,2,,,Агентство,103444089,https://999.md/ru/103444089?location=subcategory&index=2498&cardCategoryId=270&cardSubcategoryId=1404,,7,10,85 м²,3-х комнатная квартира,Гараж,Новострой,,Solomon Construct Imobil,,181 900 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, Jubiliara, 39/1"
1,Eвроремонт,1,,,Агентство,104387327,https://999.md/ru/104387327?location=subcategory&index=2499&cardCategoryId=270&cardSubcategoryId=1404,,4,21,90 м²,3-х комнатная квартира,Подземная,Новострой,,Braus Imobiliare,,235 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 11/6"
2,Eвроремонт,2,Индивидуальная,,Частное лицо,104477238,https://999.md/ru/104477238?location=subcategory&index=2500&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,5,9,60 м²,2-х комнатная квартира,,Вторичный,,,,129 400 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, bd. Dacia, 1"
,,,,,Частное лицо,104339566,https://999.md/ru/104339566?location=subcategory&index=2501&cardCategoryId=270&cardSubcategoryId=1404,,2,11,46 м²,1-комнатная квартира,,Новострой,,,46 м²,55 900 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Regele Carol, 5"
Нет,Eвроремонт,2,Индивидуальная,,Частное лицо,104613805,https://999.md/ru/104613805?location=subcategory&index=2502&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,3,10,72 м²,2-х комнатная квартира,Oткрытое,Новострой,,Carpeni,72 м²,185 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Burebista, 25"
,Белый вариант,,,,Застройщик,104613800,https://999.md/ru/104613800?location=subcategory&index=2503&cardCategoryId=270&cardSubcategoryId=1404,,2,5,46 м²,1-комнатная квартира,,Новострой,,Estate Invest Company,,64 399 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Центр,  Трушены,  Кишинёв мун.","Кишинёв мун., Трушены, Центр, str. 27 August 1989, 14/a"
1,Eвроремонт,2,,,Частное лицо,104173780,https://999.md/ru/104173780?location=subcategory&index=2504&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,2,5,70 м²,3-х комнатная квартира,,Вторичный,11 м²,,,65 500 €,,Продам,"3-х комнатная квартира,  БАМ,  Бельцы,  Бельцы мун.","Бельцы мун., Бельцы, БАМ, str. Bulgară, 108"
2,Eвроремонт,1,,,Агентство,104565312,https://999.md/ru/104565312?location=subcategory&index=2505&cardCategoryId=270&cardSubcategoryId=1404,,3,5,51 м²,2-х комнатная квартира,Oткрытое,Вторичный,,,,84 800 €,,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Independenței, 9/4"
1,Индивидуальный дизайн,2,,,Частное лицо,104328930,https://999.md/ru/104328930?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0Njg0MjEsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQzMjg5MzAiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiNmY2NmEzMDQtOThmMi00MzlkLThkNDctYzdjYzJjZDVlZDY4IiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoicGx1cyIsInQiOiIyMDI2LTA2LTE0VDE5OjIwOjIxLjgwMDQ5MjUyOFoifX0.t24PY_BoV6Xvh-hsQE4QIaG-YtBI5J4ELHzCfdt4iv4&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=2506&cardCategoryId=270&cardSubcategoryId=1404,,Пентхаус,8,96 м²,2-х комнатная квартира,Подземная,Новострой,,,,179 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24"
2,Eвроремонт,1,102,,Агентство,104564337,https://999.md/ru/104564337?location=subcategory&index=2507&cardCategoryId=270&cardSubcategoryId=1404,,3,5,78 м²,2-х комнатная квартира,,Вторичный,,,,115 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Старая Почта, str-la Studenților, 12"
,Eвроремонт,1,,,Агентство,104563388,https://999.md/ru/104563388?location=subcategory&index=2508&cardCategoryId=270&cardSubcategoryId=1404,,13,13,40 м²,1-комнатная квартира,Oткрытое,Новострой,,,,70 000 €,,Продам,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Nicolae Sulac, 8A"
1,Eвроремонт,1,,,Агентство,104343681,https://999.md/ru/104343681?location=subcategory&index=2509&cardCategoryId=270&cardSubcategoryId=1404,,3,5,64 м²,2-х комнатная квартира,Oткрытое,Вторичный,,,,115 500 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, bd. C. Negruzzi, 6"
2,,1,,,Агентство,104335691,https://999.md/ru/104335691?location=subcategory&index=2510&cardCategoryId=270&cardSubcategoryId=1404,,6,10,93 м²,2-х комнатная квартира,Oткрытое,Новострой,,,,159 900 €,,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Bogdan Voievod, 7"
,Eвроремонт,,,,Агентство,104027860,https://999.md/ru/104027860?location=subcategory&index=2511&cardCategoryId=270&cardSubcategoryId=1404,,1,10,64 м²,2-х комнатная квартира,Oткрытое,Новострой,,,,115 000 €,,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, bd. Cuza Vodă, 1/2"
,Косметический pемонт,2,Индивидуальная,,Застройщик,102733835,https://999.md/ru/102733835?location=subcategory&index=2512&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,2,5,66 м²,3-х комнатная квартира,Oткрытое,Вторичный,,,,93 000 €,,Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, sтр.В. Белинский, 0"
1,Eвроремонт,2,Индивидуальная,,Агентство,104576000,https://999.md/ru/104576000?location=subcategory&index=2513&cardCategoryId=270&cardSubcategoryId=1404,,16,17,74 м²,2-х комнатная квартира,Подземная,Новострой,,,,165 000 €,,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Florilor , 28/2"
1,Eвроремонт,1,,,Агентство,104572776,https://999.md/ru/104572776?location=subcategory&index=2514&cardCategoryId=270&cardSubcategoryId=1404,,2,5,60 м²,2-х комнатная квартира,,Вторичный,,,,100 000 €,,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Miron Costin, 10"
,Сдан в эксплуатацию,1,,,Частное лицо,104613782,https://999.md/ru/104613782?location=subcategory&index=2515&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,1,10,42 м²,1-комнатная квартира,Oткрытое,Новострой,,Estate Invest Company,42 м²,87 500 €,,Продам,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 136"
1,Eвроремонт,1,,,Агентство,104564579,https://999.md/ru/104564579?location=subcategory&index=2516&cardCategoryId=270&cardSubcategoryId=1404,,5,10,62 м²,2-х комнатная квартира,,Новострой,,,,118 500 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Alba-Iulia, -"
1,Eвроремонт,1,,,Агентство,89180905,https://999.md/ru/89180905?location=subcategory&index=2517&cardCategoryId=270&cardSubcategoryId=1404,,10,10,113 м²,2-х комнатная квартира,Подземная,Новострой,,,,289 000 €,,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Ioana Radu, ---"
,,,,,Агентство,102156061,https://999.md/ru/102156061?location=subcategory&index=2518&cardCategoryId=270&cardSubcategoryId=1404,,5,10,64 м²,2-х комнатная квартира,,Новострой,,,,115 000 €,,Продам,"2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Старая Почта, str. Ceucari, 5/9"
Нет,Белый вариант,2,,286 см,Застройщик,102832078,https://999.md/ru/102832078?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0Njg0MjEsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDI4MzIwNzgiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6ImFlOTQxZTRiLTE4MGUtNGVjYS1hOTE2LTNhZWVhMmNiMzBmMSIsImUiOiI4OS4xNDkuOTEuMTYyIiwidCI6IjIwMjYtMDYtMTRUMTk6MjA6MjEuODAwNjA1NzY3WiJ9fQ.HAfl3YOsztcjMUfzu2sN2ipoe3srUE9qlleJn6A7_Po&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=2519&cardCategoryId=270&cardSubcategoryId=1404,Ячеистый Бетон,1,6,96 м²,3-х комнатная квартира,Гараж,Новострой,15 м²,Astercon,,135 646 €,,Продам,"3-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Durlești, 8"
1,Индивидуальный дизайн,1,,,Застройщик,104367256,https://999.md/ru/104367256?location=subcategory&index=2520&cardCategoryId=270&cardSubcategoryId=1404,,5,7,46 м²,1-комнатная квартира,,Новострой,,,,96 900 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Mihail Odatiuc, 51"
,Eвроремонт,,,,Застройщик,104613757,https://999.md/ru/104613757?location=subcategory&index=2521&cardCategoryId=270&cardSubcategoryId=1404,,5,10,51 м²,1-комнатная квартира,,Новострой,,,,121 500 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Nicolae Milescu Spătarul, 43"
1,Eвроремонт,1,,,Агентство,103613360,https://999.md/ru/103613360?location=subcategory&index=2522&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,5,5,31 м²,1-комнатная квартира,Oткрытое,Вторичный,,,,52 000 €,,Продам,"1-комнатная квартира,  Центр,  Криково,  Кишинёв мун.",Расположение
3,Индивидуальный дизайн,1,,,Агентство,104441154,https://999.md/ru/104441154?location=subcategory&index=2523&cardCategoryId=270&cardSubcategoryId=1404,,7,11,93 м²,4-x комнатная квартира,Oткрытое,Вторичный,,,,145 000 €,,Продам,"4-x комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, ул. Николае Титулеску, 1"
1,Белый вариант,2,Индивидуальная,,Агентство,103061407,https://999.md/ru/103061407?location=subcategory&index=2524&cardCategoryId=270&cardSubcategoryId=1404,,3,9,76 м²,3-х комнатная квартира,,Новострой,,,,68 400 €,,Продам,"3-х комнатная квартира,  Центр,  Гидигич,  Кишинёв мун.","Кишинёв мун., Гидигич, Центр, Stefan cel Mare, -1/a"
1,Eвроремонт,1,Индивидуальная,,Агентство,103941222,https://999.md/ru/103941222?location=subcategory&index=2525&cardCategoryId=270&cardSubcategoryId=1404,Ячеистый Бетон,7,10,64 м²,2-х комнатная квартира,Oткрытое,Новострой,,,,137 000 €,,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана,  bd. Mircea cel Bătrân , 43"
,Eвроремонт,,,,Агентство,104504902,https://999.md/ru/104504902?location=subcategory&index=2526&cardCategoryId=270&cardSubcategoryId=1404,,7,9,42 м²,1-комнатная квартира,,Новострой,,,,107 000 €,,Продам,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, Vadul lui vodă , 30"
,,,,,Агентство,103775324,https://999.md/ru/103775324?location=subcategory&index=2527&cardCategoryId=270&cardSubcategoryId=1404,,6,14,87 м²,3-х комнатная квартира,,Новострой,,,,280 000 €,,Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 28"
1,Белый вариант,2,,,Агентство,104302458,https://999.md/ru/104302458?location=subcategory&index=2528&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,6,9,86 м²,3-х комнатная квартира,Подземная,Новострой,,,,148 900 €,,Продам,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, Milescu Spataru, 57"
1,Eвроремонт,1,,,Агентство,102808505,https://999.md/ru/102808505?location=subcategory&index=2529&cardCategoryId=270&cardSubcategoryId=1404,,3,5,60 м²,3-х комнатная квартира,,Вторичный,,,,97 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, ул. Николай Зелински, 1"
1,Eвроремонт,1,,,Агентство,104575865,https://999.md/ru/104575865?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0Njg0MjEsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ1NzU4NjUiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcm8iLCJsIjoiY2I3MmExN2UtY2I0Mi00NTEzLWFhYTQtODQ2YjQwNmQ4ZTRlIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNi0xNFQxOToyMDoyMS44MDA2NDg5MTNaIn19.umjESyhpCUOzRPbKbUgR75sQ7jhbEKm2gXt_0RH46Xk&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=2530&cardCategoryId=270&cardSubcategoryId=1404,,1,12,70 м²,2-х комнатная квартира,,Новострой,,Exfactor-grup,,218 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Расположение
1,Eвроремонт,2,,,Агентство,102993972,https://999.md/ru/102993972?location=subcategory&index=2531&cardCategoryId=270&cardSubcategoryId=1404,,13,14,70 м²,3-х комнатная квартира,,Новострой,,,,210 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 0"
2,Белый вариант,2,,,Агентство,102390551,https://999.md/ru/102390551?location=subcategory&index=2532&cardCategoryId=270&cardSubcategoryId=1404,,2,10,81 м²,3-х комнатная квартира,,Новострой,,,,130 352 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Tudor Vladimirescu, 0"
3,Косметический pемонт,1,,,Застройщик,104509467,https://999.md/ru/104509467?location=subcategory&index=2533&cardCategoryId=270&cardSubcategoryId=1404,,7,11,93 м²,4-x комнатная квартира,Oткрытое,Вторичный,,,,145 000 €,,Продам,"4-x комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, ул. Николае Титулеску, 1"
,Eвроремонт,1,,,Агентство,104308169,https://999.md/ru/104308169?location=subcategory&index=2534&cardCategoryId=270&cardSubcategoryId=1404,,7,9,69 м²,2-х комнатная квартира,,Новострой,,Solomon Construct Imobil,,155 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 98."
,Белый вариант,1,,,Агентство,103931800,https://999.md/ru/103931800?location=subcategory&index=2535&cardCategoryId=270&cardSubcategoryId=1404,,6,10,52 м²,2-х комнатная квартира,Подземная,Новострой,,,,88 900 €,,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, Cetatea Alba, 11"
1,Косметический pемонт,2,,,Агентство,103321880,https://999.md/ru/103321880?location=subcategory&index=2536&cardCategoryId=270&cardSubcategoryId=1404,,9,9,50 м²,2-х комнатная квартира,,Вторичный,,,,98 500 €,,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, Vasile Lupu, 59"
Нет,Белый вариант,1,,,Агентство,103896317,https://999.md/ru/103896317?location=subcategory&index=2537&cardCategoryId=270&cardSubcategoryId=1404,,5,11,50 м²,1-комнатная квартира,Подземная,Новострой,,,,55 000 €,,Продам,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Regina Elisabeta, *"
1,Eвроремонт,1,,,Агентство,104497210,https://999.md/ru/104497210?location=subcategory&index=2538&cardCategoryId=270&cardSubcategoryId=1404,,5,7,48 м²,1-комнатная квартира,Oткрытое,Новострой,,,,99 900 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 86"
