Балкон / лоджия,Санузел,Состояние квартиры,Планировка,Высота потолков,Автор объявления,id,link,Этаж,Тип здания,Количество этажей,Общая площадь,Количество комнат,Парковочное место,Жилой фонд,Застройщик,Площадь кухни,Жилая площадь,price,Ливинг,Тип,title,Адрес
2,1,,,,Агентство,104515781,https://999.md/ru/104515781?location=subcategory&index=2809&cardCategoryId=270&cardSubcategoryId=1404,4,,7,45 м²,1-комнатная квартира,,Новострой,Varincom,,,67 500 €,,Продам,"1-комнатная квартира,  Центр,  Криково,  Кишинёв мун.","Кишинёв мун., Криково, Центр, str. Chişinău, --"
1,1,Косметический pемонт,Индивидуальная,,Агентство,104450707,https://999.md/ru/104450707?location=subcategory&index=2810&cardCategoryId=270&cardSubcategoryId=1404,5,,5,38 м²,1-комнатная квартира,Oткрытое,Новострой,,,,68 000 €,,Продам,"1-комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Старая Почта, Socoleni, **"
1,1,Eвроремонт,,,Частное лицо,104613073,https://999.md/ru/104613073?location=subcategory&index=2811&cardCategoryId=270&cardSubcategoryId=1404,10,Mонолитный,13,104 м²,3-х комнатная квартира,Oткрытое,Новострой,Reconscivil,13 м²,84 м²,295 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, str. Miorița, 1C"
1,2,Белый вариант,Индивидуальная,,Застройщик,100018362,https://999.md/ru/100018362?location=subcategory&index=2812&cardCategoryId=270&cardSubcategoryId=1404,1,,6,106 м²,2-х комнатная квартира,Подземная,Новострой,Dansicons,,64 м²,91 400 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Оргеев,  Оргеев","Оргеев, Оргеев, Центр, str. Constantin Negruzzi, 91/L"
1,1,Eвроремонт,,3000 см,Агентство,103407986,https://999.md/ru/103407986?location=subcategory&index=2813&cardCategoryId=270&cardSubcategoryId=1404,11,Kирпичный,14,70 м²,2-х комнатная квартира,Подземная,Новострой,Exfactor-grup,,,205 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Расположение
,,,,,Агентство,100725739,https://999.md/ru/100725739?location=subcategory&index=2814&cardCategoryId=270&cardSubcategoryId=1404,13,,13,93 м²,3-х комнатная квартира,,Новострой,,,,240 000 €,,Продам,"3-х комнатная квартира,  Скулянка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Скулянка, str. Calea Ieșilor, 6"
,1,Косметический pемонт,,,Агентство,104563383,https://999.md/ru/104563383?location=subcategory&index=2815&cardCategoryId=270&cardSubcategoryId=1404,1,,9,40 м²,2-х комнатная квартира,,Вторичный,,,,61 900 €,,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Andrei Doga, 25"
1,1,Белый вариант,Индивидуальная,,Агентство,104177082,https://999.md/ru/104177082?location=subcategory&index=2816&cardCategoryId=270&cardSubcategoryId=1404,6,Ячеистый Бетон,9,48 м²,1-комнатная квартира,Подземная,Новострой,,,,60 125 €,,Продам,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Расположение
3,1,Белый вариант,,,Агентство,104523252,https://999.md/ru/104523252?location=subcategory&index=2817&cardCategoryId=270&cardSubcategoryId=1404,5,,5,109 м²,3-х комнатная квартира,,Новострой,,,,185 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, Europei, --"
,,Сдан в эксплуатацию,,,Частное лицо,104574581,https://999.md/ru/104574581?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0Njg5NDMsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ1NzQ1ODEiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiOTY3ZjE5ZGQtMjY3OS00N2FhLWFlNzctYTdiZTE0YThhNTQxIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA2LTE0VDE5OjI5OjAzLjM0NjMwMDA0WiJ9fQ.Zv0c4jA5yCX8PXpwBc1OR6TtfaXhhTO8Szh4JZdpZtc&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=2818&cardCategoryId=270&cardSubcategoryId=1404,3,Kотельцовый,11,50 м²,1-комнатная квартира,,Новострой,Carpeni,,,93 000 €,,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Burebista, 25"
1,1,Eвроремонт,,,Частное лицо,104613057,https://999.md/ru/104613057?location=subcategory&index=2819&cardCategoryId=270&cardSubcategoryId=1404,3,,7,44 м²,1-комнатная квартира,,Новострой,,,44 м²,103 500 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Окраина,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Окраина, Regina Elisabeta 4, 4"
,,Eвроремонт,,,Агентство,104613047,https://999.md/ru/104613047?location=subcategory&index=2820&cardCategoryId=270&cardSubcategoryId=1404,4,,6,50 м²,2-х комнатная квартира,,Вторичный,,,,99 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Sarmizegetusa, 37/3"
Нет,1,Eвроремонт,,,Агентство,104040411,https://999.md/ru/104040411?location=subcategory&index=2821&cardCategoryId=270&cardSubcategoryId=1404,3,,9,70 м²,2-х комнатная квартира,Подземная,Новострой,,,,278 000 €,,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Grigore Alexandrescu , 3A"
,1,Eвроремонт,,,Застройщик,102871103,https://999.md/ru/102871103?location=subcategory&index=2822&cardCategoryId=270&cardSubcategoryId=1404,3,Kирпичный,14,65 м²,2-х комнатная квартира,,Новострой,,,,220 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Onisifor Ghibu, 10"
1,2,Eвроремонт,Индивидуальная,280 см,Частное лицо,104350488,https://999.md/ru/104350488?location=subcategory&index=2823&cardCategoryId=270&cardSubcategoryId=1404,5,Kотельцовый,10,85 м²,3-х комнатная квартира,,Новострой,Reconscivil,,82 м²,195 500 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, Grenoble 128/2 , 128/2"
,,,,,Агентство,104401049,https://999.md/ru/104401049?location=subcategory&index=2824&cardCategoryId=270&cardSubcategoryId=1404,5,,18,42 м²,1-комнатная квартира,,Новострой,,,,73 500 €,,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, şos. Munceşti, 94"
1,1,Eвроремонт,,,Агентство,104372090,https://999.md/ru/104372090?location=subcategory&index=2825&cardCategoryId=270&cardSubcategoryId=1404,3,,11,42 м²,2-х комнатная квартира,,Новострой,,,,79 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Cartuşa, -"
1,1,Индивидуальный дизайн,Индивидуальная,,Частное лицо,104516775,https://999.md/ru/104516775?location=subcategory&index=2826&cardCategoryId=270&cardSubcategoryId=1404,3,,4,36 м²,1-комнатная квартира,Oткрытое,Вторичный,,7 м²,18 м²,60 500 €,,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Nikolai Zelinski, 5/1"
1,1,Eвроремонт,,,Агентство,104384371,https://999.md/ru/104384371?location=subcategory&index=2827&cardCategoryId=270&cardSubcategoryId=1404,5,Kотельцовый,5,60 м²,3-х комнатная квартира,Oткрытое,Вторичный,,,,97 500 €,Квартира без ливинга,Продам,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Nikolai Zelinski, 38/2"
1,2,Белый вариант,,,Агентство,102726724,https://999.md/ru/102726724?location=subcategory&index=2828&cardCategoryId=270&cardSubcategoryId=1404,6,Kирпичный,9,63 м²,2-х комнатная квартира,Подземная,Новострой,,,63 м²,79 600 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Старая Почта, str. Ceucari, 14"
,,Eвроремонт,,,Агентство,104613001,https://999.md/ru/104613001?location=subcategory&index=2829&cardCategoryId=270&cardSubcategoryId=1404,5,,5,30 м²,1-комнатная квартира,,Вторичный,,,,62 900 €,,Продам,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, str. Lech Kaczynski, 10/2"
1,1,Eвроремонт,,,Агентство,102928511,https://999.md/ru/102928511?location=subcategory&index=2830&cardCategoryId=270&cardSubcategoryId=1404,2,,9,50 м²,1-комнатная квартира,Oткрытое,Новострой,,,,85 000 €,,Продам,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр,  str. Ialoveni , 100"
1,1,Eвроремонт,,,Агентство,104188232,https://999.md/ru/104188232?location=subcategory&index=2831&cardCategoryId=270&cardSubcategoryId=1404,4,,5,50 м²,2-х комнатная квартира,,Вторичный,,,,87 000 €,,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Paris , 47"
,,,,,Частное лицо,104289472,https://999.md/ru/104289472?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0Njg5NDMsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQyODk0NzIiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiOTYxNmU4ODgtODQ1MS00OTAwLWIxODctODZhNzllOWFmMGQ4IiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA2LTE0VDE5OjI5OjAzLjM0NjQ3MjgwNVoifX0.fjyPsq58DB5I-5HZLbqFCQkFqGIh-sGAapGjPh3-COs&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=2832&cardCategoryId=270&cardSubcategoryId=1404,4,,9,75 м²,3-х комнатная квартира,,Новострой,Basconslux,,,180 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Ion Creangă, 49/3"
1,1,Белый вариант,,,Агентство,104567095,https://999.md/ru/104567095?location=subcategory&index=2833&cardCategoryId=270&cardSubcategoryId=1404,7,,10,70 м²,2-х комнатная квартира,,Новострой,,,,187 000 €,,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Constantin Stere, 16"
,,,,,Агентство,103905410,https://999.md/ru/103905410?location=subcategory&index=2834&cardCategoryId=270&cardSubcategoryId=1404,2,,11,38 м²,1-комнатная квартира,,Новострой,,,,47 492 €,,Продам,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, ---"
,,,,,Агентство,103697686,https://999.md/ru/103697686?location=subcategory&index=2835&cardCategoryId=270&cardSubcategoryId=1404,7,,9,71 м²,3-х комнатная квартира,,Вторичный,,,,109 000 €,,Продам,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, bd. Cuza Voda, ---"
,,,,,Агентство,103698806,https://999.md/ru/103698806?location=subcategory&index=2836&cardCategoryId=270&cardSubcategoryId=1404,10,,10,93 м²,4-x комнатная квартира,,Новострой,,,,213 000 €,,Продам,"4-x комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, str. Constantin Virnav, ---"
2,1,Eвроремонт,,,Агентство,104535871,https://999.md/ru/104535871?location=subcategory&index=2837&cardCategoryId=270&cardSubcategoryId=1404,2,,9,46 м²,2-х комнатная квартира,,Новострой,,,,125 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Ion Buzdugan, -"
,,,,,Застройщик,104424473,https://999.md/ru/104424473?location=subcategory&index=2838&cardCategoryId=270&cardSubcategoryId=1404,3,,5,44 м²,2-х комнатная квартира,,Вторичный,,,,86 000 €,,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Hristo Botev, 19/2"
1,1,Eвроремонт,Индивидуальная,320 см,Частное лицо,102857559,https://999.md/ru/102857559?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0Njg5NDMsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDI4NTc1NTkiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcm8iLCJsIjoiMzViYzJmNWUtMGMzZi00OGIwLWFhYjItNWIwNjg3MmEzMTI2IiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoicGx1cyIsInQiOiIyMDI2LTA2LTE0VDE5OjI5OjAzLjM0NjU4ODE0NVoifX0.Gxi2Lf7FiJi91fvRr9s8PUwomc3thG94lpFSctuu714&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=2839&cardCategoryId=270&cardSubcategoryId=1404,15,Kирпичный,17,74 м²,2-х комнатная квартира,Под навесом,Новострой,Eldorado Terra,,,240 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Bogdan Voievod, 1/A"
