Балкон / лоджия,Состояние квартиры,Санузел,Высота потолков,Планировка,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Парковочное место,Количество комнат,Жилой фонд,Застройщик,Площадь кухни,Жилая площадь,price,Ливинг,Тип,title,Адрес
,Eвроремонт,1,,,Агентство,104189685,https://999.md/ru/104189685?location=subcategory&index=235&cardCategoryId=270&cardSubcategoryId=1404,,4,9,69 м²,Oткрытое,2-х комнатная квартира,Новострой,Solomon Construct Imobil,,,155 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 98."
,Косметический pемонт,1,,,Застройщик,104531303,https://999.md/ru/104531303?location=subcategory&index=236&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,1,5,30 м²,,1-комнатная квартира,Вторичный,,,,52 900 €,,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Pandurilor, 55/2"
,Eвроремонт,1,,,Агентство,104176435,https://999.md/ru/104176435?location=subcategory&index=237&cardCategoryId=270&cardSubcategoryId=1404,,1,5,57 м²,Oткрытое,2-х комнатная квартира,Вторичный,,,,130 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. George Coșbuc, 20."
,Eвроремонт,1,,,Агентство,104195909,https://999.md/ru/104195909?location=subcategory&index=238&cardCategoryId=270&cardSubcategoryId=1404,,9,10,43 м²,,1-комнатная квартира,Новострой,,,,109 000 €,,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Burebista, 25."
,Белый вариант,,,,Агентство,101937702,https://999.md/ru/101937702?location=subcategory&index=239&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,2,6,48 м²,,1-комнатная квартира,Новострой,Estate Invest Company,,,72 450 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Расположение
1,,1,,,Частное лицо,103815071,https://999.md/ru/103815071?location=subcategory&index=240&cardCategoryId=270&cardSubcategoryId=1404,,3,10,18 м²,,Комната,Вторичный,,,,21 000 €,,Продам,"Комната,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Mihail Sadoveanu, 22/3"
,Косметический pемонт,1,,,Частное лицо,103348103,https://999.md/ru/103348103?location=subcategory&index=241&cardCategoryId=270&cardSubcategoryId=1404,,3,9,18 м²,,1-комнатная квартира,Вторичный,,,,21 000 €,,Продам,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, ул. Михаил Садовяну, 22/3"
1,Eвроремонт,1,,,Частное лицо,102823054,https://999.md/ru/102823054?location=subcategory&index=242&cardCategoryId=270&cardSubcategoryId=1404,,3,9,33 м²,,2-х комнатная квартира,Вторичный,,,,40 000 €,,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Mihail Sadoveanu, 22/3"
,Eвроремонт,1,,,Агентство,102347845,https://999.md/ru/102347845?location=subcategory&index=243&cardCategoryId=270&cardSubcategoryId=1404,,4,13,50 м²,Oткрытое,1-комнатная квартира,Новострой,Inamstro,,,210 000 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Calea Ieșilor, 6"
1,Белый вариант,1,,,Частное лицо,104321098,https://999.md/ru/104321098?location=subcategory&index=244&cardCategoryId=270&cardSubcategoryId=1404,,13,15,47 м²,Подземная,1-комнатная квартира,Новострой,Solomon Construct Imobil,,47 м²,184 900 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, bd. Ştefan cel Mare şi Sfânt, 171/3"
1,Eвроремонт,1,,,Агентство,104204772,https://999.md/ru/104204772?location=subcategory&index=245&cardCategoryId=270&cardSubcategoryId=1404,,3,7,49 м²,Oткрытое,1-комнатная квартира,Новострой,,,,105 500 €,Квартира без ливинга,Продам,"1-комнатная квартира,  Окраина,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Окраина, str. Nicolae Dimo, 80/7"
,Сдан в эксплуатацию,,,,Частное лицо,104432818,https://999.md/ru/104432818?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjQ2NzQsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ0MzI4MTgiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiNzdlZmZlMWUtOWFhOC00ZTUzLTgzMTItNDliOGM5ZmUwODA2IiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA2LTE0VDE4OjE3OjU0LjgzNzAyNzI5OVoifX0.impOG2YxLrnPE9SRRMsh5gvagOsVwl90fGEMICbTqUI&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=246&cardCategoryId=270&cardSubcategoryId=1404,,8,11,60 м²,,1-комнатная квартира,Новострой,Dansicons,,,130 000 €,,Продам,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Nicolae Testemițanu, 21"
3,Белый вариант,2,,,Агентство,103465772,https://999.md/ru/103465772?location=subcategory&index=247&cardCategoryId=270&cardSubcategoryId=1404,,3,10,87 м²,Oткрытое,2-х комнатная квартира,Новострой,Inamstro,,,143 550 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Grădina Botanică, 18/1"
,,,,,Застройщик,103645258,https://999.md/ru/103645258?location=subcategory&index=248&cardCategoryId=270&cardSubcategoryId=1404,,6,9,69 м²,,2-х комнатная квартира,Новострой,Varincom,,,88 320 €,,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, bd. Moscova, 26"
2,Сдан в эксплуатацию,,3 см,,Частное лицо,101713711,https://999.md/ru/101713711?location=subcategory&index=249&cardCategoryId=270&cardSubcategoryId=1404,,14,16,85 м²,,3-х комнатная квартира,Новострой,Varincom,,,164 998 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, ул. Грэдина Ботаникэ, 20/1"
,Белый вариант,,,,Застройщик,103645379,https://999.md/ru/103645379?location=subcategory&index=250&cardCategoryId=270&cardSubcategoryId=1404,,12,16,44 м²,,1-комнатная квартира,Новострой,Varincom,,,58 520 €,,Продам,"1-комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Старая Почта, str-la Studenților, 18"
1,Белый вариант,,,Индивидуальная,Частное лицо,103562170,https://999.md/ru/103562170?location=subcategory&index=251&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,2,6,48 м²,Подземная,1-комнатная квартира,Новострой,Estate Invest Company,,,74 900 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Durlești, 2"
,,,,,Агентство,103558404,https://999.md/ru/103558404?location=subcategory&index=252&cardCategoryId=270&cardSubcategoryId=1404,,1,1,57 м²,,2-х комнатная квартира,Вторичный,,,,129 900 €,,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, Mihail Kogălniceanu, 27"
,,,,,Застройщик,104306734,https://999.md/ru/104306734?location=subcategory&index=253&cardCategoryId=270&cardSubcategoryId=1404,,8,13,70 м²,,2-х комнатная квартира,Новострой,Exfactor-grup,,,190 000 €,,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 28a"
,Eвроремонт,,,143,Агентство,104599898,https://999.md/ru/104599898?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjQ2NzQsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ1OTk4OTgiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiY2FjMTk4ZjktZGQ5MC00YTcyLWI0MmYtOTVjYmMzNmVkMmUzIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNi0xNFQxODoxNzo1NC44MzcxMjM4ODdaIn19.G-0QS2dsSpePNXxn4s_IvKzQoyGR4UMDxZ0I3mGOUjo&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=254&cardCategoryId=270&cardSubcategoryId=1404,,7,9,54 м²,,2-х комнатная квартира,Вторичный,,,,93 500 €,,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Nicolae Milescu Spătarul, 13"
1,Eвроремонт,1,,,Агентство,103612035,https://999.md/ru/103612035?location=subcategory&index=255&cardCategoryId=270&cardSubcategoryId=1404,,2,7,47 м²,,1-комнатная квартира,Новострой,Inamstro,,,127 900 €,,Продам,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Liviu Deleanu, 10/1"
,,,,,Застройщик,103379137,https://999.md/ru/103379137?location=subcategory&index=256&cardCategoryId=270&cardSubcategoryId=1404,,6,16,91 м²,,3-х комнатная квартира,Новострой,Varincom,,,111 930 €,,Продам,"3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str-la Studenților, 18"
,Белый вариант,,,,Агентство,102281220,https://999.md/ru/102281220?location=subcategory&index=257&cardCategoryId=270&cardSubcategoryId=1404,,7,12,105 м²,,3-х комнатная квартира,Новострой,Astercon,,,176 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 61/4"
2,Eвроремонт,1,,,Агентство,104572899,https://999.md/ru/104572899?location=subcategory&index=258&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,2,8,52 м²,Подземная,1-комнатная квартира,Новострой,Exfactor-grup,,,127 500 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Аэропорт,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Аэропорт, bd. Dacia, 62"
,,,,,Агентство,103725062,https://999.md/ru/103725062?location=subcategory&index=259&cardCategoryId=270&cardSubcategoryId=1404,,8,15,49 м²,,1-комнатная квартира,Новострой,,,,115 000 €,,Продам,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, Str. Romana, 2/3a"
1,Белый вариант,1,,Индивидуальная,Агентство,86398425,https://999.md/ru/86398425?location=subcategory&index=260&cardCategoryId=270&cardSubcategoryId=1404,,9,10,67 м²,,2-х комнатная квартира,Новострой,,,67 м²,120 900 €,,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Расположение
,Белый вариант,2,270 см,,Застройщик,103326251,https://999.md/ru/103326251?location=subcategory&index=261&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,7,16,89 м²,,3-х комнатная квартира,Новострой,Varincom,,,109 470 €,,Продам,"3-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Старая Почта, str-la Studenților, 18"
3,Eвроремонт,2,,Индивидуальная,Агентство,104240000,https://999.md/ru/104240000?location=subcategory&index=262&cardCategoryId=270&cardSubcategoryId=1404,,1,8,90 м²,,3-х комнатная квартира,Новострой,,,,179 900 €,,Продам,"3-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, str. Nicolae Testemitanu, 21/5"
,Белый вариант,,,,Агентство,102682778,https://999.md/ru/102682778?location=subcategory&index=263&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,2,11,57 м²,,1-комнатная квартира,Новострой,Estate Invest Company,,,84 212 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Bucovinei, 5/63"
,,,,,Застройщик,104571178,https://999.md/ru/104571178?location=subcategory&index=264&cardCategoryId=270&cardSubcategoryId=1404,,8,10,74 м²,,2-х комнатная квартира,Новострой,,,,175 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Burebista, 25"
2,Нуждается в ремонте,2,,Мс (Молд. Серия),Агентство,102291833,https://999.md/ru/102291833?location=subcategory&index=265&cardCategoryId=270&cardSubcategoryId=1404,,8,9,70 м²,Oткрытое,3-х комнатная квартира,Вторичный,,,,93 500 €,,Продам,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника,  Bd. Cuza Vodă, 17"
1,Белый вариант,1,,,Частное лицо,104591782,https://999.md/ru/104591782?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjQ2NzQsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ1OTE3ODIiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiZTc3ZjYwZmQtZWZhZS00ZjYwLWEzZWEtM2FiNjg4OTYwZjE3IiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNi0xNFQxODoxNzo1NC44MzcyMTU2MjRaIn19.8nxtJqDYAvUcY6WsUfPZdKmH6Rk3M-ZbPwLGJ39Dwjs&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=266&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,7,20,38 м²,,1-комнатная квартира,Новострой,Braus Imobiliare,,,48 640 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, bd. Dacia, 59/A"
1,Eвроремонт,1,,,Застройщик,102801478,https://999.md/ru/102801478?location=subcategory&index=267&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,1,15,91 м²,Подземная,3-х комнатная квартира,Новострой,Exfactor-grup,,,229 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 41/A"
