Балкон / лоджия,Состояние квартиры,Санузел,Высота потолков,Планировка,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Количество комнат,Парковочное место,Жилой фонд,Застройщик,Площадь кухни,Жилая площадь,price,Ливинг,Тип,title,Адрес
2,Белый вариант,2,3300 см,,Застройщик,85798892,https://999.md/ru/85798892?location=subcategory&index=3043&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,6,14,96 м²,3-х комнатная квартира,Подземная,Новострой,Estate Invest Company,,96 м²,111 360 €,,Продам,"3-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 2"
1,Белый вариант,1,2700 см,,Застройщик,84978869,https://999.md/ru/84978869?location=subcategory&index=3044&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,2,4,56 м²,2-х комнатная квартира,Подземная,Новострой,Estate Invest Company,,54 м²,64 960 €,,Продам,"2-х комнатная квартира,  Окраина,  Трушены,  Кишинёв мун.","Кишинёв мун., Трушены, Окраина, -, -"
Нет,Белый вариант,1,2700 см,,Застройщик,84979840,https://999.md/ru/84979840?location=subcategory&index=3045&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,3,4,45 м²,1-комнатная квартира,Подземная,Новострой,Estate Invest Company,,45 м²,53 100 €,,Продам,"1-комнатная квартира,  Окраина,  Трушены,  Кишинёв мун.","Кишинёв мун., Трушены, Окраина, -, -"
1,Белый вариант,2,3000 см,,Застройщик,84979209,https://999.md/ru/84979209?location=subcategory&index=3046&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,4,4,158 м²,4-x комнатная квартира,Подземная,Новострой,Estate Invest Company,,158 м²,180 120 €,,Продам,"4-x комнатная квартира,  Окраина,  Трушены,  Кишинёв мун.","Кишинёв мун., Трушены, Окраина, -, -"
1,Белый вариант,1,2700 см,,Застройщик,84980031,https://999.md/ru/84980031?location=subcategory&index=3047&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,1,4,52 м²,2-х комнатная квартира,Подземная,Новострой,Estate Invest Company,,52 м²,60 320 €,,Продам,"2-х комнатная квартира,  Окраина,  Трушены,  Кишинёв мун.","Кишинёв мун., Трушены, Окраина, -, -"
1,Белый вариант,1,2700 см,,Застройщик,84980380,https://999.md/ru/84980380?location=subcategory&index=3048&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,3,4,50 м²,1-комнатная квартира,Подземная,Новострой,Estate Invest Company,,50 м²,59 000 €,,Продам,"1-комнатная квартира,  Окраина,  Трушены,  Кишинёв мун.","Кишинёв мун., Трушены, Окраина, -, -"
1,Белый вариант,1,2700 см,,Застройщик,84980440,https://999.md/ru/84980440?location=subcategory&index=3049&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,3,4,50 м²,1-комнатная квартира,Подземная,Новострой,Estate Invest Company,,50 м²,58 000 €,,Продам,"1-комнатная квартира,  Центр,  Трушены,  Кишинёв мун.","Кишинёв мун., Трушены, Центр, -, -"
Нет,Белый вариант,2,3300 см,,Застройщик,85798844,https://999.md/ru/85798844?location=subcategory&index=3050&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,6,14,76 м²,2-х комнатная квартира,Подземная,Новострой,Estate Invest Company,,75 м²,90 600 €,,Продам,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 2"
1,Белый вариант,,,,Застройщик,87049023,https://999.md/ru/87049023?location=subcategory&index=3051&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,1,6,73 м²,2-х комнатная квартира,,Новострой,Estate Invest Company,,,102 930 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Окраина,  Думбрава,  Кишинёв мун.","Кишинёв мун., Думбрава, Окраина, -, -"
2,Индивидуальный дизайн,1,,143,Частное лицо,104603870,https://999.md/ru/104603870?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjkzNjEsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ2MDM4NzAiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiZDdhY2E3MzEtZjU4Yy00ZWNlLWI2ODgtZGVmOTM3OTgwMmUwIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA2LTE0VDE5OjM2OjAxLjM2OTczNTk0M1oifX0.MrW4_c7nWJ19-Kdpvk9Wyx8oaZaEYx2T1M3JOGyH4lw&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=3052&cardCategoryId=270&cardSubcategoryId=1404,,6,9,72 м²,3-х комнатная квартира,Oткрытое,Вторичный,,,,117 000 €,,Продам,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Petru Zadnipru, 19/3"
