Балкон / лоджия,Состояние квартиры,Санузел,Высота потолков,Планировка,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Количество комнат,Парковочное место,Жилой фонд,Застройщик,Жилая площадь,price,Ливинг,Тип,Адрес,title,Площадь кухни
2,,,,,Агентство,104217129,https://999.md/ru/104217129?location=subcategory&index=3121&cardCategoryId=270&cardSubcategoryId=1404,,8,11,85 м²,3-х комнатная квартира,,Новострой,,,169 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Ботаника, str. Sarmizegetusa, 24/1","3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
,,,,,Агентство,104576333,https://999.md/ru/104576333?location=subcategory&index=3122&cardCategoryId=270&cardSubcategoryId=1404,,8,10,75 м²,2-х комнатная квартира,,Новострой,,,175 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Ботаника, str. Burebista, 25","2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
,Косметический pемонт,,,,Застройщик,103306196,https://999.md/ru/103306196?location=subcategory&index=3123&cardCategoryId=270&cardSubcategoryId=1404,,3,12,77 м²,2-х комнатная квартира,,Новострой,,,132 999 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Телецентр, str. Drumul Viilor, 1","2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",
1,Белый вариант,1,,,Агентство,102618781,https://999.md/ru/102618781?location=subcategory&index=3124&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,5,9,41 м²,1-комнатная квартира,Подземная,Новострой,Lagmar Impex,,57 890 €,,Продам,"Кишинёв мун., Кишинёв, Телецентр, șos. Hâncești, 142","1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",11 м²
Нет,Eвроремонт,,,,Агентство,104035132,https://999.md/ru/104035132?location=subcategory&index=3125&cardCategoryId=270&cardSubcategoryId=1404,,5,7,48 м²,1-комнатная квартира,Oткрытое,Новострой,,,99 900 €,Квартира с ливингом,Продам,Расположение,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",
1,Eвроремонт,2,,,Агентство,103215818,https://999.md/ru/103215818?location=subcategory&index=3126&cardCategoryId=270&cardSubcategoryId=1404,,8,12,66 м²,2-х комнатная квартира,Oткрытое,Новострой,,,134 900 €,,Продам,"Кишинёв мун., Кишинёв, Чокана, str. Ginta Latină, 12/3","2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
1,Белый вариант,1,,,Агентство,103373750,https://999.md/ru/103373750?location=subcategory&index=3127&cardCategoryId=270&cardSubcategoryId=1404,,6,7,56 м²,2-х комнатная квартира,Подземная,Новострой,,,106 400 €,,Продам,"Кишинёв мун., Кишинёв, Телецентр, str. Drumul Viilor, *","2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",
,,,,,Агентство,104110303,https://999.md/ru/104110303?location=subcategory&index=3128&cardCategoryId=270&cardSubcategoryId=1404,,16,18,57 м²,2-х комнатная квартира,,Новострой,,,36 000 €,,Продам,"Кишинёв мун., Кишинёв, Ботаника, str. Dimineții, 22","2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
,,,,,Агентство,104575441,https://999.md/ru/104575441?location=subcategory&index=3129&cardCategoryId=270&cardSubcategoryId=1404,,3,11,45 м²,2-х комнатная квартира,,Новострой,,,77 000 €,,Продам,"Кишинёв мун., Кишинёв, Ботаника, str. Grenoble, 134/3","2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
,,,,,Агентство,101591687,https://999.md/ru/101591687?location=subcategory&index=3130&cardCategoryId=270&cardSubcategoryId=1404,,4,9,65 м²,2-х комнатная квартира,,Новострой,Poliprim Grup,,84 900 €,Квартира с ливингом,Продам,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24","2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",
