Балкон / лоджия,Санузел,Состояние квартиры,Высота потолков,Планировка,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Количество комнат,Парковочное место,Жилой фонд,Застройщик,Площадь кухни,Жилая площадь,price,Ливинг,Тип,title,Адрес
1,1,,,,Агентство,104139028,https://999.md/ru/104139028?location=subcategory&index=3277&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,6,8,40 м²,1-комнатная квартира,,Новострой,,,,105 000 €,,Продам,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Durleşti, *"
,,,,,Агентство,104611450,https://999.md/ru/104611450?location=subcategory&index=3278&cardCategoryId=270&cardSubcategoryId=1404,,4,5,45 м²,2-х комнатная квартира,,Вторичный,,,,69 900 €,,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Nicolae Titulescu, 8"
,1,Eвроремонт,,,Агентство,104590706,https://999.md/ru/104590706?location=subcategory&index=3279&cardCategoryId=270&cardSubcategoryId=1404,,4,5,47 м²,2-х комнатная квартира,,Новострой,,,,139 000 €,,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str-la Ghica Vodă, -"
1,2,Eвроремонт,300 см,,Частное лицо,104603473,https://999.md/ru/104603473?location=subcategory&index=3280&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,7,7,85 м²,3-х комнатная квартира,,Новострой,Astercon,,,179 900 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Ion Buzdugan, 13"
,1,Eвроремонт,,,Агентство,104485990,https://999.md/ru/104485990?location=subcategory&index=3281&cardCategoryId=270&cardSubcategoryId=1404,,3,5,43 м²,2-х комнатная квартира,,Вторичный,,,,35 000 €,,Продам,"2-х комнатная квартира,  8 квартал,  Бельцы,  Бельцы мун.","Бельцы мун., Бельцы, 8 квартал, str. Tudor Vladimirescu, --"
,1,,,,Агентство,104572331,https://999.md/ru/104572331?location=subcategory&index=3282&cardCategoryId=270&cardSubcategoryId=1404,,8,8,42 м²,1-комнатная квартира,,Новострой,,,,82 000 €,,Продам,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Grigore Ureche, --"
,1,Eвроремонт,,,Агентство,104192134,https://999.md/ru/104192134?location=subcategory&index=3283&cardCategoryId=270&cardSubcategoryId=1404,Mонолитный,3,16,36 м²,1-комнатная квартира,,Вторичный,,,,62 000 €,,Продам,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, Piața Unirii Principatelor, *"
1,1,Белый вариант,,,Агентство,104535884,https://999.md/ru/104535884?location=subcategory&index=3284&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,1,9,53 м²,2-х комнатная квартира,,Новострой,,,,70 000 €,,Продам,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Cartuşa, *"
1,2,Сдан в эксплуатацию,,Индивидуальная,Застройщик,104538180,https://999.md/ru/104538180?location=subcategory&index=3285&cardCategoryId=270&cardSubcategoryId=1404,Ячеистый Бетон,4,10,45 м²,1-комнатная квартира,,Новострой,,,,125 000 €,,Продам,"1-комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Старая Почта, str. Ceucari, 5/9"
1,2,Косметический pемонт,,Мс (Молд. Серия),Агентство,104200403,https://999.md/ru/104200403?location=subcategory&index=3286&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,1,5,60 м²,2-х комнатная квартира,,Вторичный,,,,89 900 €,,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, bd. Traian, 6/1"
