Балкон / лоджия,Состояние квартиры,Санузел,Планировка,Высота потолков,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Количество комнат,Парковочное место,Жилой фонд,Застройщик,Жилая площадь,price,Ливинг,Тип,Адрес,title,Площадь кухни
,Незавершенное cтроительство,,,,Агентство,101334730,https://999.md/ru/101334730?location=subcategory&index=3433&cardCategoryId=270&cardSubcategoryId=1404,,5,11,64 м²,2-х комнатная квартира,,Новострой,,,92 800 €,,Продам,"Кишинёв мун., Кишинёв, Рышкановка, str. Ceucari, 1/1","2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
1,Косметический pемонт,2,Индивидуальная,2500 см,Частное лицо,104467953,https://999.md/ru/104467953?location=subcategory&index=3434&cardCategoryId=270&cardSubcategoryId=1404,Mонолитный,15,22,50 м²,2-х комнатная квартира,Oткрытое,Вторичный,,35 м²,75 000 €,Квартира без ливинга,Продам,"Кишинёв мун., Кишинёв, Центр, ул. Албишоара, 82/3","2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",10 м²
,,,,,Застройщик,104487214,https://999.md/ru/104487214?location=subcategory&index=3435&cardCategoryId=270&cardSubcategoryId=1404,,2,9,92 м²,4-x комнатная квартира,,Вторичный,,,139 900 €,,Продам,"Кишинёв мун., Кишинёв, Чокана, str. Igor Vieru, 1","4-x комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
,Индивидуальный дизайн,1,,,Частное лицо,103921795,https://999.md/ru/103921795?location=subcategory&index=3436&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,1,1,82 м²,2-х комнатная квартира,,Вторичный,,,48 000 €,,Продам,"Кишинёв мун., Кишинёв, Ботаника, str. Alexandru Negru-Vodă, 109/1","2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
,Косметический pемонт,,,,Агентство,104015937,https://999.md/ru/104015937?location=subcategory&index=3437&cardCategoryId=270&cardSubcategoryId=1404,,2,5,42 м²,2-х комнатная квартира,,Вторичный,,,52 000 €,,Продам,"Бельцы мун., Бельцы, БАМ, str. Bulgară, 162","2-х комнатная квартира,  БАМ,  Бельцы,  Бельцы мун.",
1,Eвроремонт,1,,,Агентство,104458681,https://999.md/ru/104458681?location=subcategory&index=3438&cardCategoryId=270&cardSubcategoryId=1404,,3,5,42 м²,2-х комнатная квартира,,Вторичный,,,60 000 €,,Продам,"Бельцы мун., Бельцы, БАМ, ул. Булгарэ, 114","2-х комнатная квартира,  БАМ,  Бельцы,  Бельцы мун.",
Нет,Сдан в эксплуатацию,1,Индивидуальная,250 см,Застройщик,103747944,https://999.md/ru/103747944?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NzAwNzIsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM3NDc5NDQiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiMDY4NjI4ODUtNDA3Zi00NDM4LThiYTItYjM4MjBkMmJjYTY0IiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA2LTE0VDE5OjQ3OjUyLjg0MjQzOTQ4NVoifX0.l1HsjVp5O7xjlGOJdzSsHyzJhW5tpxpBTZoqsvyjh9w&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=3439&cardCategoryId=270&cardSubcategoryId=1404,Бетон,1,14,40 м²,1-комнатная квартира,Oткрытое,Новострой,Eurostil Construct,30 м²,550 MDL,Квартира с ливингом,Сдаю посуточно,"Кишинёв мун., Ставчены, Центр, str. Unirii, 20","1-комнатная квартира,  Центр,  Ставчены,  Кишинёв мун.",8 м²
,Косметический pемонт,1,,,Агентство,104450286,https://999.md/ru/104450286?location=subcategory&index=3440&cardCategoryId=270&cardSubcategoryId=1404,,5,9,33 м²,1-комнатная квартира,,Вторичный,,,46 700 €,,Продам,"Бельцы мун., Бельцы, 10 квартал, ул. Сучава, 15","1-комнатная квартира,  10 квартал,  Бельцы,  Бельцы мун.",
Нет,Eвроремонт,2,Индивидуальная,,Агентство,102651333,https://999.md/ru/102651333?location=subcategory&index=3441&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,1,7,105 м²,2-х комнатная квартира,Подземная,Новострой,Inamstro,,259 900 €,,Продам,"Кишинёв мун., Кишинёв, Центр, Avram Iancu, 32","2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
Нет,Eвроремонт,2,Хрущевка,,Агентство,104162238,https://999.md/ru/104162238?location=subcategory&index=3442&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,1,2,45 м²,2-х комнатная квартира,Гараж,Вторичный,,,99 900 €,,Продам,"Кишинёв мун., Кишинёв, Рышкановка, Stradela 1 Florarii, 1 k","2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
3,Eвроремонт,2,Индивидуальная,,Агентство,101460783,https://999.md/ru/101460783?location=subcategory&index=3443&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,5,6,113 м²,4-x комнатная квартира,Oткрытое,Новострой,Dansicons,,165 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Ставчены, Центр, str. Mihail Frunze, 1/K4","4-x комн. квартиры,  Центр,  Ставчены,  Кишинёв мун.",
2,Белый вариант,2,Индивидуальная,,Агентство,104268332,https://999.md/ru/104268332?location=subcategory&index=3444&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,2,5,65 м²,2-х комнатная квартира,Oткрытое,Новострой,,,130 000 €,,Продам,"Кишинёв мун., Кишинёв, Ботаника, Națională, 37","2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
Нет,Eвроремонт,1,,,Агентство,104420986,https://999.md/ru/104420986?location=subcategory&index=3445&cardCategoryId=270&cardSubcategoryId=1404,Mонолитный,9,16,37 м²,1-комнатная квартира,Oткрытое,Вторичный,,,79 900 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Буюканы, Piața Unirii Principatelor, 1","1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
2,Eвроремонт,2,,,Агентство,104153041,https://999.md/ru/104153041?location=subcategory&index=3446&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,12,14,86 м²,3-х комнатная квартира,Подземная,Новострой,AMIC,,174 900 €,,Продам,"Кишинёв мун., Кишинёв, Ботаника, cuza voda, 13/8","3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
1,,1,,,Агентство,104376290,https://999.md/ru/104376290?location=subcategory&index=3447&cardCategoryId=270&cardSubcategoryId=1404,,2,2,29 м²,2-х комнатная квартира,,Вторичный,,,26 500 €,,Продам,"Бельцы мун., Бельцы, Кишиневский мост, ул. Алексей Щусев, 8/A","2-х комнатная квартира,  Кишиневский мост,  Бельцы,  Бельцы мун.",
,Косметический pемонт,,,,Агентство,104341777,https://999.md/ru/104341777?location=subcategory&index=3448&cardCategoryId=270&cardSubcategoryId=1404,,7,9,53 м²,2-х комнатная квартира,,Вторичный,,,46 500 €,,Продам,"Бельцы мун., Бельцы, Пэмынтены, ул. Павел Боцу, 87","2-х комнатная квартира,  Пэмынтены,  Бельцы,  Бельцы мун.",
,,,,,Банк,104309662,https://999.md/ru/104309662?location=subcategory&index=3449&cardCategoryId=270&cardSubcategoryId=1404,,5,5,46 м²,2-х комнатная квартира,,Вторичный,,,510 000 MDL,,Продам,"Кишинёв мун., Кишинёв, Ботаника, str. Aeroport, 13","2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
