Балкон / лоджия,Санузел,Состояние квартиры,Планировка,Высота потолков,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Парковочное место,Количество комнат,Жилой фонд,Застройщик,Площадь кухни,Жилая площадь,price,Ливинг,Тип,title,Адрес
1,1,,,,Частное лицо,79234408,https://999.md/ru/79234408?location=subcategory&index=3511&cardCategoryId=270&cardSubcategoryId=1404,,3,4,44 м²,Oткрытое,2-х комнатная квартира,Вторичный,,,,72 500 €,,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Pandurilor, 51"
1,1,Незавершенное cтроительство,Индивидуальная,,Агентство,102051552,https://999.md/ru/102051552?location=subcategory&index=3512&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,3,6,45 м²,Oткрытое,1-комнатная квартира,Новострой,Estate Invest Company,,,67 500 €,,Продам,"1-комнатная квартира,  Окраина,  Думбрава,  Кишинёв мун.","Кишинёв мун., Думбрава, Окраина, Durlești, 1"
1,1,Eвроремонт,Индивидуальная,,Агентство,104506259,https://999.md/ru/104506259?location=subcategory&index=3513&cardCategoryId=270&cardSubcategoryId=1404,Ячеистый Бетон,2,9,46 м²,Oткрытое,1-комнатная квартира,Новострой,,,,94 499 €,,Продам,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 100/3"
1,1,Индивидуальный дизайн,,,Агентство,104136220,https://999.md/ru/104136220?location=subcategory&index=3514&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,6,6,83 м²,Oткрытое,2-х комнатная квартира,Новострой,Inamstro,,,239 500 €,,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, Liviu Deleanu, 10/9"
1,1,Eвроремонт,Индивидуальная,,Агентство,104083232,https://999.md/ru/104083232?location=subcategory&index=3515&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,2,7,53 м²,Oткрытое,2-х комнатная квартира,Новострой,,,,109 900 €,,Продам,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, Tudor Vladimirescu, 52"
1,1,Eвроремонт,,,Агентство,103755287,https://999.md/ru/103755287?location=subcategory&index=3516&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,3,3,88 м²,,2-х комнатная квартира,Новострой,,,,172 000 €,,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, Liviu Rebreanu, 129/A"
1,2,Eвроремонт,,310 см,Агентство,104615914,https://999.md/ru/104615914?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NzAyMDgsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ2MTU5MTQiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcm8iLCJsIjoiNmFjNjk3MzgtMzNiMS00MTFlLTg0MTgtODYwNGVmNGJlNjIxIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNi0xNFQxOTo1MDowOC4xNTEyMjExNDhaIn19.YYH0qLyiUeq7KA8J2fBEZ5oi4RkAjIMb2EWNckCw2Ok&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=3517&cardCategoryId=270&cardSubcategoryId=1404,,Пентхаус,13,130 м²,Подземная,2-х комнатная квартира,Новострой,Estate Invest Company,,,590 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, bd. Moscova, 9/5"
1,1,Eвроремонт,Индивидуальная,,Агентство,100049751,https://999.md/ru/100049751?location=subcategory&index=3518&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,20,22,43 м²,Подземная,1-комнатная квартира,Новострой,Braus Imobiliare,,,119 000 €,,Продам,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, Bulevardul Mircea cel Bătrân, 15 B"
1,1,Eвроремонт,Индивидуальная,,Агентство,104242130,https://999.md/ru/104242130?location=subcategory&index=3519&cardCategoryId=270&cardSubcategoryId=1404,,10,16,55 м²,Oткрытое,2-х комнатная квартира,Вторичный,,,,106 000 €,,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, Bulevardul Moscova, 11"
1,1,Незавершенное cтроительство,Индивидуальная,,Агентство,101653855,https://999.md/ru/101653855?location=subcategory&index=3520&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,5,10,51 м²,Oткрытое,1-комнатная квартира,Новострой,Braus Imobiliare,,,67 900 €,,Продам,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, sos hincesti, 140/1"
