Балкон / лоджия,Состояние квартиры,Санузел,Планировка,Высота потолков,Автор объявления,id,link,Этаж,Тип здания,Количество этажей,Общая площадь,Парковочное место,Количество комнат,Жилой фонд,Застройщик,Площадь кухни,Жилая площадь,price,Ливинг,Тип,title,Адрес
1,Eвроремонт,1,,,Агентство,102883225,https://999.md/ru/102883225?location=subcategory&index=3745&cardCategoryId=270&cardSubcategoryId=1404,4,,5,27 м²,Oткрытое,1-комнатная квартира,Вторичный,,,,52 000 €,Квартира без ливинга,Продам,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, пр-т Алба Юлия, 8/1"
1,Белый вариант,1,,,Агентство,102865251,https://999.md/ru/102865251?location=subcategory&index=3746&cardCategoryId=270&cardSubcategoryId=1404,7,,13,47 м²,Oткрытое,1-комнатная квартира,Новострой,,,,69 900 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Старая Почта, ул. Чеукарь, 84"
1,Eвроремонт,1,,,Агентство,102830742,https://999.md/ru/102830742?location=subcategory&index=3747&cardCategoryId=270&cardSubcategoryId=1404,5,,5,42 м²,Oткрытое,2-х комнатная квартира,Вторичный,,,,93 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, бул. Григоре Виеру, 20"
1,Eвроремонт,2,Мс (Молд. Серия),,Агентство,104319335,https://999.md/ru/104319335?location=subcategory&index=3748&cardCategoryId=270&cardSubcategoryId=1404,2,,9,70 м²,Oткрытое,3-х комнатная квартира,Вторичный,,,,145 000 €,Квартира без ливинга,Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, ул. Ливиу Деляну, 3/2"
1,Белый вариант,1,,,Агентство,100893939,https://999.md/ru/100893939?location=subcategory&index=3749&cardCategoryId=270&cardSubcategoryId=1404,Цоколь,,5,84 м²,,3-х комнатная квартира,Новострой,,,,120 577 €,,Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, strada Bisericii, 19"
1,Eвроремонт,1,,,Агентство,104328584,https://999.md/ru/104328584?location=subcategory&index=3750&cardCategoryId=270&cardSubcategoryId=1404,3,,4,35 м²,Oткрытое,1-комнатная квартира,Вторичный,,,,79 900 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, ул. Флорилор, 8/3"
1,Eвроремонт,1,,,Агентство,104386172,https://999.md/ru/104386172?location=subcategory&index=3751&cardCategoryId=270&cardSubcategoryId=1404,5,,14,90 м²,Oткрытое,2-х комнатная квартира,Новострой,,,,146 900 €,Квартира без ливинга,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, пр-т Мирча чел Бэтрын, 22/5"
,Eвроремонт,2,,,Агентство,104377623,https://999.md/ru/104377623?location=subcategory&index=3752&cardCategoryId=270&cardSubcategoryId=1404,3,,10,115 м²,Oткрытое,3-х комнатная квартира,Новострой,,,,490 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, ул. Сергей Лазо, 46"
,Eвроремонт,1,Индивидуальная,,Застройщик,104609434,https://999.md/ru/104609434?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NzA2MzEsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ2MDk0MzQiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcm8iLCJsIjoiMmQ2NTZlZjYtMDNlZS00ZmJlLTg1ODgtNWEwYjRlMzVhMmRiIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA2LTE0VDE5OjU3OjExLjQwNTY1MjA5MloifX0.ef0NAk-RDJ44c_kTQcM0Xdn9QE1R-erQAaNSQqEjJsc&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=3753&cardCategoryId=270&cardSubcategoryId=1404,8,Kирпичный,10,60 м²,Oткрытое,2-х комнатная квартира,Новострой,Inamstro,,60 м²,157 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Ion Dumeniuc, 6"
2,Eвроремонт,2,,,Агентство,104405517,https://999.md/ru/104405517?location=subcategory&index=3754&cardCategoryId=270&cardSubcategoryId=1404,2,,9,98 м²,Oткрытое,2-х комнатная квартира,Новострой,,,,265 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, ул. Валя Трандафирилор, 20"
1,Белый вариант,1,Индивидуальная,,Застройщик,104194667,https://999.md/ru/104194667?location=subcategory&index=3755&cardCategoryId=270&cardSubcategoryId=1404,14,Kирпичный,14,47 м²,,1-комнатная квартира,Новострой,Lagmar Impex,,,59 900 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Старая Почта, str. Ceucari, 14"
1,Белый вариант,1,Индивидуальная,,Агентство,103534578,https://999.md/ru/103534578?location=subcategory&index=3756&cardCategoryId=270&cardSubcategoryId=1404,6,Kирпичный,13,38 м²,Oткрытое,1-комнатная квартира,Новострой,,,,64 221 €,,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, Dimineții, 22"
1,Сдан в эксплуатацию,1,Индивидуальная,270 см,Застройщик,104499946,https://999.md/ru/104499946?location=subcategory&index=3757&cardCategoryId=270&cardSubcategoryId=1404,7,Kомбинированный,9,24 м²,Oткрытое,1-комнатная квартира,Вторичный,AMIC,6 м²,15 м²,46 300 €,Квартира без ливинга,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Independenței, 34"
1,Eвроремонт,1,Индивидуальная,270 см,Застройщик,104500000,https://999.md/ru/104500000?location=subcategory&index=3758&cardCategoryId=270&cardSubcategoryId=1404,7,Kомбинированный,9,24 м²,Oткрытое,Комната,Вторичный,AMIC,6 м²,15 м²,46 300 €,Квартира без ливинга,Продам,"Комната,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Independenței, 34"
1,Белый вариант,2,Индивидуальная,,Агентство,103688979,https://999.md/ru/103688979?location=subcategory&index=3759&cardCategoryId=270&cardSubcategoryId=1404,6,Kирпичный,9,68 м²,Подземная,2-х комнатная квартира,Новострой,,,,95 200 €,,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, Calea Mosilor, 4"
1,Белый вариант,1,,,Агентство,104610153,https://999.md/ru/104610153?location=subcategory&index=3760&cardCategoryId=270&cardSubcategoryId=1404,3,Kомбинированный,9,44 м²,Oткрытое,1-комнатная квартира,Новострой,Pamir Construct,,,66 800 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 100/3"
1,Белый вариант,1,,,Частное лицо,103999563,https://999.md/ru/103999563?location=subcategory&index=3761&cardCategoryId=270&cardSubcategoryId=1404,5,,7,70 м²,,2-х комнатная квартира,Новострой,,,70 м²,107 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Расположение
,Eвроремонт,,,,Частное лицо,103282412,https://999.md/ru/103282412?location=subcategory&index=3762&cardCategoryId=270&cardSubcategoryId=1404,4,Mонолитный,9,54 м²,,1-комнатная квартира,Новострой,Estate Invest Company,,54 м²,105 000 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Расположение
,Белый вариант,1,,,Застройщик,87818781,https://999.md/ru/87818781?location=subcategory&index=3763&cardCategoryId=270&cardSubcategoryId=1404,5,,12,59 м²,Подземная,2-х комнатная квартира,Новострой,Estate Invest Company,,,66 670 €,,Продам,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 134"
,,,,,Застройщик,103444730,https://999.md/ru/103444730?location=subcategory&index=3764&cardCategoryId=270&cardSubcategoryId=1404,2,,8,59 м²,,2-х комнатная квартира,Новострой,,,,72 385 €,,Продам,"2-х комнатная квартира,  Центр,  Чореску,  Кишинёв мун.","Кишинёв мун., Чореску, Центр, ул. Виилор, 1/a"
1,Eвроремонт,1,Индивидуальная,,Частное лицо,104610128,https://999.md/ru/104610128?location=subcategory&index=3765&cardCategoryId=270&cardSubcategoryId=1404,7,,8,64 м²,,2-х комнатная квартира,Новострой,Gonvaro-Con,,64 м²,145 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Alba-Iulia, 77/20"
