Застройщик,Тип здания,link,Парковочное место,title,Ливинг,Санузел,Количество этажей,Общая площадь,Состояние квартиры,Жилой фонд,Площадь кухни,Количество комнат,price,Адрес,Высота потолков,Тип,Жилая площадь,id,Этаж,Автор объявления,Балкон / лоджия,Планировка
,,https://999.md/ru/103903044?location=subcategory&index=4993&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",,1,15,97 м²,Eвроремонт,Новострой,,3-х комнатная квартира,215 000 €,"Кишинёв мун., Кишинёв, Рышкановка, str. Matei Basarab, --",,Продам,,103903044,10,Агентство,2,Индивидуальная
,,https://999.md/ru/103481250?location=subcategory&index=4994&cardCategoryId=270&cardSubcategoryId=1404,Подземная,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",,2,12,77 м²,Eвроремонт,Новострой,,2-х комнатная квартира,148 000 €,"Кишинёв мун., Кишинёв, Телецентр, Ialoveni, --",,Продам,,103481250,3,Агентство,1,Индивидуальная
,,https://999.md/ru/80685612?location=subcategory&index=4995&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"2-х комнатная квартира,  Молодово,  Бельцы,  Бельцы мун.",Квартира с ливингом,2,6,68 м²,Белый вариант,Новострой,,2-х комнатная квартира,54 400 €,"Бельцы мун., Бельцы, Молодово, str. Ștefan cel Mare și Sfînt, 189",,Продам,,80685612,3,Застройщик,2,
,Kотельцовый,https://999.md/ru/104493332?location=subcategory&index=4996&cardCategoryId=270&cardSubcategoryId=1404,,"2-х комнатная квартира,  Центр,  Чореску,  Кишинёв мун.",,2,5,46 м²,Косметический pемонт,Вторичный,,2-х комнатная квартира,55 000 €,"Кишинёв мун., Чореску, Центр, str. Moldova, 8",,Продам,,104493332,5,Агентство,,
Exfactor-grup,,https://999.md/ru/104189248?location=subcategory&index=4997&cardCategoryId=270&cardSubcategoryId=1404,,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",,2,14,100 м²,Eвроремонт,Новострой,,3-х комнатная квартира,159 000 €,"Кишинёв мун., Кишинёв, Чокана, str. Mihail Sadoveanu, 17/1",,Продам,76 м²,104189248,Пентхаус,Агентство,3,
,,https://999.md/ru/104189125?location=subcategory&index=4998&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"3-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",,1,5,65 м²,Косметический pемонт,Вторичный,,3-х комнатная квартира,78 000 €,"Кишинёв мун., Кишинёв, Телецентр, str. Sfânta Vineri, 16a",,Продам,,104189125,3,Агентство,,
Astercon,Ячеистый Бетон,https://999.md/ru/102831939?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NzMyMTYsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDI4MzE5MzkiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6ImFlOTQxZTRiLTE4MGUtNGVjYS1hOTE2LTNhZWVhMmNiMzBmMSIsImUiOiI4OS4xNDkuOTEuMTYyIiwidCI6IjIwMjYtMDYtMTRUMjA6NDA6MTYuMzQ5MDExNTA1WiJ9fQ.rvR09dTusHLnXwefOOhZlcYgcwLF-rJh-RRk_YYquLM&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=4999&cardCategoryId=270&cardSubcategoryId=1404,Гараж,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Квартира с ливингом,2,6,77 м²,Белый вариант,Новострой,12 м²,2-х комнатная квартира,103 397 €,"Кишинёв мун., Дурлешты, Центр, str. Durlești, 8",286 см,Продам,,102831939,2,Застройщик,2,
,Kотельцовый,https://999.md/ru/104188902?location=subcategory&index=5000&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Квартира без ливинга,1,3,52 м²,Индивидуальный дизайн,Вторичный,,2-х комнатная квартира,129 000 €,"Кишинёв мун., Кишинёв, Центр, str. Mitropolitul Petru Movilă, 41",,Продам,,104188902,3,Агентство,Нет,Ст (Сталинка)
,Панельный,https://999.md/ru/104606688?location=subcategory&index=5001&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",,1,9,76 м²,Косметический pемонт,Вторичный,,3-х комнатная квартира,98 500 €,"Кишинёв мун., Кишинёв, Рышкановка, str. Tudor Vladimirescu, -",,Продам,66 м²,104606688,8,Агентство,3,143
,,https://999.md/ru/101556680?location=subcategory&index=5002&cardCategoryId=270&cardSubcategoryId=1404,,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",,2,12,88 м²,Eвроремонт,Новострой,,2-х комнатная квартира,168 400 €,Расположение,,Продам,,101556680,9,Агентство,,
,,https://999.md/ru/101856382?location=subcategory&index=5003&cardCategoryId=270&cardSubcategoryId=1404,,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,,9,49 м²,Белый вариант,Новострой,,1-комнатная квартира,115 150 €,"Кишинёв мун., Кишинёв, Буюканы, str. Lipcani, 2",,Продам,,101856382,4,Застройщик,,
Estate Invest Company,,https://999.md/ru/101526949?location=subcategory&index=5004&cardCategoryId=270&cardSubcategoryId=1404,,"1-комнатная квартира,  Центр,  Трушены,  Кишинёв мун.",Квартира с ливингом,,5,48 м²,Белый вариант,Новострой,,1-комнатная квартира,52 320 €,"Кишинёв мун., Трушены, Центр, str. 27 August 1989, 2b",,Продам,,101526949,2,Застройщик,,
Dansicons,,https://999.md/ru/87801625?location=subcategory&index=5005&cardCategoryId=270&cardSubcategoryId=1404,Подземная,"2-х комнатная квартира,  Центр,  Оргеев,  Оргеев",Квартира с ливингом,1,6,68 м²,Белый вариант,Новострой,,2-х комнатная квартира,85 375 €,Расположение,,Продам,,87801625,5,Застройщик,1,Индивидуальная
,,https://999.md/ru/88221601?location=subcategory&index=5006&cardCategoryId=270&cardSubcategoryId=1404,Подземная,"2-х комнатная квартира,  Центр,  Кодру,  Кишинёв мун.",Квартира с ливингом,2,8,66 м²,Cерый вариант,Новострой,,2-х комнатная квартира,93 100 €,"Кишинёв мун., Кодру, Центр, str. Soarelui, 87",,Продам,,88221601,2,Агентство,,
,Панельный,https://999.md/ru/104401904?location=subcategory&index=5007&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",,2,9,70 м²,Нуждается в ремонте,Вторичный,8 м²,3-х комнатная квартира,93 000 €,"Кишинёв мун., Кишинёв, Буюканы, ул. Николае Костин, 61/3",,Продам,54 м²,104401904,4,Агентство,2,Мс (Молд. Серия)
,Kотельцовый,https://999.md/ru/104581303?location=subcategory&index=5008&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"1-комнатная квартира,  8 квартал,  Бельцы,  Бельцы мун.",,1,5,33 м²,Без ремонта,Вторичный,,1-комнатная квартира,26 500 €,"Бельцы мун., Бельцы, 8 квартал, str. Rodion Malinovschi, 20",,Продам,,104581303,2,Агентство,1,
,,https://999.md/ru/104309297?location=subcategory&index=5009&cardCategoryId=270&cardSubcategoryId=1404,,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",,3,12,171 м²,Белый вариант,Новострой,,3-х комнатная квартира,307 800 €,"Кишинёв мун., Кишинёв, Ботаника, str. Grenoble, --",,Продам,,104309297,12,Агентство,,
,,https://999.md/ru/103486125?location=subcategory&index=5010&cardCategoryId=270&cardSubcategoryId=1404,,"2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",,2,5,54 м²,Eвроремонт,Вторичный,,2-х комнатная квартира,105 000 €,"Кишинёв мун., Кишинёв, Старая Почта, str. Gheorghe Madan, **",,Продам,,103486125,5,Агентство,2,102
,,https://999.md/ru/104450019?location=subcategory&index=5011&cardCategoryId=270&cardSubcategoryId=1404,,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",,,9,45 м²,,Новострой,,1-комнатная квартира,59 000 €,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 1",,Продам,,104450019,4,Агентство,,
Solomon Construct Imobil,,https://999.md/ru/104300491?location=subcategory&index=5012&cardCategoryId=270&cardSubcategoryId=1404,,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",,2,12,98 м²,Белый вариант,Новострой,,2-х комнатная квартира,147 000 €,"Кишинёв мун., Кишинёв, Ботаника, str. Grenoble, --",,Продам,,104300491,6,Агентство,1,
