Тип,Застройщик,Санузел,id,Ливинг,Этаж,title,Количество комнат,Высота потолков,price,Состояние квартиры,Тип здания,link,Количество этажей,Адрес,Общая площадь,Парковочное место,Балкон / лоджия,Площадь кухни,Автор объявления,Жилой фонд,Планировка,Жилая площадь
Продам,Exfactor-grup,2,102353084,Квартира с ливингом,9,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,154 000 €,Белый вариант,Kирпичный,https://999.md/ru/102353084?location=subcategory&index=15055&cardCategoryId=270&cardSubcategoryId=1404,14,"Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 28a",78 м²,,1,12 м²,Частное лицо,Новострой,,66 м²
Продам,,,104571999,Квартира с ливингом,2,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,111 900 €,,,https://999.md/ru/104571999?location=subcategory&index=15056&cardCategoryId=270&cardSubcategoryId=1404,9,"Кишинёв мун., Кишинёв, Буюканы, str. Onisifor Ghibu, 2/3",55 м²,,,,Частное лицо,Вторичный,,
Продам,,1,104571956,Квартира с ливингом,5,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,163 000 €,Сдан в эксплуатацию,,https://999.md/ru/104571956?location=subcategory&index=15057&cardCategoryId=270&cardSubcategoryId=1404,10,"Кишинёв мун., Кишинёв, Центр, str. Petru Rareș, 34",75 м²,,,,Застройщик,Новострой,,
Продам,,2,104571954,,5,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",3-х комнатная квартира,,115 900 €,Eвроремонт,,https://999.md/ru/104571954?location=subcategory&index=15058&cardCategoryId=270&cardSubcategoryId=1404,5,"Кишинёв мун., Кишинёв, Ботаника, bd. Traian, .",67 м²,Oткрытое,1,,Агентство,Вторичный,Индивидуальная,
Продам,,1,104571941,Квартира с ливингом,5,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,163 000 €,Сдан в эксплуатацию,,https://999.md/ru/104571941?location=subcategory&index=15059&cardCategoryId=270&cardSubcategoryId=1404,10,"Кишинёв мун., Кишинёв, Рышкановка, bd. Moscova, 17a",75 м²,,1,,Застройщик,Новострой,,
Продам,,2,104273805,,5,"3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",3-х комнатная квартира,,308 000 €,Индивидуальный дизайн,,https://999.md/ru/104273805?location=subcategory&index=15060&cardCategoryId=270&cardSubcategoryId=1404,14,"Кишинёв мун., Кишинёв, Рышкановка, bd. Moscova, 9/5",75 м²,Oткрытое,1,,Агентство,Новострой,,
Продам,,2,104255658,,12,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",3-х комнатная квартира,,258 000 €,,,https://999.md/ru/104255658?location=subcategory&index=15061&cardCategoryId=270&cardSubcategoryId=1404,16,"Кишинёв мун., Кишинёв, Ботаника, str. Nicolae Testemițanu, 19",76 м²,,1,,Агентство,Новострой,,
Продам,,1,104571929,Квартира с ливингом,5,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,163 000 €,Сдан в эксплуатацию,,https://999.md/ru/104571929?location=subcategory&index=15062&cardCategoryId=270&cardSubcategoryId=1404,10,"Кишинёв мун., Кишинёв, Чокана, str. Ginta Latină, 12/3",75 м²,,1,,Застройщик,Новострой,,
Продам,,1,101809807,Квартира с ливингом,3,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",1-комнатная квартира,,111 500 €,Eвроремонт,,https://999.md/ru/101809807?location=subcategory&index=15063&cardCategoryId=270&cardSubcategoryId=1404,12,"Кишинёв мун., Кишинёв, Центр, str. Melestiu, 26/3",55 м²,,1,,Застройщик,Новострой,,
Продам,,1,104571907,Квартира с ливингом,5,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,163 000 €,Сдан в эксплуатацию,Бетон,https://999.md/ru/104571907?location=subcategory&index=15064&cardCategoryId=270&cardSubcategoryId=1404,10,"Кишинёв мун., Кишинёв, Рышкановка, str. Andrei Doga, 26/B",75 м²,,1,,Застройщик,Новострой,,
