Тип участка,Площадь земли,Тип,Застройщик,Санузел,Состояние дома,id,Ливинг,Этаж,title,Количество комнат,Высота потолков,price,Состояние квартиры,Тип здания,link,Количество этажей,Адрес,Тип помещения,Площадь участка,Общая площадь,Парковочное место,Этажность,Балкон / лоджия,Балкон,Площадь кухни,Автор объявления,Водопровод,Жилой фонд,Состояние помещения,Газификация,Канализация,Планировка,Жилая площадь
,,Продам,Exfactor-grup,1,,104536646,Квартира с ливингом,2,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",1-комнатная квартира,,127 500 €,Eвроремонт,,https://999.md/ru/104536646?location=subcategory&index=16849&cardCategoryId=270&cardSubcategoryId=1404,13,"Кишинёв мун., Кишинёв, Ботаника, bd. Dacia, 62",,,51 м²,,,,,,Агентство,,Новострой,,,,,
,,Продам,,,,102442411,Квартира с ливингом,5,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,185 000 €,,,https://999.md/ru/102442411?location=subcategory&index=16850&cardCategoryId=270&cardSubcategoryId=1404,10,"Кишинёв мун., Кишинёв, Буюканы, str. Ioana Radu, 27/3",,,69 м²,,,,,,,,Новострой,,,,,
,,Продам,,1,,104533658,Квартира с ливингом,4,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,285 см,109 900 €,Индивидуальный дизайн,Kомбинированный,https://999.md/ru/104533658?location=subcategory&index=16851&cardCategoryId=270&cardSubcategoryId=1404,7,"Кишинёв мун., Кишинёв, Буюканы, str-la Tudor Vladimirescu, 52",,,63 м²,Oткрытое,,1,,10 м²,Частное лицо,,Новострой,,,,,52 м²
,,Продам,Exfactor-grup,2,,103371613,Квартира с ливингом,1,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",3-х комнатная квартира,,179 000 €,Eвроремонт,,https://999.md/ru/103371613?location=subcategory&index=16852&cardCategoryId=270&cardSubcategoryId=1404,9,"Кишинёв мун., Кишинёв, Буюканы, str. Ion Buzdugan, 11",,,86 м²,,,1,,,Агентство,,Новострой,,,,,
,,Продам,,,,86326109,,3,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",3-х комнатная квартира,,197 500 €,,,https://999.md/ru/86326109?location=subcategory&index=16853&cardCategoryId=270&cardSubcategoryId=1404,5,"Кишинёв мун., Кишинёв, Центр, str. Ismail, 28",,,79 м²,,,,,,Застройщик,,Новострой,,,,,
,,Продам,,,,104275664,,5,"3-х комнатная квартира,  8 квартал,  Бельцы,  Бельцы мун.",3-х комнатная квартира,,33 700 €,,,https://999.md/ru/104275664?location=subcategory&index=16854&cardCategoryId=270&cardSubcategoryId=1404,5,"Бельцы мун., Бельцы, 8 квартал, str. Boris Glavan, 37",,,60 м²,,,,,,Агентство,,Вторичный,,,,,
,,Продам,,3,Евроремонт,104628682,,,"Дом,  450 м²,  Дурлешты",6,,500 000 €,,,https://999.md/ru/104628682?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE2MDQ3NDAsIkMiOnsiciI6MSwiYiI6MTYwLCJjIjoyNzAsInoiOjE0MDYsImEiOiIxMDQ2Mjg2ODIiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcm8iLCJsIjoiOTUzYjAwZTUtMTQxZS00NjdjLTk3ZDktYWM5M2I3ZGNmNDU1IiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNi0xNlQwOToxMjoyMC4wNDM5Mzg4MTRaIn19.iEqL3quuklCA632FHXGOi7wqIDPUnaRx1VtBal8hiX8&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=16855&cardCategoryId=270&cardSubcategoryId=1406,,"Кишинёв мун., Дурлешты, Центр, str-la Renaşterii, 3b",,6 сотки,450 м²,,2-х этажный,,2,,Агентство,Есть водопровод,,,Газифицирован,Есть канализация,,
,,Продам,,,,103361048,Квартира с ливингом,3,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",2-х комнатная квартира,,117 900 €,Eвроремонт,,https://999.md/ru/103361048?location=subcategory&index=16856&cardCategoryId=270&cardSubcategoryId=1404,8,"Кишинёв мун., Дурлешты, Центр, str-la Tudor Vladimirescu, 52",,,65 м²,,,,,,Агентство,,Новострой,,,,,
,,Продам,,2,,103507193,,6,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",1-комнатная квартира,,84 500 €,Белый вариант,,https://999.md/ru/103507193?location=subcategory&index=16857&cardCategoryId=270&cardSubcategoryId=1404,9,"Кишинёв мун., Кишинёв, Ботаника, bd. Dacia, .",,,51 м²,Oткрытое,,2,,,Агентство,,Новострой,,,,Индивидуальная,
,,Продам,,2,,103507050,,4,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",1-комнатная квартира,,81 600 €,Белый вариант,,https://999.md/ru/103507050?location=subcategory&index=16858&cardCategoryId=270&cardSubcategoryId=1404,10,"Кишинёв мун., Кишинёв, Ботаника, bd. Dacia, .",,,51 м²,Oткрытое,,2,,,Агентство,,Новострой,,,,Индивидуальная,
