Тип,Застройщик,Санузел,id,Ливинг,Этаж,title,Количество комнат,Высота потолков,price,Состояние квартиры,Тип здания,link,Количество этажей,Адрес,Общая площадь,Парковочное место,Балкон / лоджия,Автор объявления,Жилой фонд,Планировка,Жилая площадь
Продам,Dansicons,1,102433494,Квартира с ливингом,3,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",1-комнатная квартира,,126 500 €,Eвроремонт,,https://999.md/ru/102433494?location=subcategory&index=235&cardCategoryId=270&cardSubcategoryId=1404,11,"Кишинёв мун., Кишинёв, Центр, ул. Николае Тестемицану, 23/1",63 м²,Oткрытое,1,Агентство,Новострой,,
Продам,Maxmod Imobil,1,102185480,Квартира с ливингом,3,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,167 500 €,Eвроремонт,Kомбинированный,https://999.md/ru/102185480?location=subcategory&index=236&cardCategoryId=270&cardSubcategoryId=1404,7,"Кишинёв мун., Кишинёв, Буюканы, str. Vissarion Belinski, 71",64 м²,Подземная,,Агентство,Новострой,Индивидуальная,
Продам,Estate Invest Company,2,102125542,Квартира с ливингом,5,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,307 900 €,Eвроремонт,,https://999.md/ru/102125542?location=subcategory&index=237&cardCategoryId=270&cardSubcategoryId=1404,14,"Кишинёв мун., Кишинёв, Рышкановка, бул. Москова, 9/5",75 м²,Подземная,1,Агентство,Новострой,,
Продам,Basconslux,1,101162599,Квартира с ливингом,6,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",3-х комнатная квартира,,217 500 €,Eвроремонт,Kомбинированный,https://999.md/ru/101162599?location=subcategory&index=238&cardCategoryId=270&cardSubcategoryId=1404,11,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 43/F",95 м²,Подземная,1,Агентство,Новострой,Индивидуальная,
Продам,Vasigur Grup,2,88648244,Квартира с ливингом,9,"3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",3-х комнатная квартира,,225 000 €,,Kирпичный,https://999.md/ru/88648244?location=subcategory&index=239&cardCategoryId=270&cardSubcategoryId=1404,10,"Кишинёв мун., Кишинёв, Рышкановка, bd. Moscova, 4/4",75 м²,Подземная,1,Агентство,Новострой,Индивидуальная,
Продам,Exfactor-grup,2,104593992,Квартира с ливингом,6,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,175 000 €,Eвроремонт,Kирпичный,https://999.md/ru/104593992?location=subcategory&index=240&cardCategoryId=270&cardSubcategoryId=1404,11,"Кишинёв мун., Кишинёв, Ботаника, str. Botanica Veche, 45",86 м²,Подземная,1,Агентство,Новострой,,
Продам,Astercon,2,104592652,,5,"3-х комнатная квартира,  Центр,  Думбрава,  Кишинёв мун.",3-х комнатная квартира,,155 000 €,Eвроремонт,,https://999.md/ru/104592652?location=subcategory&index=241&cardCategoryId=270&cardSubcategoryId=1404,9,"Кишинёв мун., Думбрава, Центр, str. Durleşti, 10",85 м²,Oткрытое,1,Агентство,Новострой,,
Продам,,2,104527239,,9,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",3-х комнатная квартира,,96 900 €,Eвроремонт,,https://999.md/ru/104527239?location=subcategory&index=242&cardCategoryId=270&cardSubcategoryId=1404,10,"Кишинёв мун., Кишинёв, Чокана, str. Mihail Sadoveanu, 22/3",70 м²,Oткрытое,1,Агентство,Вторичный,,
Продам,Solomon Construct Imobil,1,104508244,Квартира с ливингом,10,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",3-х комнатная квартира,,174 900 €,Eвроремонт,,https://999.md/ru/104508244?location=subcategory&index=243&cardCategoryId=270&cardSubcategoryId=1404,11,"Кишинёв мун., Кишинёв, Ботаника, str.Jubiliară, 39/1",85 м²,Oткрытое,1,Агентство,Новострой,,
Продам,,2,104487798,,3,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,110 000 €,Eвроремонт,Панельный,https://999.md/ru/104487798?location=subcategory&index=244&cardCategoryId=270&cardSubcategoryId=1404,9,"Кишинёв мун., Кишинёв, Ботаника, пр-т Дачия, 38",50 м²,Oткрытое,1,Агентство,Вторичный,135,
Продам,,1,104482889,,3,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,109 900 €,Косметический pемонт,,https://999.md/ru/104482889?location=subcategory&index=245&cardCategoryId=270&cardSubcategoryId=1404,9,"Кишинёв мун., Кишинёв, Чокана, str. Petru Zadnipru, 4/1",54 м²,Oткрытое,1,Агентство,Вторичный,,
Продам,,,104599472,,9,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,113 000 €,,,https://999.md/ru/104599472?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE1NDk1NjUsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ1OTk0NzIiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiYWViZTFjOGYtNDM2Zi00YzdiLTliZmMtMjY0YjVhM2UyYWFiIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNi0xNVQxNzo1Mjo0NS4zNzA4MTYwMDdaIn19.YXkHMEAwBPWz-MGd7yO6w5o2Z681woeYPKm88bim_-Q&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=246&cardCategoryId=270&cardSubcategoryId=1404,9,"Кишинёв мун., Кишинёв, Чокана, str. Igor Vieru, 5",50 м²,,,Агентство,Вторичный,Варц (Варницкая),
Продам,,2,104479078,Квартира с ливингом,5,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,93 000 €,Eвроремонт,,https://999.md/ru/104479078?location=subcategory&index=247&cardCategoryId=270&cardSubcategoryId=1404,5,"Кишинёв мун., Кишинёв, Ботаника, str. Nikolai Zelinski, 26/2",47 м²,Oткрытое,1,Агентство,Вторичный,,
Продам,,2,104466899,,7,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,94 900 €,Косметический pемонт,Kотельцовый,https://999.md/ru/104466899?location=subcategory&index=248&cardCategoryId=270&cardSubcategoryId=1404,9,"Кишинёв мун., Кишинёв, Телецентр, str. Pietrarilor, 8/1",60 м²,Oткрытое,1,Агентство,Вторичный,,
