id,price,Высота потолков,Жилая площадь,link,title,Регион,Тип,Общая площадь,Телефон,Площадь кухни
103351010,166 000 €,,,https://999.md/ru/103351010?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzQxODQ2MDIsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDMzNTEwMTAiLCJpIjoiODkuMTQ5LjkzLjIwNyIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiZjkzMTdiMDAtNDlkZS00ZmFmLThkYmQtN2UwZjhiN2EyMjBlIiwiZSI6Ijg5LjE0OS45My4yMDciLCJnIjoibGl0ZSIsInQiOiIyMDI2LTAzLTIyVDEyOjAzOjIyLjYwODA1OTcyN1oifX0.TA10t0r1gHhJZ7astdeWdDigtCHknGCVYnk6D8YK6ug&adType=booster,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Регион:Кишинёв мун., Кишинёв, Ботаника, str. Independentei, 1/A",Продам,58 м²,+37378,
103498566,127 900 €,,,https://999.md/ru/103498566?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzQxODQ2MDIsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM0OTg1NjYiLCJpIjoiODkuMTQ5LjkzLjIwNyIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcm8iLCJsIjoiOTUzYjAwZTUtMTQxZS00NjdjLTk3ZDktYWM5M2I3ZGNmNDU1IiwiZSI6Ijg5LjE0OS45My4yMDciLCJnIjoicGx1cyIsInQiOiIyMDI2LTAzLTIyVDEyOjAzOjIyLjYwODA3NTEyNFoifX0.Yz8fZxRnNo8I6ZJOtPRvb69q3ktHENAWG2awdllfoNM&adType=booster,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Регион:Кишинёв мун., Кишинёв, Ботаника, str. Dimineții, 22",Продам,72 м²,+37360,
102996813,70 000 €,,,https://999.md/ru/102996813?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzQxODQ2MDIsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDI5OTY4MTMiLCJpIjoiODkuMTQ5LjkzLjIwNyIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiYzA3YTYwMzctODdhMy00NzI2LWJiOWItYzBkNjgzOWM5ZmI1IiwiZSI6Ijg5LjE0OS45My4yMDciLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wMy0yMlQxMjowMzoyMi42MDgxMjQxNzRaIn19.qECczG1Dgyfv6NguZNszQYKb1O3G1YxJxwJd9OBeIFc&adType=booster,"2-х комнатная квартира,  Центр,  Бубуечь,  Кишинёв мун.","Регион:Кишинёв мун., Бубуечь, Центр, Stada Mircea cel Bătrân 7, 1",Продам,45 м²,+37379,
103593196,219 900 €,,,https://999.md/ru/103593196?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzQxODQ2MDIsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM1OTMxOTYiLCJpIjoiODkuMTQ5LjkzLjIwNyIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcm8iLCJsIjoiNmJlOWZmY2UtODhjNC00MjU4LTg2YTYtMDA0ZmFiOGM0OGQ3IiwiZSI6Ijg5LjE0OS45My4yMDciLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wMy0yMlQxMjowMzoyMi42MDc4MjUxMDhaIn19.bfV5veclgIIig90jO6x4YXzy2Rtu7eRLKJGyrywROeI&adType=booster,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Регион:Кишинёв мун., Кишинёв, Буюканы, ул. Каля Ешилор, 6",Продам,68 м²,+37378,
103246966,199 900 €,,,https://999.md/ru/103246966?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzQxODQ2MDIsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDMyNDY5NjYiLCJpIjoiODkuMTQ5LjkzLjIwNyIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcmVtaXVtIiwibCI6IjIxYjNlZTUwLTYxYzAtNDdjZS05MmQ2LWIzMGQ5NzllYTE5NyIsImUiOiI4OS4xNDkuOTMuMjA3IiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDMtMjJUMTI6MDM6MjIuNjA3ODY2MTExWiJ9fQ.Od0qPnWa_966GMaK_obI803fHcZExgBJCd28QzRMViQ&adType=booster,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Регион:Кишинёв мун., Кишинёв, Чокана, пр-т Мирча чел Бэтрын, 41/A",Продам,67 м²,+37369,
103696631,43 999 €,230 см,19 м²,https://999.md/ru/103696631?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzQxODQ2MDIsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM2OTY2MzEiLCJpIjoiODkuMTQ5LjkzLjIwNyIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcm8iLCJsIjoiY2JkYWM0YjktMzI4NC00MzlhLTkwM2MtMWY2Y2I5MjViZTg2IiwiZSI6Ijg5LjE0OS45My4yMDciLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wMy0yMlQxMjowMzoyMi42MDc4OTM5NThaIn19.YNPfDdf4V9o3l5PfhbjJRYAqfVtGm5-WzH-rd5Oa3ow&adType=booster,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Регион:Кишинёв мун., Кишинёв, Ботаника, ул. Индепенденцей, 38",Продам,25 м²,+37367,
103599469,220 000 €,,,https://999.md/ru/103599469?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzQxODQ2MDIsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM1OTk0NjkiLCJpIjoiODkuMTQ5LjkzLjIwNyIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcmVtaXVtIiwibCI6IjNkYmY2YTNmLTcyYmEtNGUzNy05NmJkLTMzODZjNWJlYTA2NCIsImUiOiI4OS4xNDkuOTMuMjA3IiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDMtMjJUMTI6MDM6MjIuNjA4MDA0NTI0WiJ9fQ.SmKxEIqI4-qhzS0Dle13he5q2NM9op4oP66e8rEuYkQ&adType=booster,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Регион:Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 28",Продам,70 м²,+37378,
100908548,80 200 €,280 см,,https://999.md/ru/100908548,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Регион:Кишинёв мун., Кишинёв, Телецентр, sos. Hincesti, 140/1",Продам,58 м²,+37362,
103837034,59 900 €,,,https://999.md/ru/103837034,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Регион:Кишинёв мун., Кишинёв, Ботаника, str. Teilor",Продам,47 м²,+37378,
102349075,115 900 €,,,https://999.md/ru/102349075,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Регион:Кишинёв мун., Кишинёв, Центр, G. Coșbuc, 3",Продам,57 м²,+37378,
