Автор объявления,Застройщик,Балкон / лоджия,Планировка,Жилая площадь,link,price,Площадь кухни,Этаж,Жилой фонд,Санузел,Количество комнат,Адрес,Высота потолков,id,Общая площадь,Ливинг,Тип,Состояние квартиры,Количество этажей,Тип здания,title,Парковочное место
Частное лицо,,2,,,https://999.md/ru/103858485?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzODkxNzEsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM4NTg0ODUiLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiM2Q1OGM0MzYtMDBjOS00ZDJjLTg3ZDQtNTk2MWZlYTY0YTQwIiwiZSI6Ijg5LjE0OS45MS4xNzAiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0wNVQxMDozOTozMS4xNTAzMjMyODRaIn19.ytqKn2ZXcaY2F9tWH1GppdUVUGDNv6Ct09_eKEBo4go&adType=booster,48 000 €,,4,Вторичный,1,1-комнатная квартира,"Кишинёв мун., Дурлешты, Центр, str. Tudor Vladimirescu, 5",,103858485,39 м²,Квартира с ливингом,Продам,Нуждается в ремонте,5,,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",
Агентство,,2,143,,https://999.md/ru/103974288?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzODkxNzEsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM5NzQyODgiLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcmVtaXVtIiwibCI6IjZlMDFjOWM2LTU0YTUtNDUwYS1hZGI0LTJlNzNhNTRhMDFlYSIsImUiOiI4OS4xNDkuOTEuMTcwIiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDQtMDVUMTA6Mzk6MzEuMTQ5OTY5NDAzWiJ9fQ.8yVWhgw0XHs1Cnj4tH-SRXz3YHREfy5rS11gmCvJWVQ&adType=booster,74 900 €,,9,Вторичный,1,3-х комнатная квартира,"Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 98/1",,103974288,72 м²,Квартира с ливингом,Продам,Косметический pемонт,9,Панельный,"3-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Oткрытое
Частное лицо,,1,Индивидуальная,,https://999.md/ru/103928056?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzODkxNzEsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM5MjgwNTYiLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiNmYzYzVkYzUtOTMwOC00ODUwLTg4ZDQtZTZhZDgxMjI4NjgwIiwiZSI6Ijg5LjE0OS45MS4xNzAiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0wNVQxMDozOTozMS4xNTAxNzk2ODVaIn19.t5T8slt3FhRmJ2uG4YDHcWOuukHzopYUm0eJVZmHW5w&adType=booster,177 000 €,,6,Новострой,1,3-х комнатная квартира,"Кишинёв мун., Кишинёв, Старая Почта, str. Socoleni, 2A",,103928056,77 м²,Квартира с ливингом,Продам,Eвроремонт,8,Kирпичный,"3-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",Гараж
Агентство,Solomon Construct Imobil,1,,,https://999.md/ru/103842624?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzODkxNzEsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM4NDI2MjQiLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcmVtaXVtIiwibCI6IjZlMDFjOWM2LTU0YTUtNDUwYS1hZGI0LTJlNzNhNTRhMDFlYSIsImUiOiI4OS4xNDkuOTEuMTcwIiwiZyI6InBsdXMiLCJ0IjoiMjAyNi0wNC0wNVQxMDozOTozMS4xNTAyMjExNjFaIn19.v4Zbs3hC8NdQ_8vDlPL1FjXV8mAQ5dQsWKmRVteu-JY&adType=booster,104 900 €,,10,Новострой,1,2-х комнатная квартира,"Кишинёв мун., Кишинёв, Центр, str. Dimineții, 20/1",,103842624,63 м²,Квартира с ливингом,Продам,Белый вариант,14,Kирпичный,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Подземная
Агентство,,,,,https://999.md/ru/103366089,37 500 €,,1,Вторичный,1,Комната,"Кишинёв мун., Кишинёв, Чокана, str. Voluntarilor, -",,103366089,18 м²,,Продам,Eвроремонт,9,,"Комната,  Чокана,  Кишинёв,  Кишинёв мун.",
Агентство,,,,,https://999.md/ru/100465585,189 900 €,,8,Новострой,1,3-х комнатная квартира,"Кишинёв мун., Кишинёв, Буюканы, str. Calea Ieșilor, 6",,100465585,82 м²,Квартира с ливингом,Продам,Белый вариант,12,,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Подземная
Застройщик,David's Capital,,,,https://999.md/ru/102996304,103 500 €,,3,Новострой,,2-х комнатная квартира,Расположение,,102996304,57 м²,,Продам,Белый вариант,12,Kирпичный,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
Агентство,,,,,https://999.md/ru/103833640,38 000 €,,5,Вторичный,,2-х комнатная квартира,"Бельцы мун., Бельцы, 10 квартал, Stîi, --",,103833640,46 м²,,Продам,,5,,"2-х комнатная квартира,  10 квартал,  Бельцы,  Бельцы мун.",
Агентство,,,,,https://999.md/ru/103970974,108 950 €,,4,Новострой,,2-х комнатная квартира,"Кишинёв мун., Кишинёв, Чокана, str. Nicolae Milescu Spatarul, 57",,103970974,66 м²,,Продам,,9,,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
Частное лицо,,1,Индивидуальная,,https://999.md/ru/86946148,184 000 €,,3,Новострой,1,2-х комнатная квартира,"Кишинёв мун., Кишинёв, Телецентр, str. Ciocârliei, 17",3000 см,86946148,63 м²,,Продам,Eвроремонт,6,,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",
Агентство,,,,,https://999.md/ru/103882905,99 000 €,,1,Новострой,,2-х комнатная квартира,"Кишинёв мун., Кишинёв, Центр, ул. Пан Халиппа, --",,103882905,65 м²,Квартира с ливингом,Продам,,9,,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
Частное лицо,,Нет,,,https://999.md/ru/101970370,109 000 €,17 м²,2,Новострой,1,1-комнатная квартира,"Кишинёв мун., Кишинёв, Центр, str. Ivan Zaikin, 51",,101970370,61 м²,Квартира с ливингом,Продам,Белый вариант,3,Kомбинированный,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
Застройщик,Basconslux,,,,https://999.md/ru/102941439,96 000 €,,7,Новострой,,1-комнатная квартира,"Кишинёв мун., Кишинёв, Центр, str. Ismail, 88",,102941439,37 м²,,Продам,Eвроремонт,10,,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
Застройщик,Horus,,,,https://999.md/ru/103985151,126 000 €,,14,Новострой,1,1-комнатная квартира,"Кишинёв мун., Кишинёв, Рышкановка, str. Matei Basarab, 1/3",,103985151,51 м²,,Продам,Eвроремонт,15,,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
Агентство,,1,143,,https://999.md/ru/103985212,79 000 €,,9,Вторичный,2,2-х комнатная квартира,"Кишинёв мун., Кишинёв, Буюканы, șos. Balcani, 2",,103985212,55 м²,,Продам,Косметический pемонт,10,,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
Застройщик,,1,,,https://999.md/ru/103775742,140 900 €,,7,Новострой,2,2-х комнатная квартира,"Кишинёв мун., Кишинёв, Буюканы, str. Durleşti, 12/B",,103775742,70 м²,Квартира с ливингом,Продам,Eвроремонт,8,,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
