Количество комнат,link,Парковочное место,id,Количество этажей,title,Тип,Планировка,Жилая площадь,price,Балкон / лоджия,Высота потолков,Санузел,Ливинг,Этаж,Адрес,Состояние квартиры,Автор объявления,Тип здания,Общая площадь,Жилой фонд,Застройщик,Площадь кухни
2-х комнатная квартира,https://999.md/ru/103192704,Oткрытое,103192704,5,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,Брж (Брежневка),,59 900 €,2,,1,,5,"Кишинёв мун., Кишинёв, Ботаника, Sarmizegetusa, 37/4",Косметический pемонт,Агентство,Kотельцовый,46 м²,Вторичный,,
2-х комнатная квартира,https://999.md/ru/103934271,Oткрытое,103934271,3,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Продам,Хрущевка,,55 000 €,Нет,,1,,1,"Кишинёв мун., Кишинёв, Телецентр, M. Lomonosov, 43",Без ремонта,Агентство,Kотельцовый,40 м²,Вторичный,,
2-х комнатная квартира,https://999.md/ru/101925912,Подземная,101925912,16,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Продам,,,101 200 €,1,,2,Квартира с ливингом,6,"Кишинёв мун., Кишинёв, Рышкановка, str. Calea Moșilor, 4",Белый вариант,Агентство,,68 м²,Новострой,,
2-х комнатная квартира,https://999.md/ru/101602539,,101602539,12,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Продам,,,128 900 €,1,,2,,8,Расположение,Белый вариант,Агентство,,65 м²,Новострой,,
1-комнатная квартира,https://999.md/ru/102565070,Oткрытое,102565070,10,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Продам,,,89 900 €,,,1,Квартира с ливингом,1,"Кишинёв мун., Дурлешты, Центр, str. Tudor Vladimirescu, 75/1",Eвроремонт,Агентство,Kомбинированный,42 м²,Новострой,,
1-комнатная квартира,https://999.md/ru/103476953,,103476953,9,"1-комнатная квартира,  Центр,  Страшены,  Страшены",Продам,,60 м²,67 900 €,,,1,Квартира с ливингом,6,"Страшены, Страшены, Центр, str. Ştefan cel Mare și Sfînt, 48",Сдан в эксплуатацию,Частное лицо,Kомбинированный,60 м²,Новострой,Basconslux,
1-комнатная квартира,https://999.md/ru/103964691,,103964691,8,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Продам,,,75 500 €,,,,Квартира с ливингом,3,"Кишинёв мун., Кишинёв, Рышкановка, str. Postei, --",,Агентство,,37 м²,Новострой,,
1-комнатная квартира,https://999.md/ru/103722337,Oткрытое,103722337,4,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,,,61 500 €,,,,,3,"Кишинёв мун., Кишинёв, Центр, str. George Coșbuc, 7",Eвроремонт,Частное лицо,,20 м²,Вторичный,,
1-комнатная квартира,https://999.md/ru/103988090,Oткрытое,103988090,10,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Продам,,35 м²,86 900 €,,,1,,4,"Кишинёв мун., Кишинёв, Чокана, str. Nicolae Milescu Spatarul, .",Eвроремонт,Агентство,,35 м²,Новострой,,
3-х комнатная квартира,https://999.md/ru/101794660,,101794660,2,"3-х комнатная квартира,  Центр,  Унгень,  Унгены",Продам,,,95 000 €,,,1,,1,"Унгены, Унгень, Центр, str. Mihai Eminescu, 23",Косметический pемонт,Частное лицо,Kирпичный,63 м²,Вторичный,,
1-комнатная квартира,https://999.md/ru/103675697,Oткрытое,103675697,5,"1-комнатная квартира,  БАМ,  Бельцы,  Бельцы мун.",Продам,,,38 800 €,1,,,,1,Расположение,Eвроремонт,Частное лицо,Kотельцовый,30 м²,Вторичный,,
3-х комнатная квартира,https://999.md/ru/100465585,Подземная,100465585,12,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Продам,,,189 900 €,,,1,Квартира с ливингом,8,"Кишинёв мун., Кишинёв, Буюканы, str. Calea Ieșilor, 6",Белый вариант,Агентство,,82 м²,Новострой,,
