Балкон / лоджия,Планировка,Застройщик,link,Ливинг,Площадь кухни,Парковочное место,Этаж,Санузел,Высота потолков,price,Количество этажей,Общая площадь,Адрес,id,Жилой фонд,Тип здания,Жилая площадь,title,Тип,Автор объявления,Количество комнат,Состояние квартиры
1,,,https://999.md/ru/104101582?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTM4ODgsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQxMDE1ODIiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiNTA5ZTUxYTUtYjQ5Mi00OTUyLTgwN2ItNTIyYWE3MTlkMDhjIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDE4OjM4OjA4LjIzODcwOTk2N1oifX0.JQrwOayNzP6l1WU0DTRIMQv-z90B9YMQz1UNdd-0YXM&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=9,,,Oткрытое,4,1,,500 €,5,52 м²,"Кишинёв мун., Кишинёв, Ботаника, str. Independenței, 10/5",104101582,Вторичный,,,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Сдаю помесячно,Частное лицо,2-х комнатная квартира,Eвроремонт
,,Inamstro,https://999.md/ru/101965153?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTM4ODgsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDE5NjUxNTMiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiNGIzZTcyMjEtMGFmMS00YTlmLWJiNjMtYjg2YTQzMjVkM2VmIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQxODozODowOC4yMzg3NTkwMzFaIn19.uaQP1vZeq75FFi2A4p46L8br84Rs-XDTxA2BCoNgFzk&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=10,,,,12,1,,174 000 €,13,60 м²,"Кишинёв мун., Кишинёв, Скулянка, str. Calea Ieșilor, 6",101965153,Новострой,,,"2-х комнатная квартира,  Скулянка,  Кишинёв,  Кишинёв мун.",Продам,Частное лицо,2-х комнатная квартира,Eвроремонт
,,,https://999.md/ru/104115567?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTM4ODgsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQxMTU1NjciLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiMzgxYmU1YmQtNTg2YS00YzVjLWI5MjctNTNjOTI4NDBiYjE1IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQxODozODowOC4yMzg4MDczMzJaIn19.6tNOtinABPoJrm_HluQvj-SNfvPNnNJeZZpSt0GJdCk&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=11,,,,2,,,75 000 €,7,75 м²,Расположение,104115567,Новострой,,,"2-х комнатная квартира,  Центр,  Криуляны,  Криуляны",Продам,Частное лицо,2-х комнатная квартира,
1,Индивидуальная,Stroy Invest,https://999.md/ru/57264969?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTM4ODgsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI1NzI2NDk2OSIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfaGVhZGVyIiwieCI6InByZW1pdW0iLCJsIjoiNmE0NmJkODctMTQzMi00MzUzLWJjZGUtMmJkYWZjNjYyMjFmIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDE4OjM4OjA4LjIzODg2MDU1N1oifX0.UyMfXaAtzBHX-juUKKD19YxBBoVmh3kUHxfExbc_iv4&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=12,Квартира с ливингом,,Oткрытое,2,1,,100 €,4,75 м²,"Кишинёв мун., Кишинёв, Буюканы, str. Primăverii, 11",57264969,Новострой,Kотельцовый,,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",,Застройщик,3-х комнатная квартира,Eвроремонт
,,,https://999.md/ru/100196722?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTM4ODgsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDAxOTY3MjIiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcm8iLCJsIjoiZjVhOGYzYTctZDNmMC00MjdlLThjNjktMTQwYzI1YmMwZTc5IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoicGx1cyIsInQiOiIyMDI2LTA0LTIwVDE4OjM4OjA4LjIzODA3MzgzOVoifX0.ofvdi-FkmBoPksurm6e2QmGQSgxTFLWyIT8eJVQ1J-Y&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=1,Квартира с ливингом,,Oткрытое,3,1,,800 €,4,78 м²,"Кишинёв мун., Кишинёв, Центр, str. Alexandr Pușkin, 30",100196722,Вторичный,Kотельцовый,,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",,Частное лицо,3-х комнатная квартира,Индивидуальный дизайн
,,,https://999.md/ru/102884930?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTM4ODgsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDI4ODQ5MzAiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcmVtaXVtIiwibCI6ImQ4MGQyMmM1LTA3NTQtNDgxYS05Y2IxLTM2N2YzNzFmYTMzNiIsImUiOiI4OS4xNDkuOTMuMTM5IiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDQtMjBUMTg6Mzg6MDguMjM4MTM1NjgyWiJ9fQ.fPOlSRq2bw2aRQjWU5tvMmrFB3LzuvdF9WevYY5pcJM&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=2,Квартира с ливингом,,,5,,,83 000 €,5,47 м²,"Кишинёв мун., Кишинёв, Ботаника, str. Grenoble, 161/4",102884930,Вторичный,,,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,
1,,,https://999.md/ru/80966801?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTM4ODgsIkMiOnsiciI6MSwiYiI6MTIwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI4MDk2NjgwMSIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfaGVhZGVyIiwieCI6IiIsImwiOiJjMjQ1ZjM0NS1lNjg3LTRkNTQtOTllZC04NTAzODQxZGQ0NTUiLCJlIjoiODkuMTQ5LjkzLjEzOSIsInQiOiIyMDI2LTA0LTIwVDE4OjM4OjA4LjIzODE2MDgzMVoifX0.FZFuXgmuDwpbP134jXuEGiGFGCusj-5syr18PWepn-E&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=3,,,Подземная,5,2,275 см,106 480 €,12,88 м²,"Кишинёв мун., Кишинёв, Старая Почта, str. Ceucari, 14",80966801,Новострой,Kомбинированный,80 м²,"3-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",Продам,Застройщик,3-х комнатная квартира,Белый вариант
,,Exfactor-grup,https://999.md/ru/104095924?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTM4ODgsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwOTU5MjQiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiMTU4MzhjMjQtMTk2MS00Y2FlLWJhYzUtM2ZiY2RmYmVhNDU3IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQxODozODowOC4yMzgxODY0MTVaIn19.ixeniEtcsqBN11yyYZaSsGJFhDAMsyACRDJYUI9fw_g&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=4,Квартира с ливингом,,,10,,,199 000 €,12,68 м²,Расположение,104095924,Новострой,Kирпичный,,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Eвроремонт
,,Eldorado Terra,https://999.md/ru/104112978?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTM4ODgsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQxMTI5NzgiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiNDJhM2JmNzQtY2U2Ni00ZWQzLThiMGUtMjY4ODFlYjM0Y2ZiIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQxODozODowOC4yMzgzMzM1NjZaIn19.1H9BN6FMn6cWDZi4iXsDFTPiyUyMqvExDyYX1848pYE&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=5,,,,15,,,138 000 €,15,73 м²,"Кишинёв мун., Кишинёв, Центр, str. Nicolae Testemițanu, 3/18",104112978,Новострой,,,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,Частное лицо,2-х комнатная квартира,
1,,,https://999.md/ru/103804617?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTM4ODgsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM4MDQ2MTciLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiNmI2MWY1NGQtM2YxMC00MGMzLWI2MjAtMTZhMGExZGM5NTVmIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDE4OjM4OjA4LjIzODQ0MzNaIn19.iIZwl7MZyKOVuKCsaaM4qcm55FiggGlbpU0flBUDCCE&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=6,Квартира с ливингом,,Oткрытое,4,1,2550 см,130 000 €,5,56 м²,"Кишинёв мун., Кишинёв, Ботаника, bd. Cuza Vodă, 38/2",103804617,Вторичный,Kомбинированный,56 м²,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",,Частное лицо,2-х комнатная квартира,Индивидуальный дизайн
