Балкон / лоджия,Планировка,Ливинг,link,Площадь кухни,Застройщик,Парковочное место,Этаж,Санузел,Высота потолков,price,Количество этажей,Общая площадь,Адрес,id,Жилой фонд,Тип здания,Жилая площадь,title,Тип,Автор объявления,Количество комнат,Состояние квартиры
,,Квартира с ливингом,https://999.md/ru/104065416?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTQxOTksIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwNjU0MTYiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiYzdmYzhkODYtNTkzMC00NDUwLTg1NGYtZWY0MzlkZjdiMmYwIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQxODo0MzoxOS42ODUzOTYzODJaIn19.6sop2jGYzJUbd3XOQ973uNnCZnbHaBcpcfIF7wemMjY&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=9,,,,3,,270 см,134 999 €,10,66 м²,"Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 100/3",104065416,Новострой,Kирпичный,,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",,Частное лицо,2-х комнатная квартира,Eвроремонт
2,Мс (Молд. Серия),,https://999.md/ru/103881022?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTQxOTksIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM4ODEwMjIiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiOGY1NzdhZjEtYWQ0NS00ZWRlLWEwMjUtYWU4OWY4ZGZkYzNlIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDE4OjQzOjE5LjY4NTQxMTY4WiJ9fQ.lRcJoKyjy5mnR-zQYwD9bmG9yCUhiC1akUtvME67f6Q&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=10,13 м²,,Oткрытое,8,2,,85 000 €,9,70 м²,"Кишинёв мун., Кодру, Центр, str. Costiujeni, 8/5",103881022,Вторичный,Панельный,57 м²,"3-х комнатная квартира,  Центр,  Кодру,  Кишинёв мун.",,Частное лицо,3-х комнатная квартира,Косметический pемонт
,,,https://999.md/ru/102448359?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTQxOTksIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDI0NDgzNTkiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiM2UwMTBlM2ItMmUzMi00NTlkLTgxYjUtZTEwNzA0YjdmN2Q2IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoicGx1cyIsInQiOiIyMDI2LTA0LTIwVDE4OjQzOjE5LjY4NTQyNDg4OFoifX0.wDCRbDdszkc0Akh6ICNpsGb1gHHt3J7U4fPeBJLXTu8&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=11,,Inamstro,,4,,,82 800 €,12,46 м²,"Кишинёв мун., Кишинёв, Ботаника, str. Grădina Botanică, 18/1",102448359,Новострой,,46 м²,"Комната,  Ботаника,  Кишинёв,  Кишинёв мун.",,Частное лицо,Комната,Белый вариант
1,,Квартира с ливингом,https://999.md/ru/74848265?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTQxOTksIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI3NDg0ODI2NSIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfaGVhZGVyIiwieCI6InByZW1pdW0iLCJsIjoiZmI3NDhhYTQtM2I5Zi00NDgwLWI1NjctOTVmOTJlYTViMDI1IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJ0IjoiMjAyNi0wNC0yMFQxODo0MzoxOS42ODU0NTk0OFoifX0.HBkIsAKjQg_2xGNprHQm9n3P_h0EG5jeLrsdIpFt9Us&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=12,,,Oткрытое,2,2,270 см,106 500 €,9,88 м²,"Кишинёв мун., Дурлешты, Центр, str. Cartuşa, 95/4",74848265,Новострой,Kомбинированный,,"3-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Продам,Застройщик,3-х комнатная квартира,Белый вариант
,,Квартира с ливингом,https://999.md/ru/104079631?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTQxOTksIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwNzk2MzEiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiOGI3ZGZlN2QtZWYyOS00MWE3LWJiNzMtOTM3OTYzNjRlYzQ3IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQxODo0MzoxOS42ODUwOTA5NTRaIn19.iS6vkwlEZsaWjTDdn_Sj0s04LUVeNf7EPGPqJnbGNGg&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=1,,Basconslux,Oткрытое,8,1,,700 €,10,60 м²,"Кишинёв мун., Кишинёв, Телецентр, str. Sprîncenoaia, 1/A",104079631,Новострой,,,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Сдаю помесячно,Частное лицо,2-х комнатная квартира,Eвроремонт
1,,,https://999.md/ru/103522826?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTQxOTksIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM1MjI4MjYiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiNTFlNTNmZWQtMzI5MS00ODgzLTliN2YtMDAwMGU2NGNlZWJhIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJ0IjoiMjAyNi0wNC0yMFQxODo0MzoxOS42ODUxMzg4MDJaIn19.0Dekv4kghymxtNlQx14bOIO07oPmUjMgR0-4gFVnFV0&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=2,,,,1,,,22 000 €,3,42 м²,"Резина, Резина, Центр, str. Păcii, 53",103522826,Вторичный,Kотельцовый,,"2-х комнатная квартира,  Центр,  Резина,  Резина",Продам,Частное лицо,2-х комнатная квартира,Косметический pемонт
,,,https://999.md/ru/104084444?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTQxOTksIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwODQ0NDQiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiYmRiZThhZDQtODliNi00OTk5LWEyZDUtMWMyZGU3YzVjZTc5IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQxODo0MzoxOS42ODUxNjg2M1oifX0.GsT259YgXtaBNQM1au9Dx-6P229sjm5xE3auXDlGtCo&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=3,,,,4,,,89 500 €,5,50 м²,"Кишинёв мун., Кишинёв, Старая Почта, str. Gheorghe Madan, 46/3",104084444,Вторичный,,,"2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,
2,,Квартира с ливингом,https://999.md/ru/104005905?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTQxOTksIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwMDU5MDUiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiYWU5YmM3ZjItODQ4OC00ZmYzLWEzYzItOTdkZjJkM2ZkODU5IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQxODo0MzoxOS42ODUxOTk5N1oifX0.e3xJ7wlP1QA9jWe_wf945eZM-zjxNidSzpTiWXa8R-s&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=4,,,Oткрытое,8,1,,1 000 €,8,87 м²,"Кишинёв мун., Кишинёв, Буюканы, str. Vissarion Belinski, 71",104005905,Новострой,,,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Сдаю помесячно,Застройщик,2-х комнатная квартира,Индивидуальный дизайн
3,,Квартира с ливингом,https://999.md/ru/104059792?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTQxOTksIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwNTk3OTIiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiYzc5YjdmMzQtMjM4MC00YzNhLWFhNzEtNTRkN2RkZjUxMzMxIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQxODo0MzoxOS42ODUyNjg3NDhaIn19.RA7NVnHD1or5gP-2AjJQJYyNpyPw0MBFVjPPB7ofSjM&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=5,,,Oткрытое,12,,,145 000 €,16,82 м²,"Кишинёв мун., Кишинёв, Чокана, str. Ion Dumeniuc, 26",104059792,Новострой,Бетон,,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Продам,Частное лицо,2-х комнатная квартира,Eвроремонт
1,,Квартира без ливинга,https://999.md/ru/103368414?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTQxOTksIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDMzNjg0MTQiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiMjJlMDZhOTItYzIzOS00NzFiLWEyOGItYTJiMzMwZjY0NTI2IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDE4OjQzOjE5LjY4NTI4NDM3M1oifX0.haO5XDZWIksOLoHPn7YgOB6H7l2K38DUSU-9Zu695yE&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=6,,Ecovzor,Oткрытое,2,2,295 см,96 040 €,7,69 м²,"Кишинёв мун., Криково, Центр, str. Vasile Alescandri, 5",103368414,Новострой,Mонолитный,,"2-х комнатная квартира,  Центр,  Криково,  Кишинёв мун.",Продам,Застройщик,2-х комнатная квартира,Белый вариант
