Санузел,Общая площадь,Состояние квартиры,Количество этажей,Парковочное место,title,link,id,Площадь кухни,Жилая площадь,Планировка,Жилой фонд,Балкон / лоджия,Ливинг,price,Тип,Количество комнат,Этаж,Автор объявления,Высота потолков,Тип здания,Адрес,Застройщик
,43 м²,Eвроремонт,10,,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",https://999.md/ru/103986760?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MjM5NDIsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM5ODY3NjAiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcm8iLCJsIjoiNmI2MDE0NmItOGVkNS00NmYyLWE1NTQtNWU1NjAzZTFmNjUwIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQyMToyNTo0Mi44Mjg0ODI1OTFaIn19.KmgGXQN9achRzdyoPmtgTW1IQXsJ0u6kPZdZMQ9kuGg&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=9,103986760,,,,Новострой,,,109 000 €,Продам,1-комнатная квартира,9,Агентство,,,"Кишинёв мун., Кишинёв, Ботаника, str. Burebista, 25",
,58 м²,Индивидуальный дизайн,10,Подземная,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",https://999.md/ru/103351010?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MjM5NDIsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDMzNTEwMTAiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiZjkzMTdiMDAtNDlkZS00ZmFmLThkYmQtN2UwZjhiN2EyMjBlIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJ0IjoiMjAyNi0wNC0yMFQyMToyNTo0Mi44Mjg1MjQyNjdaIn19.4H-Ti8_Mwe855z2Vj8O6iSUITSIc8O2eQfJLJjIVUbM&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=10,103351010,,,,Новострой,2,Квартира с ливингом,166 000 €,Продам,1-комнатная квартира,9,Частное лицо,,Kотельцовый,"Кишинёв мун., Кишинёв, Ботаника, str. Independentei, 1/A",Urbanconstruct-tt
,45 м²,Eвроремонт,10,Oткрытое,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",https://999.md/ru/37768476?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MjM5NDIsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIzNzc2ODQ3NiIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfaGVhZGVyIiwieCI6IiIsImwiOiJjYjE3ZDNmMi00NGJhLTQ0YTUtYjk5NS03NmViYTc0Y2IzMTYiLCJlIjoiODkuMTQ5LjkzLjEzOSIsInQiOiIyMDI2LTA0LTIwVDIxOjI1OjQyLjgyODU0ODYyNloifX0.Wr2i3PBj6rnYL5M8Jk79HHL0ibAxsfjlsNbFgnHgpYA&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=11,37768476,15 м²,30 м²,Индивидуальная,Новострой,,,25 €,Сдаю посуточно,1-комнатная квартира,7,Застройщик,3 см,Mонолитный,"Кишинёв мун., Кишинёв, Центр, str. Ismail, 88",
1,55 м²,Косметический pемонт,11,,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",https://999.md/ru/103813956?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MjM5NDIsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM4MTM5NTYiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcm8iLCJsIjoiMjc5M2U0MjAtMWQ4Ny00OWQ3LWFjOGItZjE3ZjQwN2E3Yzc3IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQyMToyNTo0Mi44Mjg1ODY5NjRaIn19.v4kwi5TpgSZGTFwZnGpHrDy6phKL2joMCLfZAGp2V9k&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=12,103813956,,,,Новострой,1,,137 000 €,Продам,2-х комнатная квартира,2,Частное лицо,,,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 35/E",
,1 м²,Eвроремонт,5,,"Комната,  Центр,  Рыбница,  Рыбница",https://999.md/ru/103643637?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MjM5NDIsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM2NDM2MzciLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiYjQxNDViZTQtYWM5Yi00MWZiLWI1YmYtZmEyMGY2NjgzZjg1IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJ0IjoiMjAyNi0wNC0yMFQyMToyNTo0Mi44Mjc4ODgwMzRaIn19.KJ7BHDte05JgDpLFg44pxu9nVNIfWVsgUEGZss_OPrk&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=1,103643637,,,,Вторичный,,Квартира с ливингом,6 000 $,Продам,Комната,4,Частное лицо,,Kотельцовый,"Рыбница, Рыбница, Центр, ул. Гвардейская, 2",A-casa
2,151 м²,Белый вариант,13,Подземная,"3-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",https://999.md/ru/102822101?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MjM5NDIsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDI4MjIxMDEiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiODVmZTRiMzQtYjgxMS00ZGQ5LTllMTgtZmIyZjMyOGFmYWUzIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQyMToyNTo0Mi44Mjc5NjM2NDlaIn19.thpJKO08V7Ib9iEaMLxuuIlISn0sQdKRiOSK0C8yIqk&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=2,102822101,,,,Новострой,2,Квартира с ливингом,249 150 €,Продам,3-х комнатная квартира,13,Застройщик,,,"Кишинёв мун., Кишинёв, Старая Почта, ул. Язулуй, 38",Ecovzor
,70 м²,Eвроремонт,6,,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",https://999.md/ru/103861839?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MjM5NDIsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM4NjE4MzkiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiYmRiZThhZDQtODliNi00OTk5LWEyZDUtMWMyZGU3YzVjZTc5IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQyMToyNTo0Mi44MjgwNTQwOVoifX0.aq_sMo_tFwax-NudbTFYHEqSxAiUnkXX0c4btlv9xP8&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=3,103861839,,,,Новострой,,Квартира с ливингом,154 900 €,Продам,3-х комнатная квартира,4,Частное лицо,,,"Кишинёв мун., Кишинёв, Буюканы, bd. Alba-Iulia, 91/1",
2,63 м²,Белый вариант,7,Oткрытое,"2-х комнатная квартира,  Центр,  Криково,  Кишинёв мун.",https://999.md/ru/103368501?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MjM5NDIsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDMzNjg1MDEiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiMjJlMDZhOTItYzIzOS00NzFiLWEyOGItYTJiMzMwZjY0NTI2IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDIxOjI1OjQyLjgyODA3ODAzN1oifX0.vusxz2OItTYOS3JoUn4yonZlNtAVIZy91T-zmQjGgk4&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=4,103368501,,,,Новострой,1,Квартира без ливинга,88 200 €,Продам,2-х комнатная квартира,5,Застройщик,295 см,Mонолитный,"Кишинёв мун., Криково, Центр, str. Vasile Alescandri, 5",Ecovzor
,54 м²,,9,,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",https://999.md/ru/104061770?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MjM5NDIsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwNjE3NzAiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiMjhmYWIxMDctMTJkZC00Y2EyLThjM2YtNjdjYjExNzhiNDRmIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDIxOjI1OjQyLjgyODIxMjU4MVoifX0.zHARTHkJwNyXmdXvo_I17STI0Z8s6Py-RYDRqZR-lck&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=5,104061770,,,,Вторичный,1,,550 €,Сдаю помесячно,2-х комнатная квартира,6,Частное лицо,,,"Кишинёв мун., Кишинёв, Ботаника, bd. Traian, 18/1",
1,75 м²,Eвроремонт,4,Oткрытое,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",https://999.md/ru/57264969?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MjM5NDIsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI1NzI2NDk2OSIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfaGVhZGVyIiwieCI6InByZW1pdW0iLCJsIjoiNmE0NmJkODctMTQzMi00MzUzLWJjZGUtMmJkYWZjNjYyMjFmIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDIxOjI1OjQyLjgyODI3NDI1MVoifX0.emdPFwLjnyFr_hSkvuZK0FCXP753bV3kFYVRyX1TKE0&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=6,57264969,,,Индивидуальная,Новострой,1,Квартира с ливингом,100 €,,3-х комнатная квартира,2,Застройщик,,Kотельцовый,"Кишинёв мун., Кишинёв, Буюканы, str. Primăverii, 11",Stroy Invest
